document_post_id	document_title	document_url	document_date	document_modified	primary_process	primary_collection	all_processes	all_collections	category_ids	category_names	category_slugs	tag_ids	tag_names	tag_slugs	content_chars	content_words	slug	wp_author	wp_status	wp_type	year
8863	Письмо К.Б. Радека Н.И. Ежову с приложением показаний К.Б. Радека о его взаимоотношениях с Г.Г. Ягодой	http://showtrials.ru/pismo-k-b-radeka-n-i-ezhovu-s-prilozheniem-pokazanij-k-b-radeka-o-ego-vzaimootnosheniyah-s-g-g-yagodoj/	1937-04-26T19:01:55	2023-03-26T20:34:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	23115	3577	pismo-k-b-radeka-n-i-ezhovu-s-prilozheniem-pokazanij-k-b-radeka-o-ego-vzaimootnosheniyah-s-g-g-yagodoj	1	publish	post	1937
7063	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-5/	1937-01-17T19:10:49	2021-10-19T19:25:34	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	20281	2951	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-5	1	publish	post	1937
6305	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Ромма	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-romma-2/	1937-01-16T10:06:51	2021-07-19T10:27:52	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	8184	1301	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-romma-2	1	publish	post	1937
6312	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-3/	1937-01-10T19:34:11	2021-07-19T19:36:51	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	31725	4808	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-3	1	publish	post	1937
5926	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Д.П. Бухарцева	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-d-p-buharczeva/	1936-12-30T00:29:00	1936-12-30T00:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	19056	2979	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-d-p-buharczeva	1	publish	post	1936
5925	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-2/	1936-12-27T00:29:00	2022-05-11T10:40:17	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	44301	6506	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-2	1	publish	post	1936
5919	Протокол допроса К.Б. Радека	http://showtrials.ru/protokol-doprosa-k-b-radeka/	1936-12-20T01:29:00	1936-12-20T01:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	20314	2867	protokol-doprosa-k-b-radeka	1	publish	post	1936
5911	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka/	1936-12-10T00:29:00	1936-12-10T00:29:00	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	19061	2858	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka	1	publish	post	1936
6303	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Г. Ромма	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-romma/	1936-12-08T10:02:27	2024-08-06T21:21:41	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116	Группа Радека	radek	27379	4252	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-v-g-romma	1	publish	post	1936
6527	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-4/	1936-12-04T12:12:56	2024-08-07T16:00:21	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	80	Материалы следствия 1937	materialy-sledstviya-1937	116 | 117	Группа Радека | Параллельный центр	radek | parallel-center	42087	5989	speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-4	1	publish	post	1936
