process_title	collection_title	document_count	total_words
ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	434	1055657
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	370	622656
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	367	245877
КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ СЛЕДСТВИЯ	233	241008
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	152	59817
ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	105	334098
ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	104	228688
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	80	42145
ПРОЦЕСС 2-12 МАРТА 1938 г.	ПРЕДЫСТОРИЯ	71	60505
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	55	85193
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ДРУГИЕ ДОКУМЕНТЫ	50	75425
ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	34	34359
ТРОЦКИЙ	ТРОЦКИЙ	31	16882
КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	26	76161
КРЕМЛЕВСКОЕ ДЕЛО	ДРУГИЕ ДОКУМЕНТЫ	22	36946
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	15	202360
ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	14	215142
КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	13	26166
ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ	11	39034
ПРОЦЕСС 19-23 АВГУСТА 1936 г.	СПРАВКА	10	21094
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	10	6725
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДЕЛО ПЕТРА НИКОЛАЕВА	10	6257
ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	6	113937
РАЗНЫЕ ДОКУМЕНТЫ	РАЗНЫЕ ДОКУМЕНТЫ	5	12436
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	4	80928
ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	3	44301
СТАТЬИ	СТАТЬИ	2	63665
ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	СПРАВКИ КПК И ИМЛ	1	182
