scope	name	flag	count
global	ALL	nbsp_present	2177
global	ALL	archive_refs_present	2050
global	ALL	angle_markup_present	1898
global	ALL	missing_tag	1175
global	ALL	footnotes_present	878
global	ALL	stamp_markers_present	110
global	ALL	multi_tag	96
global	ALL	multi_category	52
global	ALL	very_long	42
global	ALL	multi_process	34
global	ALL	very_short	31
process	КРЕМЛЕВСКОЕ ДЕЛО	missing_tag	292
process	КРЕМЛЕВСКОЕ ДЕЛО	nbsp_present	292
process	КРЕМЛЕВСКОЕ ДЕЛО	archive_refs_present	289
process	КРЕМЛЕВСКОЕ ДЕЛО	angle_markup_present	278
process	КРЕМЛЕВСКОЕ ДЕЛО	footnotes_present	119
process	КРЕМЛЕВСКОЕ ДЕЛО	stamp_markers_present	4
process	КРЕМЛЕВСКОЕ ДЕЛО	very_long	2
process	КРЕМЛЕВСКОЕ ДЕЛО	multi_category	1
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	nbsp_present	486
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	angle_markup_present	436
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	archive_refs_present	435
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	footnotes_present	244
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	missing_tag	158
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	multi_tag	50
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	very_long	12
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	very_short	10
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	stamp_markers_present	7
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	multi_category	5
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	multi_process	4
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	nbsp_present	284
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	angle_markup_present	260
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	archive_refs_present	249
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	footnotes_present	123
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	stamp_markers_present	56
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	multi_tag	21
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	missing_tag	19
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	multi_category	14
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	very_long	9
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	multi_process	1
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	very_short	1
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	nbsp_present	481
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	archive_refs_present	479
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	angle_markup_present	457
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	footnotes_present	224
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	missing_tag	72
