rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
1	2644	ЗАСЕДАНИЕ 15 ЯНВАРЯ 1935 г.	45514	298447	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	Стенограмма московского центра		http://showtrials.ru/zasedanie-15-yanvarya-1935-g/
2	2618	ЗАСЕДАНИЕ 28 ДЕКАБРЯ 1934 Г.	39450	262901	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	Стенограмма ленинградского центра		http://showtrials.ru/zasedanie-voennogo-tribunala-verhovnogo-suda-sssr-28-dekabrya-1934-g/
3	9366	Валентин Ольберг	36433	250227	СТАТЬИ	СТАТЬИ	Article		http://showtrials.ru/valentin-olberg/
4	2645	ЗАСЕДАНИЕ 16 ЯНВАРЯ 1935 г.	33569	217431	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	Стенограмма московского центра		http://showtrials.ru/zasedanie-16-yanvarya-1935-g/
5	8956	Утреннее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	31475	197980	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	Февральско-мартовский пленум	Правые	http://showtrials.ru/utrennee-zasedanie-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g-buharin-i-rykov-2/
6	2539	28 ЯНВАРЯ – ДНЕВНОЕ И ВЕЧЕРНЕЕ ЗАСЕДАНИЯ	28808	203751	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	Стенограмма 1937		http://showtrials.ru/28-yanvarya-dnevnoe-i-vechernee-zasedaniya/
7	5855	Заявление П.Ф. Сапожникова о деятельности организации правых	28468	195887	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия 1937	Правые	http://showtrials.ru/zayavlenie-p-f-sapozhnikova-o-deyatelnosti-organizaczii-pravyh/
8	9470	Георгий Борисович Синани-Скалов	27232	188042	СТАТЬИ	СТАТЬИ	Article		http://showtrials.ru/georgij-borisovich-sinani-skalov/
9	2444	20 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	24757	162817	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	Стенограмма 1936		http://showtrials.ru/20-avgusta-vechernee-zasedanie/
10	7995	Спецсообщение Н.И. Ежова И.В. Сталину с приложением тюремных записок В.В. Кузьмина	24651	179437	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ	Другие документы 1938	Правые	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tyuremnyh-zapisok-v-v-kuzmina/
11	4811	Черновой (неправленый) вариант стенограммы вечернего заседания июньского пленума ЦК ВКП(б) 1935 г.	24286	167889	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	Июньский пленум ЦК 1935 г.		http://showtrials.ru/chernovoj-nepravlenyj-variant-stenogrammy-vechrnego-zasedaniya-iyunskogo-plenuma-czk-vkpb-1935-g/
