rank	document_post_id	document_title	content_words	content_chars	primary_process	primary_collection	category_names	tag_names	document_url
1	11327	Л.Л. Седов – Н.И. Седовой (телеграмма)	23	187	ТРОЦКИЙ	ТРОЦКИЙ	Троцкий Седов и другие		http://showtrials.ru/l-l-sedov-n-i-sedovoj-telegramma/
2	4801	Письмо жены А.С. Куклина А.Н. Поскребышеву	45	264	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Другие документы московского центра		http://showtrials.ru/pismo-zheny-a-s-kuklina-a-n-poskrebyshevu/
3	9152	Л.Л. Седов – В.П. Ольбергу	50	303	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-19/
4	10722	В.П. Ольберг – Л.Л. Седову	57	387	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-3/
5	3390	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте М.М. Харитонова	60	398	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-m-m-haritonova/
6	1625	Записка Сталина 4 января 1935 о рассылке документов по делу А.В. Румянцева членам Политбюро ЦК ВКП(б)	69	510	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ДРУГИЕ ДОКУМЕНТЫ	Дело Анатолия Румянцева		http://showtrials.ru/zapiska-stalina-4-yanvarya-1935/
7	3289	Протокол допроса А.М. Гертика	70	479	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-a-m-gertika-3/
8	11006	В.П. Ольберг – Л.Д. Троцкому	70	463	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий-Два		http://showtrials.ru/v-p-olberg-l-d-troczkomu-9/
9	9134	Л.Л. Седов – В.П. Ольбергу	70	405	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-14/
10	4032	Протокол допроса Ю.Б. Тартаковской	72	445	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-yu-b-tartakovskoj-2/
11	8648	Письмо Н.И. Бухарина И.В. Сталину	72	396	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	Бухарин	Бухарин	http://showtrials.ru/pismo-n-i-buharina-i-v-stalinu-13/
12	4482	Протокол допроса А.В. Перимова	74	502	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/protokol-doprosa-a-v-perimova-4/
13	3133	Протокол допроса И.И. Котолынова	75	443	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-i-kotolynova-11/
14	10755	В.П. Ольберг – Л.Л. Седову	79	495	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-v-p-olberga-l-l-sedovu-7/
15	3007	Протокол допроса И.И. Котолынова	80	478	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия ленинградского центра		http://showtrials.ru/protokol-doprosa-i-i-kotolynova-7/
16	4093	Показания А.И. Анишева	81	493	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pokazaniya-a-i-anisheva-3/
17	9118	Л.Л. Седов – В.П. Ольбергу	81	504	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ОЛЬБЕРГ	Ольберг-Троцкий		http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-9/
18	11325	Л.Л. Седов – Н.И. Седовой	82	544	ТРОЦКИЙ	ТРОЦКИЙ	Троцкий Седов и другие		http://showtrials.ru/l-l-sedov-n-i-sedovoj-6/
19	4101	Показания В.А. Виноградова	83	538	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	МАТЕРИАЛЫ СЛЕДСТВИЯ	Материалы следствия московского центра		http://showtrials.ru/pokazaniya-v-a-vinogradova-2/
