collection	document_count	total_words	total_chars	avg_words
МАТЕРИАЛЫ СЛЕДСТВИЯ	1612	2559113	17493293	1587.54
ХОД ПРОЦЕССА	36	542731	3629519	15075.86
ДРУГИЕ ДОКУМЕНТЫ	178	277682	1880104	1560.01
БУХАРИН	104	228688	1451902	2198.92
ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	6	113937	726476	18989.5
МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	25	76161	532338	3046.44
СТАТЬИ	2	63665	438269	31832.5
ПРЕДЫСТОРИЯ	67	60505	395991	903.06
ОЛЬБЕРГ	80	42145	277855	526.81
Г.Б. СИНАНИ-СКАЛОВ	13	26166	175437	2012.77
СПРАВКА	10	21094	143666	2109.4
ТРОЦКИЙ	31	16882	109149	544.58
РАЗНЫЕ ДОКУМЕНТЫ	4	12436	85497	3109.0
ДЕЛО ПЕТРА НИКОЛАЕВА	10	6257	39154	625.7
СПРАВКИ КПК И ИМЛ	1	182	1137	182.0
