tag	document_count	total_words	total_chars	avg_words
Правые	183	581064	3902335	3175.21
Бухарин	104	228688	1451902	2198.92
Вредители на железной дороге	69	206058	1430336	2986.35
Украинская группа (НКВД УССР)	112	170723	1182687	1524.31
Троцкистский центр	55	166336	1158793	3024.29
Зиновьевский центр	58	150209	1053114	2589.81
Вредители в угольной промышленности	41	131812	901076	3214.93
Троцкисты Азово-Черноморского края	46	122749	834375	2668.46
Группа Пятакова	48	119476	812751	2489.08
Группа Радека	36	106115	715664	2947.64
Группа Ольберга	33	88511	594740	2682.15
Горьковская группа	36	87074	608437	2418.72
Параллельный центр	31	71088	479056	2293.16
Группа Шемелева	38	67646	471997	1780.16
Юрий Гавен	13	47315	326362	3639.62
Группа Дмитриева	15	44182	308453	2945.47
Ленинградская группа	11	43851	302158	3986.45
Грузинские троцкисты	24	43365	294730	1806.88
Группа историков	17	43303	302969	2547.24
Группа В.М. Попова (УНКВД СССР по Горькраю)	23	42298	295102	1839.04
Вредители в химической промышленности	19	41749	292422	2197.32
Иммигранты	12	41143	272773	3428.58
Партизаны	13	36406	247175	2800.46
Группа Муралова	17	35011	242967	2059.47
Военные-троцкисты	17	24720	166375	1454.12
Общество политкаторжан	12	15696	109572	1308.0
Уральские троцкисты	4	14791	109157	3697.75
Вредители на электростанциях	4	12771	88681	3192.75
Группа Грюнштейна	5	12200	84631	2440.0
Группа Коминтерна	6	11545	79786	1924.17
Группа Ломинадзе	5	10856	74769	2171.2
Группа Вяткина	6	7187	47720	1197.83
Сын Зиновьева	4	6860	47577	1715.0
Уралвагонстрой	1	5687	39734	5687.0
Moscow	1	432	2799	432.0
прав	1	217	1486	217.0
