scope	name	document_type	count
global	ALL	interrogation_protocol	979
global	ALL	special_report	497
global	ALL	unknown	247
global	ALL	letter	152
global	ALL	statement	107
global	ALL	confrontation_protocol	57
global	ALL	session_transcript	48
global	ALL	memo_note	44
global	ALL	conversation_recording	33
global	ALL	reference_note	6
global	ALL	verdict_or_sentence	4
global	ALL	article	2
global	ALL	indictment	2
global	ALL	autobiography	1
process	КРЕМЛЕВСКОЕ ДЕЛО	interrogation_protocol	176
process	КРЕМЛЕВСКОЕ ДЕЛО	special_report	47
process	КРЕМЛЕВСКОЕ ДЕЛО	unknown	17
process	КРЕМЛЕВСКОЕ ДЕЛО	letter	16
process	КРЕМЛЕВСКОЕ ДЕЛО	memo_note	13
process	КРЕМЛЕВСКОЕ ДЕЛО	confrontation_protocol	8
process	КРЕМЛЕВСКОЕ ДЕЛО	session_transcript	6
process	КРЕМЛЕВСКОЕ ДЕЛО	statement	5
process	КРЕМЛЕВСКОЕ ДЕЛО	reference_note	2
process	КРЕМЛЕВСКОЕ ДЕЛО	autobiography	1
process	КРЕМЛЕВСКОЕ ДЕЛО	verdict_or_sentence	1
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	interrogation_protocol	198
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	special_report	112
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	unknown	95
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	letter	36
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	statement	18
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	session_transcript	10
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	memo_note	9
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	confrontation_protocol	4
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	article	2
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	reference_note	2
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	special_report	83
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	letter	51
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	statement	37
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	interrogation_protocol	34
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	conversation_recording	33
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	unknown	24
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	session_transcript	10
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	confrontation_protocol	8
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	memo_note	4
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	special_report	247
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	interrogation_protocol	133
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	unknown	31
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	letter	24
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	memo_note	15
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	session_transcript	15
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	statement	13
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	confrontation_protocol	1
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	indictment	1
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	reference_note	1
