document_type	count
interrogation_protocol	982
special_report	526
letter	256
statement	78
confrontation_protocol	57
session_transcript	50
testimony	48
memo_note	40
conversation_recording	34
administrative_report	16
list	16
telegram	15
unknown	10
summary	7
reference_note	6
indictment	5
draft_project	4
explanation	4
decree_resolution	3
plan_instruction	3
verdict_or_sentence	3
article	2
data_extract	2
plea_pardon	2
questionnaire_response	2
speech	2
autobiography	1
brochure	1
medical_act	1
poem	1
program	1
search_protocol	1
