prefix	count	examples
Л Л Седов В	29	Л.Л. Седов – В.П. Ольбергу | Л.Л. Седов – В.П. Ольбергу | Л.Л. Седов – В.П. Ольбергу | Л.Л. Седов – В.П. Ольбергу | Л.Л. Седов – В.П. Ольбергу
В П Ольберг Л	26	В.П. Ольберг – Л.Д. Троцкому | В.П. Ольберг – Л.Л. Седову | В.П. Ольберг – Л.Л. Седову | В.П. Ольберг – Л.Л. Седову | В.П. Ольберг – Л.Л. Седову
Л Л Седов Н	16	Л.Л. Седов – Н.И. Седовой | Л.Л. Седов – Н.И. Седовой | Л.Л. Седов – Н.И. Седовой | Л.Л. Седов – Н.И. Седовой | Л.Л. Седов – Н.И. Седовой
Л Л Седов Л	15	Л.Л. Седов – Л.Д. Троцкому | Л.Л. Седов – Л.Д. Троцкому | Л.Л. Седов – Л.Д. Троцкому | Л.Л. Седов – Л.Д. Троцкому | Л.Л. Седов – Л.Д. Троцкому
Л Д Троцкий В	6	Л.Д. Троцкий – В.П. Ольбергу | Л.Д. Троцкий – В.П. Ольбергу | Л.Д. Троцкий – В.П. Ольбергу | Л.Д. Троцкий – В.П. Ольбергу | Л.Д. Троцкий – В.П. Ольбергу
ОТЧЕТ О ХОДЕ ПРОЦЕССА	4	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ АГЕНТСТВА UNITED PRESS INTERNATIONAL | ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES | ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ИЗВЕСТИЯ” | ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ПРАВДА”
Сообщение ИНО ГУГБ о	3	Сообщение ИНО ГУГБ о деятельности троцкистов в Нью-Йорке | Сообщение ИНО ГУГБ о новых условиях пребывания Троцкого в Норвегии | Сообщение ИНО ГУГБ о заграничных троцкистских организациях
Шифртелеграмма А А Трояновского	3	Шифртелеграмма А.А. Трояновского в НКИД и Политбюро о получении показаний В.Г. Ромма | Шифртелеграмма А.А. Трояновского в НКИД и Политбюро об информировании американских журналистов о показаниях В.Г. Ромма | Шифртелеграмма А.А. Трояновского в НКИД и Политбюро ЦК об ответе на телеграмму Н. Томаса
Сообщение Л З Мехлиса	2	Сообщение Л.З. Мехлиса И.В. Сталину и другим с приложением материалов о дополнительных фактах “вредительства” Ю.Л. Пятакова | Сообщение Л.З. Мехлиса И.В. Сталину и другим с приложением материалов о “вредительстве” Ю.Л. Пятакова
Телеграмма В А Балицкого	2	Телеграмма В.А. Балицкого Н.И. Ежову и Г.Г. Ягоде о дополнительных показаниях Н.В. Голубенко на следствии | Телеграмма В.А. Балицкого Н.И. Ежову и Г.Г. Ягоде о показаниях Н.В. Голубенко на следствии
Шифртелеграмма В П Потемкина	2	Шифртелеграмма В.П. Потемкина в НКИД и И.В. Сталину с характеристикой французских общественных деятелей, прибывающих в СССР | Шифртелеграмма В.П. Потемкина в НКИД и Политбюро о разрешении на въезд в СССР для французских общественных деятелей
Шифртелеграмма Н Н Крестинского	2	Шифртелеграмма Н.Н. Крестинского А.А. Трояновскому о показаниях В.Г. Ромма | Шифртелеграмма Н.Н. Крестинского В.П. Потемкину о разрешении на въезд в СССР для французских общественных деятелей
Акт судебно медицинского вскрытия	1	Акт судебно-медицинского вскрытия трупа М.В. Борисова
Брошюра В П Ольберга	1	Брошюра В.П. Ольберга “Проблемы войны. Может ли Лига Наций обеспечить мир?”
Валентин Ольберг	1	Валентин Ольберг
Выписка из протокола допроса	1	Выписка из протокола допроса Г.Г. Матитайшвили
Георгий Борисович Синани Скалов	1	Георгий Борисович Синани-Скалов
Дополнение к протоколу допроса	1	Дополнение к протоколу допроса А.В. Румянцева
Допрос А Г Егорова	1	Допрос А.Г. Егорова 26 декабря 1934
Допрос А Румянцева 24	1	Допрос А. Румянцева 24 декабря 1934
Записки А И Стецкого	1	Записки А.И. Стецкого И.В. Сталину об издании стенографического отчета процесса “параллельного антисоветского троцкистского центра”
Информация об аресте участников	1	Информация об аресте участников зиновьевско-троцкистской организации в Ленинграде
Переписка И В Сталина	1	Переписка И.В. Сталина и А.И. Стецкого
Переписка Н И Бухарина	1	Переписка Н.И. Бухарина и К.Е. Ворошилова
Полученные А С Енукидзе	1	Полученные А.С. Енукидзе донесения о высказываниях уборщиц здания Правительства о Сталине
Продолжение показаний обвиняемого С	1	Продолжение показаний обвиняемого С.А. Чихладзе
Проткол допроса Н Р	1	Проткол допроса Н.Р. Кикнадзе
Протокол дополнительных показаний П	1	Протокол дополнительных показаний П.К. Александрова
Протокол показаний А Ф	1	Протокол показаний А.Ф. Астровой
Протокол показаний А Ю	1	Протокол показаний А.Ю. Айхенвальда
