document_post_id	old_type	new_type	document_title	primary_process	primary_collection	document_url
9470	unknown	biographical_article	Георгий Борисович Синани-Скалов	СТАТЬИ	СТАТЬИ	http://showtrials.ru/georgij-borisovich-sinani-skalov/
9366	unknown	biographical_article	Валентин Ольберг	СТАТЬИ	СТАТЬИ	http://showtrials.ru/valentin-olberg/
9417	unknown	session_transcript	Фрагмент протокола общего закрытого собрания парторганизации ИККИ совместо с комсомольской организацией ИККИ	КРЕМЛЕВСКОЕ ДЕЛО	Г.Б. СИНАНИ-СКАЛОВ	http://showtrials.ru/fragment-protokola-obshhego-zakrytogo-sobraniya-partorganizaczii-ikki-sovmesto-s-komsomolskoj-organizacziej-ikki/
8798	unknown	correspondence	Переписка И.В. Сталина и А.И. Стецкого	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/perepiska-i-v-stalina-i-a-i-steczkogo/
6903	unknown	interrogation_extract	Выписка из протокола допроса Г.Г. Матитайшвили	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/vypiska-iz-protokola-doprosa-g-g-matitajshvili/
8600	unknown	correspondence	Переписка Н.И. Бухарина и К.Е. Ворошилова	ПРОЦЕСС 2-12 МАРТА 1938 г.	БУХАРИН	http://showtrials.ru/perepiska-n-i-buharina-i-k-e-voroshilova/
2488	unknown	press_summary	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ АГЕНТСТВА UNITED PRESS INTERNATIONAL	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-agentstva-united-press-international/
2487	unknown	press_summary	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ THE NEW YORK TIMES	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-the-new-york-times/
2486	unknown	press_summary	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ИЗВЕСТИЯ”	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-izvestiya/
2485	unknown	press_summary	ОТЧЕТ О ХОДЕ ПРОЦЕССА ПО МАТЕРИАЛАМ ГАЗЕТЫ “ПРАВДА”	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/otchet-o-hode-proczessa-po-materialam-gazety-pravda/
