rank	document_post_id	document_title	content_words	process_title	collection_title	document_url
1	2644	ЗАСЕДАНИЕ 15 ЯНВАРЯ 1935 г.	45514	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	http://showtrials.ru/zasedanie-15-yanvarya-1935-g/
2	2618	ЗАСЕДАНИЕ 28 ДЕКАБРЯ 1934 Г.	39450	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	http://showtrials.ru/zasedanie-voennogo-tribunala-verhovnogo-suda-sssr-28-dekabrya-1934-g/
3	9366	Валентин Ольберг	36433	СТАТЬИ	СТАТЬИ	http://showtrials.ru/valentin-olberg/
4	2645	ЗАСЕДАНИЕ 16 ЯНВАРЯ 1935 г.	33569	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ХОД ПРОЦЕССА	http://showtrials.ru/zasedanie-16-yanvarya-1935-g/
5	8956	Утреннее заседание февральско-мартовского пленума ЦК ВКП(б) 1937 г. (Бухарин и Рыков)	31475	ПРОЦЕСС 2-12 МАРТА 1938 г.	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	http://showtrials.ru/utrennee-zasedanie-fevralsko-martovskogo-plenuma-czk-vkpb-1937-g-buharin-i-rykov-2/
6	2539	28 ЯНВАРЯ – ДНЕВНОЕ И ВЕЧЕРНЕЕ ЗАСЕДАНИЯ	28808	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ХОД ПРОЦЕССА	http://showtrials.ru/28-yanvarya-dnevnoe-i-vechernee-zasedaniya/
7	5855	Заявление П.Ф. Сапожникова о деятельности организации правых	28468	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/zayavlenie-p-f-sapozhnikova-o-deyatelnosti-organizaczii-pravyh/
8	9470	Георгий Борисович Синани-Скалов	27232	СТАТЬИ	СТАТЬИ	http://showtrials.ru/georgij-borisovich-sinani-skalov/
9	2444	20 АВГУСТА – ВЕЧЕРНЕЕ ЗАСЕДАНИЕ	24757	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	ХОД ПРОЦЕССА	http://showtrials.ru/20-avgusta-vechernee-zasedanie/
10	7995	Спецсообщение Н.И. Ежова И.В. Сталину с приложением тюремных записок В.В. Кузьмина	24651	ПРОЦЕСС 2-12 МАРТА 1938 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tyuremnyh-zapisok-v-v-kuzmina/
11	4811	Черновой (неправленый) вариант стенограммы вечернего заседания июньского пленума ЦК ВКП(б) 1935 г.	24286	КРЕМЛЕВСКОЕ ДЕЛО	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	http://showtrials.ru/chernovoj-nepravlenyj-variant-stenogrammy-vechrnego-zasedaniya-iyunskogo-plenuma-czk-vkpb-1935-g/
