page_id	parent_id	depth	slug	title	url	content_chars	content_words
8074	0	0	arhivnye-opisi	АРХИВНЫЕ ОПИСИ	http://showtrials.ru/arhivnye-opisi/	327	72
853	0	0	glavnaya	ГЛАВНАЯ	http://showtrials.ru/	156280	24449
2247	0	0	frontend	ДОБАВЛЕНИЕ ДОКУМЕНТА	http://showtrials.ru/frontend/	0	0
9346	0	0	articles	СТАТЬИ	http://showtrials.ru/articles/	109	16
961	853	1	kremlin-affair	КРЕМЛЕВСКОЕ ДЕЛО	http://showtrials.ru/glavnaya/kremlin-affair/	557	66
977	853	1	about-me	О ПРОЕКТЕ	http://showtrials.ru/glavnaya/about-me/	6830	912
971	853	1	august1936-trial	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	http://showtrials.ru/glavnaya/august1936-trial/	745	84
7319	853	1	proczess-2-12-marta-1938-g	ПРОЦЕСС 2-12 МАРТА 1938 г.	http://showtrials.ru/glavnaya/proczess-2-12-marta-1938-g/	681	78
973	853	1	january1937-trial	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	http://showtrials.ru/glavnaya/january1937-trial/	660	77
862	853	1	lencenter	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	http://showtrials.ru/glavnaya/lencenter/	728	89
943	853	1	moscow-center-trial	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	http://showtrials.ru/glavnaya/moscow-center-trial/	514	63
975	853	1	miscellaneous-docs	РАЗНЫЕ ДОКУМЕНТЫ	http://showtrials.ru/glavnaya/miscellaneous-docs/	429	72
11016	853	1	troczkij	ТРОЦКИЙ	http://showtrials.ru/glavnaya/troczkij/	1466	292
860	862	2	pyotr-nikolayev-case	ДЕЛО ПЕТРА НИКОЛАЕВА	http://showtrials.ru/glavnaya/lencenter/pyotr-nikolayev-case/	571	90
864	862	2	misc_docs_1934	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/glavnaya/lencenter/misc_docs_1934/	931	153
858	862	2	lencenter-materials	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/glavnaya/lencenter/lencenter-materials/	8152	1299
866	862	2	order_supreme_court	ПОСТАНОВЛЕНИЕ ПВС СССР	http://showtrials.ru/glavnaya/lencenter/order_supreme_court/	15619	2123
1293	862	2	leningrad-center-trial-full-record	ХОД ПРОЦЕССА	http://showtrials.ru/glavnaya/lencenter/leningrad-center-trial-full-record/	1275	174
957	943	2	misc-docs-1935	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/glavnaya/moscow-center-trial/misc-docs-1935/	5208	830
