id	date	modified	slug	link	status	type	format	template	categories	tags	meta_keys	acf_keys	top_level_keys
9470	2022-12-08T15:06:30	2025-07-20T16:44:26	georgij-borisovich-sinani-skalov	http://showtrials.ru/georgij-borisovich-sinani-skalov/	publish	post	standard		144		_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
9366	2022-10-26T13:25:08	2024-10-12T12:09:46	valentin-olberg	http://showtrials.ru/valentin-olberg/	publish	post	standard		144		_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8442	1938-03-14T19:03:54	2022-04-24T19:06:06	zapis-razgovorov-po-obektu-v-87-31	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-31/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8440	1938-03-13T19:02:20	2022-04-24T19:03:45	zapis-razgovorov-po-obektu-v-87-30	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-30/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8438	1938-03-13T18:58:18	2022-04-24T19:02:09	zapis-razgovorov-po-obektu-v-87-29	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-29/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8715	1938-03-13T08:08:24	2022-05-23T08:14:45	prosheniya-n-i-buharina-v-prezidium-verhovnogo-soveta-sssr-o-pomilovanii	http://showtrials.ru/prosheniya-n-i-buharina-v-prezidium-verhovnogo-soveta-sssr-o-pomilovanii/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8169	1938-03-12T22:08:53	2022-04-09T11:29:32	chernovye-varianty-poslednego-slova-n-i-buharina-na-proczesse-pravotroczkistskogo-czentra	http://showtrials.ru/chernovye-varianty-poslednego-slova-n-i-buharina-na-proczesse-pravotroczkistskogo-czentra/	publish	post	standard		138	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8436	1938-03-12T18:56:20	2022-04-24T18:58:07	zapis-razgovorov-po-obektu-v-87-28	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-28/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8434	1938-03-11T18:53:57	2022-04-24T18:56:03	zapis-razgovorov-po-obektu-v-87-27	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-27/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
8432	1938-03-10T18:51:04	2022-04-24T18:53:44	zapis-razgovorov-po-obektu-v-87-26	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-26/	publish	post	standard		139	136	_acf_changed,footnotes		_links,acf,author,categories,class_list,comment_status,content,date,date_gmt,excerpt,featured_media,format,guid,id,link,meta,modified,modified_gmt,ping_status,slug,status,sticky,tags,template,title,type
