term_type	term_id_or_value	count
category	80	434
category	67	370
category	77	367
category	72	233
category	75	152
category	130	105
category	137	71
category	138	70
category	76	55
category	78	47
category	143	45
category	139	34
category	79	34
category	148	31
category	71	24
category	142	19
category	70	19
category	147	16
category	65	15
category	84	14
category	145	13
category	131	11
category	73	10
category	141	6
category	38	5
category	81	5
category	82	5
category	1	4
category	88	4
category	146	3
category	69	3
category	85	3
category	144	2
category	96	2
tag	118	183
tag	97	112
tag	136	104
tag	121	69
tag	106	58
tag	105	55
tag	115	48
tag	120	46
tag	119	41
tag	100	38
tag	103	36
tag	116	36
tag	104	33
tag	117	31
tag	126	24
tag	98	23
tag	122	19
tag	111	17
tag	114	17
tag	99	17
tag	101	15
tag	109	13
tag	132	13
tag	107	12
tag	112	12
tag	102	11
tag	108	6
tag	110	6
tag	113	5
tag	125	5
tag	127	4
tag	133	4
tag	134	4
tag	123	1
tag	140	1
tag	92	1
format	standard	2179
status	publish	2179
template		2179
