scope	term	document_count	total_words
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	515	1028152
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	482	1305930
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	426	412739
process	КРЕМЛЕВСКОЕ ДЕЛО	293	381969
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	284	776262
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	175	117100
process	ТРОЦКИЙ	31	16882
process	РАЗНЫЕ ДОКУМЕНТЫ	5	14302
process	СТАТЬИ	2	63665
collection	МАТЕРИАЛЫ СЛЕДСТВИЯ	1630	2608457
collection	ДРУГИЕ ДОКУМЕНТЫ	182	279346
collection	БУХАРИН	104	228688
collection	ОЛЬБЕРГ	80	42145
collection	ПРЕДЫСТОРИЯ	71	62299
collection	ХОД ПРОЦЕССА	36	542731
collection	ТРОЦКИЙ	31	16882
collection	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ	26	76524
collection	Г.Б. СИНАНИ-СКАЛОВ	13	26166
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	10	6257
collection	СПРАВКА	10	21094
collection	ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.	6	113937
collection	РАЗНЫЕ ДОКУМЕНТЫ	5	14302
collection	СТАТЬИ	2	63665
collection	СПРАВКИ КПК И ИМЛ	1	182
category	Материалы следствия 1937	434	1056429
category	Материалы следствия 1936	370	706830
category	Материалы следствия московского центра	367	246346
category	Материалы следствия кремлевского дела	233	242696
category	Материалы следствия ленинградского центра	152	59817
category	Материалы следствия 1938	105	362968
category	Предыстория 1933	71	62299
category	Бухарин	70	167866
category	Другие документы московского центра	55	85465
category	Другие документы 1936	47	74023
category	Ольберг-Троцкий	45	9235
category	Другие документы 1937	34	34359
category	Прослушка	34	60822
category	Троцкий Седов и другие	31	16882
category	Материалы партийной проверки кремлевского дела	24	32366
category	Прочие документы	24	37345
category	Ольберг	19	26593
category	Ольберг-Троцкий-Два	16	6317
category	Стенограмма 1936	15	202360
category	Стенограмма 1937	14	215142
category	Синани	13	26166
category	Другие документы 1938	11	39034
category	Дело Петра Николаева	10	6257
category	Февральско-мартовский пленум	6	113937
category	Дело Анатолия Румянцева	5	1738
category	Разные документы	5	14302
category	Все тематики	4	3243
category	Стенограмма московского центра	4	80928
category	Дело об анонимке	3	4588
category	Стенограмма ленинградского центра	3	44301
category	Троцкий и троцкисты 1936	3	2794
category	Article	2	63665
category	Июньский пленум ЦК 1935 г.	2	44158
tag	Правые	183	581064
tag	Украинская группа (НКВД УССР)	112	170723
tag	Бухарин	104	228688
tag	Вредители на железной дороге	69	206058
tag	Зиновьевский центр	58	150209
tag	Троцкистский центр	55	166336
tag	Группа Пятакова	48	119476
tag	Троцкисты Азово-Черноморского края	46	122749
tag	Вредители в угольной промышленности	41	131812
tag	Группа Шемелева	38	67646
tag	Горьковская группа	36	87074
tag	Группа Радека	36	106115
tag	Группа Ольберга	33	88511
tag	Параллельный центр	31	71088
tag	Грузинские троцкисты	24	43365
tag	Группа В.М. Попова (УНКВД СССР по Горькраю)	23	42298
tag	Вредители в химической промышленности	19	41749
tag	Военные-троцкисты	17	24720
tag	Группа Муралова	17	35011
tag	Группа историков	17	43303
tag	Группа Дмитриева	15	44182
tag	Партизаны	13	36406
tag	Юрий Гавен	13	47315
tag	Иммигранты	12	41143
tag	Общество политкаторжан	12	15696
tag	Ленинградская группа	11	43851
tag	Группа Вяткина	6	7187
tag	Группа Коминтерна	6	11545
tag	Группа Грюнштейна	5	12200
tag	Группа Ломинадзе	5	10856
tag	Вредители на электростанциях	4	12771
tag	Сын Зиновьева	4	6860
tag	Уральские троцкисты	4	14791
tag	Moscow	1	432
tag	Уралвагонстрой	1	5687
tag	прав	1	217
