file	filename	chars	words	lines	html_tag_like	html_entity_like	nbsp_char	many_spaces	many_blank_lines	footnote_marker	archive_ref	editorial_braces	angle_editorial	stamp_marker
/tmp/showtrials-discovery/export-txt/10004_stenogramma-oprosa-l-b-kameneva-e-m-yaroslavskim-v-czkk-vkpb.txt	10004_stenogramma-oprosa-l-b-kameneva-e-m-yaroslavskim-v-czkk-vkpb.txt	11317	1729	135	3	0	62	0	0	0	10	0	3	0
/tmp/showtrials-discovery/export-txt/10040_pismo-postoyannogo-korrespondenta-pravdy-na-severnom-kavkaze-l-perevozkina-l-z-m.txt	10040_pismo-postoyannogo-korrespondenta-pravdy-na-severnom-kavkaze-l-perevozkina-l-z-m.txt	3417	443	36	2	0	13	0	0	0	5	0	2	0
/tmp/showtrials-discovery/export-txt/10058_pismo-uplonomochennogo.txt	10058_pismo-uplonomochennogo.txt	3682	498	111	5	0	15	0	0	0	10	0	5	0
/tmp/showtrials-discovery/export-txt/10069_proekt-zaklyucheniya-po-aktu-priemki-sdachi-del-po-sekretariatu-czik-sssr.txt	10069_proekt-zaklyucheniya-po-aktu-priemki-sdachi-del-po-sekretariatu-czik-sssr.txt	14002	1771	169	20	0	41	0	0	0	21	0	20	0
/tmp/showtrials-discovery/export-txt/10123_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-opisi-arhiva-troczkistov-.txt	10123_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-opisi-arhiva-troczkistov-.txt	10964	1651	335	20	0	13	0	0	0	11	0	20	0
/tmp/showtrials-discovery/export-txt/10133_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-o-ravich-o-g-.txt	10133_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-o-ravich-o-g-.txt	7655	1165	95	3	0	14	0	0	0	10	0	3	0
/tmp/showtrials-discovery/export-txt/10138_soobshhenie-a-ya-vyshinskogo-i-v-stalinu-otnositelno-zapiski-g-g-yagody-o-troczk.txt	10138_soobshhenie-a-ya-vyshinskogo-i-v-stalinu-otnositelno-zapiski-g-g-yagody-o-troczk.txt	2816	403	92	2	0	23	0	0	0	15	0	2	0
/tmp/showtrials-discovery/export-txt/10238_pismo-t-i-glebovoj-i-v-stalinu-2.txt	10238_pismo-t-i-glebovoj-i-v-stalinu-2.txt	4989	723	48	6	0	5	0	0	0	5	0	6	0
/tmp/showtrials-discovery/export-txt/10282_protokol-doprosa-p-p-olberga-2.txt	10282_protokol-doprosa-p-p-olberga-2.txt	7954	1221	140	10	0	9	0	0	0	5	0	10	0
/tmp/showtrials-discovery/export-txt/10470_speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-ar.txt	10470_speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-ar.txt	81813	10727	635	207	0	26	0	0	0	6	0	207	0
/tmp/showtrials-discovery/export-txt/10488_pismo-l-l-sedova-v-p-olbergu-22.txt	10488_pismo-l-l-sedova-v-p-olbergu-22.txt	2336	360	35	6	0	7	0	0	6	5	0	6	0
/tmp/showtrials-discovery/export-txt/10505_spravka-m-i-gaya-o-svyazyah-d-s-tajcza.txt	10505_spravka-m-i-gaya-o-svyazyah-d-s-tajcza.txt	2734	380	44	2	0	78	0	0	0	5	0	2	0
/tmp/showtrials-discovery/export-txt/10567_informaczionnoe-pismo-nkvd-ob-a-ya-aroseve.txt	10567_informaczionnoe-pismo-nkvd-ob-a-ya-aroseve.txt	9150	1355	66	1	0	13	0	0	4	6	0	1	0
/tmp/showtrials-discovery/export-txt/10574_zapiska-zamestitelya-zaveduyushhego-planfintorgotdelom-czk-vkpb-d-s-gurevicha-n-.txt	10574_zapiska-zamestitelya-zaveduyushhego-planfintorgotdelom-czk-vkpb-d-s-gurevicha-n-.txt	9593	1383	159	1	0	69	0	0	0	21	0	1	0
/tmp/showtrials-discovery/export-txt/10591_soobshhenie-ino-gugb.txt	10591_soobshhenie-ino-gugb.txt	1294	176	38	0	0	5	0	0	0	5	0	0	0
