raw_detected_attachment_types	normalized_attachment_type
diary	diary
diary|generic_attachment|interrogation_protocol	interrogation_protocol
diary|generic_attachment|interrogation_protocol|memo|theses	interrogation_protocol
diary|generic_attachment|interrogation_protocol|reference_note|theses	interrogation_protocol
diary|generic_attachment|interrogation_protocol|theses	interrogation_protocol
diary|generic_attachment|theses	diary
diary|theses	diary
draft_project|generic_attachment	draft_project
generic_attachment	unknown_attachment
generic_attachment|interrogation_protocol	interrogation_protocol
generic_attachment|interrogation_protocol|list	interrogation_protocol
generic_attachment|interrogation_protocol|list|memo	interrogation_protocol
generic_attachment|interrogation_protocol|list|memo|theses	interrogation_protocol
generic_attachment|interrogation_protocol|list|reference_note	interrogation_protocol
generic_attachment|interrogation_protocol|list|theses	interrogation_protocol
generic_attachment|interrogation_protocol|memo	interrogation_protocol
generic_attachment|interrogation_protocol|memo|reference_note	interrogation_protocol
generic_attachment|interrogation_protocol|memo|theses	interrogation_protocol
generic_attachment|interrogation_protocol|reference_note	interrogation_protocol
generic_attachment|interrogation_protocol|reference_note|theses	interrogation_protocol
generic_attachment|interrogation_protocol|theses	interrogation_protocol
generic_attachment|list	list
generic_attachment|list|memo	memo
generic_attachment|list|memo|theses	memo
generic_attachment|list|theses	list
generic_attachment|memo	memo
generic_attachment|memo|reference_note	memo
generic_attachment|memo|theses	memo
generic_attachment|reference_note	reference_note
generic_attachment|theses	theses
interrogation_protocol	interrogation_protocol
interrogation_protocol|reference_note	interrogation_protocol
memo	memo
memo|reference_note	memo
theses	theses
