document_type	documents	chars	d1_recommendation	expected_structure	primary_chunk_unit	secondary_chunk_unit	target_chunk_chars	soft_max_chars	hard_max_chars	preserve_boundaries	fallback_strategy	manual_review_required	blueprint_status	notes
special_report	526	9604474	strict_structural_chunking_required	classification/header + recipient/sender + body + attached materials	header_body_attachment_block	paragraph_within_body_or_attachment	3200	4500	5000	header/body/attachment blocks	keep attachments separate; split oversized body or attachment blocks by paragraph	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks
interrogation_protocol	982	7301792	standard_structural_chunking	header + question/answer blocks + signature	question_answer_block	paragraph_within_answer	3000	4500	5000	question_answer_blocks	merge short adjacent Q/A or exchange blocks; split oversized answers on paragraph boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
session_transcript	51	4934530	strict_structural_chunking_required	session header + speaker turns + procedural notes	speaker_turn_or_procedural_block	paragraph_within_speaker_turn	3000	4200	5000	speaker turns and procedural notes	merge short adjacent speaker turns; split oversized turns on paragraph boundaries	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks
letter	256	1481811	standard_structural_chunking	addressee/salutation + body + signature + attachments if present	paragraph_or_letter_section	paragraph	3000	4500	5000	letter sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
statement	78	977750	strict_structural_chunking_required	header/addressee + narrative or numbered statement + signature	paragraph_or_numbered_section	paragraph	3200	4500	5000	numbered sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
biographical_article	2	438269	strict_structural_chunking_required	article title + prose sections + chronology	article_section_or_paragraph_block	paragraph	3300	4500	5000	article sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks; avoid lexical false-positive QA detection
memo_note	40	412107	standard_structural_chunking	header + memo body + attachments + signature	memo_section_or_attachment_block	paragraph	3200	4500	5000	memo sections and attachment blocks	keep attachments separate; split oversized body or attachment blocks by paragraph	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
conversation_recording	34	360525	standard_structural_chunking	recording header + speaker turns + pauses/notes + signature	speaker_turn_or_conversation_note	paragraph_within_speaker_turn	3000	4300	5000	speaker turns and conversation notes	merge short adjacent speaker turns; split oversized turns on paragraph boundaries	yes	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
testimony	48	336308	standard_structural_chunking	header + narrative testimony or Q/A remnants + signature	narrative_paragraph_or_qa_block	paragraph	3200	4500	5000	narrative paragraphs or explicit Q/A blocks	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
confrontation_protocol	57	318436	standard_structural_chunking	header + alternating confrontation exchanges + signature	speaker_or_exchange_turn	paragraph_within_exchange	3000	4500	5000	exchange turns	merge short adjacent speaker turns; split oversized turns on paragraph boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
list	16	250232	strict_structural_chunking_required	list title/header + records/items	list_item_group	record_item	2800	3000	5000	list records/items	group adjacent records until target size; split oversized records only at internal line breaks	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks
indictment	5	170448	strict_structural_chunking_required	header + legal sections + charges + conclusion	legal_section_or_charge_block	paragraph	3000	4300	5000	legal sections and charge blocks	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks
press_summary	4	159278	strict_structural_chunking_required	press/source header + report sections + paragraphs	press_item_or_paragraph_block	paragraph	3200	4500	5000	press items and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
administrative_report	16	97861	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
reference_note	6	91263	strict_structural_chunking_required	header + factual sections + evidence extracts	factual_section_or_extract	paragraph	3000	4300	5000	factual sections and evidence extracts	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=header_body_attachments
draft_project	4	69908	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
explanation	4	43399	strict_structural_chunking_required	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3200	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
speech	2	41779	strict_structural_chunking_required	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=whole_or_light_paragraph_chunks
program	1	32779	strict_structural_chunking_required	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	yes	ready_for_human_review	d2_dominant_unit=question_answer_blocks; avoid lexical false-positive QA detection
verdict_or_sentence	3	30263	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3000	4300	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks
brochure	1	29330	standard_structural_chunking	document header + prose sections or records + closing matter	section_or_paragraph_block	paragraph	3300	4500	5000	document sections and paragraphs	group adjacent paragraphs until target size; split oversized paragraphs at sentence-like boundaries	sample_review	ready_for_human_review	d2_dominant_unit=question_answer_blocks; avoid lexical false-positive QA detection
