document_type	documents	chars	median_chars	p95_chars	max_chars	whole_document_likely_ok	chunking_required_docs	profile_strategy	target_chunk_chars	soft_max_chars	hard_max_chars	recommendation
special_report	526	9604474	14729	42177	179437	49	414	classification_recipient_body_attachments	3200	4500	5000	strict_structural_chunking_required
interrogation_protocol	982	7301792	5406	20886	64769	411	308	protocol_header_then_question_answer_blocks	3000	4500	5000	standard_structural_chunking
session_transcript	51	4934530	109501	217431	298447	2	47	session_header_then_speaker_turns	3000	4200	5000	strict_structural_chunking_required
letter	256	1481811	2883	21022	58553	168	53	salutation_body_signature	3000	4500	5000	standard_structural_chunking
statement	78	977750	5205	35162	195887	32	27	header_then_numbered_or_paragraph_blocks	3200	4500	5000	strict_structural_chunking_required
biographical_article	2	438269	219134	250227	250227	0	2	paragraph_blocks_with_headings	3500	4500	5000	strict_structural_chunking_required
memo_note	40	412107	4580	23239	152053	20	13	header_body_attachments	3200	4500	5000	standard_structural_chunking
conversation_recording	34	360525	7519	20069	48430	6	16	generic_paragraph_blocks	3000	4300	5000	standard_structural_chunking
testimony	48	336308	4561	19123	54103	23	15	header_then_narrative_blocks	3200	4500	5000	standard_structural_chunking
confrontation_protocol	57	318436	2053	26931	53908	46	8	protocol_header_then_alternating_speaker_blocks	3000	4500	5000	standard_structural_chunking
list	16	250232	7482	39800	54365	4	7	list_items_grouped	1800	3000	5000	strict_structural_chunking_required
indictment	5	170448	31044	54006	54006	0	5	sections_charges_numbered_points	3000	4300	5000	strict_structural_chunking_required
press_summary	4	159278	38354	48440	48440	0	4	press_sections_and_paragraphs	3200	4500	5000	strict_structural_chunking_required
administrative_report	16	97861	2678	18715	26777	12	4	header_then_body_paragraphs	3200	4500	5000	standard_structural_chunking
reference_note	6	91263	8463	49353	49353	2	4	header_factual_paragraphs	3000	4300	5000	strict_structural_chunking_required
draft_project	4	69908	18161	27158	27158	0	3	draft_sections_numbered_points	3000	4300	5000	standard_structural_chunking
explanation	4	43399	2136	37407	37407	3	1	paragraph_blocks	3200	4500	5000	strict_structural_chunking_required
speech	2	41779	20889	37283	37283	1	1	speech_sections_or_paragraphs	3300	4500	5000	strict_structural_chunking_required
program	1	32779	32779	32779	32779	0	1	program_sections	3000	4300	5000	strict_structural_chunking_required
verdict_or_sentence	3	30263	11628	11899	11899	0	2	sections_findings_sentence	3000	4300	5000	standard_structural_chunking
brochure	1	29330	29330	29330	29330	0	1	section_headings_and_paragraphs	3500	4500	5000	standard_structural_chunking
telegram	15	27564	1348	5010	5532	13	0	whole_document_or_header_body	2500	4000	5000	light_chunking_by_paragraph_or_section
plan_instruction	3	26029	11419	11961	11961	1	2	instruction_points	2800	4200	5000	standard_structural_chunking
autobiography	1	18165	18165	18165	18165	0	1	chronological_paragraph_blocks	3300	4500	5000	standard_structural_chunking
plea_pardon	2	17747	8873	11712	11712	0	1	petition_structure	3000	4300	5000	standard_structural_chunking
questionnaire_response	2	16713	8356	8710	8710	0	2	question_answer_pairs	2500	4000	5000	standard_structural_chunking
correspondence	2	15848	7924	7996	7996	0	0	split_individual_letters_then_letter_profile	3000	4500	5000	light_chunking_by_paragraph_or_section
article	2	15684	7842	11535	11535	1	1	paragraph_blocks	3500	4500	5000	standard_structural_chunking
summary	7	14715	2107	2739	2739	7	0	summary_sections_or_paragraphs	3200	4500	5000	translate_whole_document
interrogation_extract	1	14237	14237	14237	14237	0	1	extract_header_then_question_answer_blocks	3000	4300	5000	standard_structural_chunking
decree_resolution	3	9970	1019	8108	8108	2	1	resolution_points	2800	4200	5000	standard_structural_chunking
poem	1	8927	8927	8927	8927	0	1	stanzas	1800	3000	5000	standard_structural_chunking
medical_act	1	6240	6240	6240	6240	0	0	medical_form_sections	2500	4000	5000	light_chunking_by_paragraph_or_section
data_extract	2	3202	1601	1742	1742	2	0	rows_or_records	1800	3000	5000	translate_whole_document
search_protocol	1	2204	2204	2204	2204	1	0	protocol_header_inventory_signature	2500	4000	5000	translate_whole_document
