document_post_id	document_title	primary_process	package_likelihood	attachment_type	dominant_attachment_type
1541	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте бывших зиновьевцев	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	possible	theses	theses
1704	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением анонимного письма за подписью “Г.”	КРЕМЛЕВСКОЕ ДЕЛО	strong	list	list
1726	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.С. Жалыбиной-Быковой (в качестве свидетеля)	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
1726	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.С. Жалыбиной-Быковой (в качестве свидетеля)	КРЕМЛЕВСКОЕ ДЕЛО	strong	reference_note	interrogation_protocol
2083	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте троцкистов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	possible	memo	memo
3391	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления М.М. Харитонова И.В. Сталину	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	strong	unknown_attachment	unknown_attachment
4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	interrogation_protocol	interrogation_protocol
4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	interrogation_protocol
4203	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением заявления М.С. Голендо в ЦК ВКП(б) от 1 июля 1935 г. и заметок из газеты “Правда”.	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	theses	interrogation_protocol
4269	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса В.Ф. Логинова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	strong	interrogation_protocol	interrogation_protocol
4272	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Г.Я. Сокольникова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	strong	interrogation_protocol	interrogation_protocol
4772	Спецсообщение Г.Г. Ягоды И.В. Сталину об обыске и аресте С.В. Мрачковского с приложением письма С.В. Мрачковского К.Е. Ворошилову	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	strong	reference_note	reference_note
4868	Спецсообщение Я.С. Агранова И.В. Сталину с приложением протокола допроса А.И. Синелобова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4869	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса В.Г. Дорошина	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4891	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4948	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4958	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.А. Розенфельд	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4961	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса М.К. Чернявского	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4968	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.Ф. Шараповой	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4981	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Л.Я. Нехамкина	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4992	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
4992	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Н.Б. Розенфельда	КРЕМЛЕВСКОЕ ДЕЛО	strong	reference_note	interrogation_protocol
5004	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса К.К. Муханова	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
5009	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса Д.С. Азбеля	КРЕМЛЕВСКОЕ ДЕЛО	strong	interrogation_protocol	interrogation_protocol
