document_post_id	marker	attachment_type_guess	context_snippet
8151	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.И. Рыкова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-07-19...
8151	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.И. Рыкова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-07-19...
8151	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.И. Рыкова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Правые 1937-07-19T13:17:20 speczsoo...
8151	направляю	package_marker	...Членам ПБ, Литвинову, Потемкину, Межлауку В., Рухимовичу. Ст. ] СОВЕРШЕННО СЕКРЕТНО СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса РЫКОВА А.И. от 19-го июля с<его> г<ода>. НАРОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР – Ежов (Н. ЕЖОВ) 1...
8151	протокол допроса	interrogation_protocol	...Литвинову, Потемкину, Межлауку В., Рухимовичу. Ст. ] СОВЕРШЕННО СЕКРЕТНО СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса РЫКОВА А.И. от 19-го июля с<его> г<ода>. НАРОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР – Ежов (Н. ЕЖОВ) 19 июля 1937 г. №...
8151	протокол допроса	interrogation_protocol	...Л. 211. [Штамп: Размножено 20. VII 19 37 г. 30 экз. (подпись) Мишустина ] [Штамп: Разосланы 20. VII 19 37 г. № П3840 ] ПРОТОКОЛ ДОПРОСА РЫКОВА, Алексея Ивановича От 19 июля 1937 года. Вопрос: На предыдущем допросе вы показали, что объединенный (контактный...
8148	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.М. Букалова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Украинская груп...
8148	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.М. Букалова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Украинская груп...
8148	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.М. Букалова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 Украинская группа (НКВД УССР) 193...
8148	направляю	package_marker	...hova-i-v-stalinu-s-prilozheniem-protokola-doprosa-n-m-bukalova СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса участника контрреволюционной троцкистско-террористической организации, бывшего председателя Одесского...
8148	протокол допроса	interrogation_protocol	...talinu-s-prilozheniem-protokola-doprosa-n-m-bukalova СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса участника контрреволюционной троцкистско-террористической организации, бывшего председателя Одесского Горсовета БУКАЛОВ...
8148	протокол допроса	interrogation_protocol	...РОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР: Ежов (Н. ЕЖОВ) 19 июля 1937 г. № 58567 РГАСПИ Ф. 17, Оп. 171, Д. 314, Л. 162. ПРОТОКОЛ ДОПРОСА БУКАЛОВА, Николая Митрофановича , – от 5-го июля 1937 года. БУКАЛОВ Н.М. , 1905 г<ода> рожд<ения>, из семьи служащего-ж...
8153	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Ф. Ульянова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 1937-06-28T17:3...
8153	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Ф. Ульянова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 1937-06-28T17:3...
8153	протокол допроса	interrogation_protocol	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.Ф. Ульянова ПРОЦЕСС 2-12 МАРТА 1938 г. МАТЕРИАЛЫ СЛЕДСТВИЯ Материалы следствия 1938 1937-06-28T17:32:10 speczsoobshhe...
8153	направляю	package_marker	...hova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-f-ulyanova СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса участника объединенного антисоветского подполья в Белоруссии – УЛЬЯНОВА А.Ф. от 28/VI-37 г. Следствие...
8153	протокол допроса	interrogation_protocol	...talinu-s-prilozheniem-protokola-doprosa-a-f-ulyanova СОВЕРШЕННО СЕКРЕТНО. СЕКРЕТАРЮ ЦК ВКП(б) – тов. СТАЛИНУ. Направляю протокол допроса участника объединенного антисоветского подполья в Белоруссии – УЛЬЯНОВА А.Ф. от 28/VI-37 г. Следствие продолжается. НАР...
8153	протокол допроса	interrogation_protocol	...АРОДНЫЙ КОМИССАР ВНУТРЕННИХ ДЕЛ СОЮЗА ССР Ежов (Н. ЕЖОВ) 16 июля 1937 г. № 58517 РГАСПИ Ф. 17, Оп. 171, Д. 314, Л. 104. ПРОТОКОЛ ДОПРОСА УЛЬЯНОВА, Александра Федоровича От 28 июня 1937 года. УЛЬЯНОВ Александр Федорович , 1901 г<ода> р<ождения>, белорус, в...
8709	с приложением	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин | Материалы следствия 19...
8709	приложение	package_marker	Спецсообщение Н.И. Ежова И.В. Сталину с приложением заявления Н.И. Бухарина о согласии давать показания ПРОЦЕСС 2-12 МАРТА 1938 г. БУХАРИН Бухарин | Материалы следствия 19...
