summary_scope	summary_key	documents	strong	likely	possible	none
primary_process	КРЕМЛЕВСКОЕ ДЕЛО	47	45	0	0	2
primary_process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	121	114	0	4	3
primary_process	ПРОЦЕСС 2-12 МАРТА 1938 г.	93	88	0	2	3
primary_process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	254	248	0	1	5
primary_process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	1	0	0	0
primary_process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	8	4	0	3	1
primary_process	РАЗНЫЕ ДОКУМЕНТЫ	2	2	0	0	0
attachment_type	diary	8	7	0	1	0
attachment_type	draft_project	1	1	0	0	0
attachment_type	generic_attachment	499	499	0	0	0
attachment_type	interrogation_protocol	447	444	0	3	0
attachment_type	list	39	39	0	0	0
attachment_type	memo	53	51	0	2	0
attachment_type	reference_note	37	37	0	0	0
attachment_type	theses	42	41	0	1	0
