document_post_id	document_type	pattern	document_title	sample
9470	biographical_article	question_answer_markers	Георгий Борисович Синани-Скалов	вистском собрании, на расширенном заседании меньшевистской группы был поставлен вопрос об организации дружины. Я голосовал против этого дела, ибо находился на мартовских позициях, что против ошибающейся части пролетариата не должно быть вооруженн
9470	biographical_article	date_headers	Георгий Борисович Синани-Скалов	а параллельно разворачивался скандал в связи с публикацией в номере “Правде” от 29 декабря 1934 г. статьи, якобы преувеличившей роль Енукидзе в бакинской партийной организации, а затем “исправлений” к этой статье в номере от 1 января 1935 г.). Но в сгустивше
9470	biographical_article	signature_markers	Георгий Борисович Синани-Скалов	омощником военного комиссара Петроградского военного округа – эсера Малевского. Подпись Скалова стоит под призывом всем полковникам и соответствующим комитетам частей Петрограда, Царского Села, Красного Села, Гатчины, Ораниенбаума, Стрельны, Лигов
9470	biographical_article	attachment_markers	Георгий Борисович Синани-Скалов	ати, формально заведующий лендерсекретариатом, если он входил в так называемый “список №1”, имел право пользоваться казенным автотранспортом, вызывая машину в рабочее и нерабочее время. Фактически же на конец 1931 г. Скалов еще не значился ни в “
9470	biographical_article	salutation_markers	Георгий Борисович Синани-Скалов	в одном из уездов Семиречья, был назначен председателем комиссии по чистке один товарищ, рабочий, недавно взятый с производства. Он не разбирался в местных условиях. С ним в комиссии были еще два товарища. Эта комиссия была использована одним из к
9470	biographical_article	list_density	Георгий Борисович Синани-Скалов	Георгий Борисович Синани-Скалов СТАТЬИ СТАТЬИ Article 2022-12-08T15:06:30 georgij-borisovich-sinani-skalov I Предначертано было Георгию Борисовичу Скалову стать одним
9366	biographical_article	question_answer_markers	Валентин Ольберг	пу. Что же касается Фрица Давида и Бермана-Юрина, то пока нет четкого ответа на вопрос, чем они привлекли к себе внимание чекистов-“областников” – возможно, те просто наугад выдернули из картотеки двух подходящих “подучетных”, чтобы приписать им
9366	biographical_article	date_headers	Валентин Ольберг	евреем. Отец его, Павел Карлович Ольберг (настоящее имя Гирш Шмушкович) родился 22 ноября 1878 г. в Якобштадте (теперь Екабпилс, Латвия), в 17 лет вступил в Бунд, впоследствии примкнул к меньшевикам. Участвовал в революции 1905 г., после ее поражения уехал
9366	biographical_article	signature_markers	Валентин Ольберг	рный враг нагло шлет в нашу страну тайные знаки, а мы ничего не можем поделать! Следователь на полном серьезе допытывается у “эмиссара”: “Почему он Вам писал в конце 1935 г. в Сталинабад, хотя Вы в это время были в Горьком, и что означает приписка на
9366	biographical_article	attachment_markers	Валентин Ольберг	несуществующим) центром. После этого Фуртичев был включен чекистами в зловещий “список лиц, проходящих по показаниям, но не арестованных”. Как говорят чекисты, “то, что вас не арестовали, – это не ваша заслуга, а наша недоработка”. Вскоре чекисты
9366	biographical_article	salutation_markers	Валентин Ольберг	будут. Вот к другим – там понятно, пробы ставить негде, только расстрел, а вам, дорогой товарищ, дадут несколько лет лагерей, а потом, глядишь, и скостят срок. Если, конечно, вы без запинки отыграете свою роль. Для этого, без сомнения, в числе про
9366	biographical_article	list_density	Валентин Ольберг	Валентин Ольберг СТАТЬИ СТАТЬИ Article 2022-10-26T13:25:08 valentin-olberg На каждом из больших открытых судебно-политических процессов 1936-1938 г.г., в каждом из сост
