document_type	sample_no	document_post_id	content_chars	content_words	primary_process	document_title	sample_path	document_url
special_report	1	3390	398	60	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте М.М. Харитонова	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/01_3390_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-ob-areste-m-m-haritonova/
special_report	2	5809	8896	1314	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса Б.И. Кузьмичева	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/02_5809_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-b-i-kuzmicheva-2/
special_report	3	7582	14760	2342	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Я.А. Лившица	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/03_7582_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-ya-a-livshicza-2/
special_report	4	6206	23060	3410	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Ю.М. Коцюбинского	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/04_6206_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-yu-m-koczyubinskogo-3/
special_report	5	7995	179437	24651	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением тюремных записок В.В. Кузьмина	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/05_7995_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tyuremnyh-zapisok-v-v-kuzmina/
special_report	6	8173	158588	21567	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Г.Г. Ягоды И.В. Сталину о троцкистской группе И.Н. Смирнова с приложением списков троцкистов	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/06_8173_._._._._._..txt	http://showtrials.ru/speczsoobshhenie-g-g-yagody-i-v-stalinu-o-troczkistskoj-gruppe-i-n-smirnova-s-prilozheniem-spiskov-troczkistov/
special_report	7	8849	105764	14417	ПРОЦЕСС 2-12 МАРТА 1938 г.	Спецсообщение Н.И. Ежова И.В. Сталину с приложением “Тезисов о современном положении и задачах партии”	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/07_8849_._._._..txt	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-tezisov-o-sovremennom-polozhenii-i-zadachah-partii/
special_report	8	10470	81158	10727	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Спецсообщение Я.С. Агранова И.В. Сталину с приложением меморандума по делу арестованных троцкистов	/srv/projects/showtrials-discovery/structural_samples_d2_1/special_report/08_10470_._._._..txt	http://showtrials.ru/speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-arestovannyh-troczkistov/
interrogation_protocol	1	3133	443	75	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Протокол допроса И.И. Котолынова	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/01_3133_._..txt	http://showtrials.ru/protokol-doprosa-i-i-kotolynova-11/
interrogation_protocol	2	3182	2741	416	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	Протокол допроса Л.В. Николаева	/srv/projects/showtrials-discovery/structural_samples_d2_1/interrogation_protocol/02_3182_._..txt	http://showtrials.ru/protokol-doprosa-l-v-nikolaeva-37/
