canonical_person_a	canonical_person_b	document_count
Ежов	Сталин	286
Сталин	Ягода	89
Ежов	Ягода	62
Агранов	Ежов	45
Ольберг	Седов	45
Бухарин	Сталин	37
Агранов	Сталин	20
Ежов	Прокофьева	19
Зиновьев	Сталин	17
Ольберг	Троцкий	17
Седов	Троцкий	16
Ежов	Пятаков	15
Радек	Сталин	15
Прокофьева	Сталин	14
Пятаков	Сталин	14
Сталин	Цетлина	13
Балицкого	Ежов	12
Ежов	Сокольников	12
Ежов	Радек	11
Сокольников	Сталин	11
Зиновьев	Ягода	11
Каменев	Сталин	10
Агранов	Цетлина	9
Рыков	Сталин	7
Бухарин	Рыков	7
Ежов	Мусульбаса	7
Мусульбаса	Сталин	7
Сталин	Яковлева	7
Ежов	Куликова	6
Мрачковский	Ягода	6
Ежов	Яковлева	6
Ежов	Рыков	5
Бухарин	Ежов	5
Ежов	Молчанова	5
Ольберг	Сталин	5
Ежов	Зиновьев	5
Ежов	Розенфельд	5
Глебовой	Сталин	5
Мрачковский	Сталин	5
Каменев	Ягода	5
Голубенко	Ежов	5
Рейнгольда	Ягода	5
Вышинский	Сталин	5
Ежов	Зайцева	5
Сталин	Тер-	5
Сталин	Шмидта	5
Кузьмина	Сталин	4
Бескиной	Ольберг	4
Агранов	Розенфельд	4
Агранов	Чернявского	4
Ежов	Чернявского	4
Сафарова	Сталин	4
Ежов	Каганович	4
Смирнов	Ягода	4
Ежов	Логинова	4
Ежов	Киллерога	4
Киллерога	Сталин	4
Сокольников	Ягода	4
Балицкого	Ягода	4
Рейнгольда	Сталин	4
Дрейцера	Ягода	4
Дрейцера	Сталин	4
Ежов	Шмидта	4
Гуревича	Ежов	4
Логинова	Ягода	4
Голубенко	Ягода	4
Ежов	Членов	3
Федотова	Ягода	3
Дмитриев	Прокофьева	3
Дмитриев	Ежов	3
Ежов	Молотов	3
Ольберг	Прокофьева	3
Ежов	Свердлова	3
Агранов	Каменев	3
Сталин	Шкирятова	3
Каганович	Сталин	3
Сталин	Харитонова	3
Астров	Сталин	3
Ежов	Марьясина	3
Марьясина	Сталин	3
Ежов	Овчинникова	3
Овчинникова	Сталин	3
Дитятевой	Ежов	3
Ежов	Лившица	3
Лившица	Сталин	3
Ежов	Серебряковым	3
Серебряковым	Сталин	3
Ежов	Оберталлера	3
Оберталлера	Сталин	3
Ежов	Серебрякова	3
Серебрякова	Сталин	3
Лукиной-	Сталин	3
Бухарин	Лукиной-	3
Куликова	Сталин	3
Глебова-	Ежов	3
Глебова-	Сталин	3
Гордона	Ежов	3
Гордона	Сталин	3
Ежов	Тивеля	3
Ежов	Каспаровой	3
Каспаровой	Сталин	3
Логинова	Сталин	3
Докучаева	Ежов	3
Ежов	Коцюбинского	3
Коцюбинского	Сталин	3
Пятаков	Ягода	3
Кузьмичева	Ягода	3
Балицкого	Голубенко	3
Бакаева	Ягода	3
Бакаева	Сталин	3
Тер-	Ягода	3
Дитятевой	Ягода	3
Аркуса	Ягода	3
Аркуса	Сталин	3
Биркенгофа	Ежов	3
Ежов	Розенфельда	3
Зорина	Сталин	3
Вышинский	Ежов	3
Москалева	Ягода	3
Лурье	Ягода	3
Гуревича	Сталин	3
Ежов	Карпова	3
Карпова	Сталин	3
Ежов	Яковенко	2
Сталин	Яковенко	2
Ежов	Лукницкого	2
Лукницкого	Сталин	2
Гогоберидзе	Ежов	2
Гогоберидзе	Сталин	2
Берии	Сталин	2
Сталин	Членов	2
Ежов	Постоловского	2
Постоловского	Сталин	2
Ежов	Кузьмина	2
Ежов	Маевского	2
Маевского	Сталин	2
Ежов	Радин	2
Радин	Сталин	2
Лариной	Сталин	2
Сталин	Федотова	2
Горовича	Сталин	2
Колодина	Прокофьева	2
