entity_type	entity_name	document_count	total_words	total_chars	avg_words	wp_term_id	wp_slug	wp_parent	wp_link
tag	UNSET	1175	1693630	11406296	1441.39				
tag	Правые	183	581064	3902335	3175.21	118	rights		http://showtrials.ru/tag/rights/
tag	Бухарин	104	228688	1451902	2198.92	136	bukharin		http://showtrials.ru/tag/bukharin/
tag	Вредители на железной дороге	69	206058	1430336	2986.35	121	railway-wreckers		http://showtrials.ru/tag/railway-wreckers/
tag	Украинская группа (НКВД УССР)	112	170723	1182687	1524.31	97	ukraine-group		http://showtrials.ru/tag/ukraine-group/
tag	Троцкистский центр	55	166336	1158793	3024.29	105	troczkistskij-czentr		http://showtrials.ru/tag/troczkistskij-czentr/
tag	Зиновьевский центр	58	150209	1053114	2589.81	106	zinovevskij-czentr		http://showtrials.ru/tag/zinovevskij-czentr/
tag	Вредители в угольной промышленности	41	131812	901076	3214.93	119	kuzbass-wreckers		http://showtrials.ru/tag/kuzbass-wreckers/
tag	Троцкисты Азово-Черноморского края	46	122749	834375	2668.46	120	rostov-group		http://showtrials.ru/tag/rostov-group/
tag	Группа Пятакова	48	119476	812751	2489.08	115	pyatakov		http://showtrials.ru/tag/pyatakov/
tag	Группа Радека	36	106115	715664	2947.64	116	radek		http://showtrials.ru/tag/radek/
tag	Группа Ольберга	33	88511	594740	2682.15	104	gruppa-olberga		http://showtrials.ru/tag/gruppa-olberga/
tag	Горьковская группа	36	87074	608437	2418.72	103	gorkovskaya-gruppa		http://showtrials.ru/tag/gorkovskaya-gruppa/
tag	Параллельный центр	31	71088	479056	2293.16	117	parallel-center		http://showtrials.ru/tag/parallel-center/
tag	Группа Шемелева	38	67646	471997	1780.16	100	shemelev		http://showtrials.ru/tag/shemelev/
tag	Юрий Гавен	13	47315	326362	3639.62	109	gaven		http://showtrials.ru/tag/gaven/
tag	Группа Дмитриева	15	44182	308453	2945.47	101	dmitriev		http://showtrials.ru/tag/dmitriev/
tag	Ленинградская группа	11	43851	302158	3986.45	102	leningradskaya-gruppa		http://showtrials.ru/tag/leningradskaya-gruppa/
tag	Грузинские троцкисты	24	43365	294730	1806.88	126	georgian-trotskyists		http://showtrials.ru/tag/georgian-trotskyists/
tag	Группа историков	17	43303	302969	2547.24	111	historians		http://showtrials.ru/tag/historians/
tag	Группа В.М. Попова (УНКВД СССР по Горькраю)	23	42298	295102	1839.04	98	popov_group		http://showtrials.ru/tag/popov_group/
tag	Вредители в химической промышленности	19	41749	292422	2197.32	122	chemical-wreckers		http://showtrials.ru/tag/chemical-wreckers/
tag	Иммигранты	12	41143	272773	3428.58	112	immigrants		http://showtrials.ru/tag/immigrants/
tag	Партизаны	13	36406	247175	2800.46	132	guerillas		http://showtrials.ru/tag/guerillas/
tag	Группа Муралова	17	35011	242967	2059.47	99	muralov		http://showtrials.ru/tag/muralov/
tag	Военные-троцкисты	17	24720	166375	1454.12	114	military		http://showtrials.ru/tag/military/
tag	Общество политкаторжан	12	15696	109572	1308.0	107	obshhestvo-politkatorzhan		http://showtrials.ru/tag/obshhestvo-politkatorzhan/
tag	Уральские троцкисты	4	14791	109157	3697.75	134	urals-trotskyists		http://showtrials.ru/tag/urals-trotskyists/
tag	Вредители на электростанциях	4	12771	88681	3192.75	133	power-stations		http://showtrials.ru/tag/power-stations/
tag	Группа Грюнштейна	5	12200	84631	2440.0	113	grunshtein		http://showtrials.ru/tag/grunshtein/
tag	Группа Коминтерна	6	11545	79786	1924.17	110	komintern		http://showtrials.ru/tag/komintern/
tag	Группа Ломинадзе	5	10856	74769	2171.2	125	lominadze-group		http://showtrials.ru/tag/lominadze-group/
tag	Группа Вяткина	6	7187	47720	1197.83	108	gruppa-vyatkina		http://showtrials.ru/tag/gruppa-vyatkina/
tag	Сын Зиновьева	4	6860	47577	1715.0	127	zinoviev-son		http://showtrials.ru/tag/zinoviev-son/
tag	Уралвагонстрой	1	5687	39734	5687.0	123	ural-railcar		http://showtrials.ru/tag/ural-railcar/
tag	Moscow	1	432	2799	432.0	92	moscow		http://showtrials.ru/tag/moscow/
tag	прав	1	217	1486	217.0	140	prav		http://showtrials.ru/tag/prav/
