person_a	person_b	document_count
Ежов	Сталин	286
Г.Г. Ягода	Сталин	89
Г.Г. Ягода	Ежов	62
Агранов	Ежов	45
Ольберг	Седов	45
Бухарин	Сталин	37
Агранов	Сталин	20
Г.Е. Прокофьева	Ежов	19
Зиновьев	Сталин	17
Л.Д. Троцкий	Седов	16
Ежов	Пятаков	15
Радек	Сталин	15
Г.Е. Прокофьева	Сталин	14
Пятаков	Сталин	14
Е.В. Цетлина	Сталин	13
В.А. Балицкого	Ежов	12
Ежов	Сокольников	12
Ежов	Радек	11
Сокольников	Сталин	11
Г.Г. Ягода	Зиновьев	11
Л.Д. Троцкий	Ольберг	11
Каменев	Сталин	10
Агранов	Е.В. Цетлина	9
Рыков	Сталин	7
Бухарин	Рыков	7
Ежов	И.А. Мусульбаса	7
И.А. Мусульбаса	Сталин	7
Е.Ф. Куликова	Ежов	6
Ольберг	Троцкий	6
Г.А. Молчанова	Ежов	6
Г.Г. Ягода	С.В. Мрачковский	6
Г.Г. Ягода	И.И. Рейнгольда	6
Ежов	Рыков	5
Бухарин	Ежов	5
Ольберг	Сталин	5
Ежов	Зиновьев	5
Ежов	Н.А. Розенфельд	5
Сталин	Т.И. Глебовой	5
С.В. Мрачковский	Сталин	5
Г.Г. Ягода	Каменев	5
В.А. Яковлева	Ежов	5
В.А. Яковлева	Сталин	5
Ежов	Н.В. Голубенко	5
И.И. Рейнгольда	Сталин	5
А.Я. Вышинский	Сталин	5
В.В. Кузьмина	Сталин	4
Ольберг	П.И. Бескиной	4
Агранов	Н.А. Розенфельд	4
Агранов	М.К. Чернявского	4
Ежов	М.К. Чернявского	4
Г.И. Сафарова	Сталин	4
Ежов	Л.М. Каганович	4
Г.Г. Ягода	Смирнов	4
В.Ф. Логинова	Ежов	4
Ежов	М.М. Киллерога	4
М.М. Киллерога	Сталин	4
Г.Г. Ягода	Сокольников	4
В.А. Балицкого	Г.Г. Ягода	4
Г.Г. Ягода	Е.А. Дрейцера	4
Е.А. Дрейцера	Сталин	4
В.Ф. Логинова	Г.Г. Ягода	4
Г.Г. Ягода	Н.В. Голубенко	4
Г.Г. Ягода	Г.М. Аркуса	4
Г.М. Аркуса	Сталин	4
А.И. Биркенгофа	Ежов	4
В.В. Шмидта	Ежов	3
Ежов	Членов	3
Г.Г. Ягода	И.К. Федотова	3
Г.Е. Прокофьева	Дмитриев	3
Дмитриев	Ежов	3
Ежов	Молотов	3
Г.Е. Прокофьева	Ольберг	3
А.Я. Свердлова	Ежов	3
Ежов	П.Ф. Зайцева	3
Агранов	Каменев	3
М.Ф. Шкирятову	Сталин	3
Л.М. Каганович	Сталин	3
М.М. Харитонова	Сталин	3
Астров	Сталин	3
Ежов	Л.М. Марьясина	3
Л.М. Марьясина	Сталин	3
Г.Ф. Овчинникова	Ежов	3
Г.Ф. Овчинникова	Сталин	3
Ежов	Л.Ф. Дитятевой	3
Ежов	Я.А. Лившица	3
Сталин	Я.А. Лившица	3
Ежов	Л.П. Серебряковым	3
Л.П. Серебряковым	Сталин	3
Б.М. Оберталлера	Ежов	3
Б.М. Оберталлера	Сталин	3
Ежов	Л.П. Серебрякова	3
Л.П. Серебрякова	Сталин	3
Н.М. Лукина-Бухарина	Сталин	3
Бухарин	Н.М. Лукина-Бухарина	3
Е.Ф. Куликова	Сталин	3
Ежов	Н.П. Глебов-Авилов	3
Н.П. Глебов-Авилов	Сталин	3
Ежов	Н.И. Гордона	3
Н.И. Гордона	Сталин	3
А.Ю. Тивеля	Ежов	3
В.Д. Каспаровой	Ежов	3
В.Д. Каспаровой	Сталин	3
В.Ф. Логинова	Сталин	3
А.А. Докучаева	Ежов	3
Ежов	Ю.М. Коцюбинского	3
Сталин	Ю.М. Коцюбинского	3
Ежов	И.М. Гуревича	3
Г.Г. Ягода	Пятаков	3
Б.И. Кузьмичева	Г.Г. Ягода	3
В.А. Балицкого	Н.В. Голубенко	3
Г.Г. Ягода	И.П. Бакаева	3
И.П. Бакаева	Сталин	3
В.А. Тер-Ваганян	Г.Г. Ягода	3
В.А. Тер-Ваганян	Сталин	3
Г.Г. Ягода	Л.Ф. Дитятевой	3
Д.А. Шмидта	Сталин	3
Ежов	И.Н. Маевского	3
И.Н. Маевского	Сталин	3
Ежов	С.Х. Варданиана	3
С.Х. Варданиана	Сталин	3
Ежов	Х.Г. Раковского	3
Ежов	С.А. Ратайчаком	3
С.А. Ратайчаком	Сталин	3
А.Я. Вышинский	Ежов	3
Г.Г. Ягода	Н.И. Москалева	3
В.Г. Яковенко	Ежов	2
В.Г. Яковенко	Сталин	2
Ежов	К.Н. Лукницкого	2
К.Н. Лукницкого	Сталин	2
Ежов	Л.Д. Гогоберидзе	2
Л.Д. Гогоберидзе	Сталин	2
В.В. Шмидта	Сталин	2
Л.П. Берии	Сталин	2
Сталин	Членов	2
Ежов	М.Ф. Постоловского	2
М.Ф. Постоловского	Сталин	2
В.В. Кузьмина	Ежов	2
Ежов	Радин	2
Радин	Сталин	2
А.М. Лариной	Сталин	2
И.К. Федотова	Сталин	2
И.И. Горовича	Сталин	2
А.Г. Колодина	Г.Е. Прокофьева	2
А.Г. Колодина	Сталин	2
Е.А. Афанасьева	Ежов	2
Агранов	Зиновьев	2
Ежов	С.Г. Радомысльского	2
Агранов	Г.Г. Ягода	2
А.С. Енукидзе	Ежов	2
Агранов	Р.С. Беннет	2
Ежов	Р.С. Беннет	2
Е.К. Мухановой	Н.А. Розенфельд	2
Агранов	В.Г. Белова	2
В.Г. Белова	Ежов	2
Агранов	Е.К. Мухановой	2
Е.К. Мухановой	Ежов	2
Г.Б. Синани-Скалов	Ежов	2
Ежов	Каменев	2
Ежов	Н.Б. Розенфельда	2
Ежов	З.М. Беленького	2
З.М. Беленького	М.Ф. Шкирятову	2
З.М. Беленького	Сталин	2
Г.Б. Синани-Скалов	М.Б. Черномордику	2
Д.С. Азбеля	Ежов	2
Агранов	К.К. Муханова	2
Ежов	К.К. Муханова	2
А.Ф. Шараповой	Агранов	2
А.Ф. Шараповой	Ежов	2
Ежов	М.М. Харитонова	2
Каменев	Т.И. Глебовой	2
Б.Н. Сахова	Сталин	2
Г.Г. Ягода	И.Т. Смилги	2
Л.А. Шацкина	Сталин	2
Г.Е. Евдокимова	Сталин	2
Г.И. Сафарова	Каменев	2
Г.Г. Ягода	М.М. Харитонова	2
В.В. Румянцева	Зиновьев	2
Г.Ф. Попова	Н.Н. Шатским	2
Г.К. Орджоникидзе	Сталин	2
Астров	Ежов	2
Б.Г. Козелева	Ежов	2
Б.Г. Козелева	Сталин	2
В.Ф. Головина	Ежов	2
В.Ф. Головина	Сталин	2
Ежов	Л.С. Тер-Минасов	2
Л.С. Тер-Минасов	Сталин	2
Д.П. Бухарцева	Ежов	2
Д.П. Бухарцева	Сталин	2
Л.Ф. Дитятевой	Сталин	2
В.А. Котова	Ежов	2
В.А. Котова	Сталин	2
А.М. Зорина	Ежов	2
А.М. Зорина	Сталин	2
А.И. Стецкого	Сталин	2
Ежов	Л.С. Мамишвили-Мишкевич	2
Л.С. Мамишвили-Мишкевич	Сталин	2
Ежов	К.С. Дорофеева	2
М.П. Томского	Сталин	2
Г.Г. Ягода	Н.Н. Алексеева	2
Смирнов	Сталин	2
Зиновьев	Л.М. Каганович	2
Д.Т. Шермергорна	Сталин	2
Ежов	М.С. Богуславского	2
М.С. Богуславского	Сталин	2
Пятаков	Сокольников	2
Ежов	И.Д. Турока	2
И.Д. Турока	Сталин	2
А.Д. Зайцева	Ежов	2
А.Д. Зайцева	Сталин	2
А.А. Хвыли	Сталин	2
Ежов	П.Ф. Сапожникова	2
П.Ф. Сапожникова	Сталин	2
Ежов	О.П. Дзениса	2
О.П. Дзениса	Сталин	2
А.М. Штейна	Ежов	2
А.М. Штейна	Сталин	2
Б.А. Кушнера	Ежов	2
Б.А. Кушнера	Сталин	2
Ежов	Н.И. Муралова	2
Н.И. Муралова	Сталин	2
Ежов	И.А. Князева	2
Л.З. Мехлиса	Сталин	2
Л.З. Мехлиса	Пятаков	2
Ежов	М.А. Жарикова	2
М.А. Жарикова	Сталин	2
В.И. Невского	Ежов	2
В.И. Невского	Сталин	2
Ежов	Л.Е. Тамма	2
Л.Е. Тамма	Сталин	2
Л.С. Сосновского	Сталин	2
В.И. Пучкова	Ежов	2
В.И. Пучкова	Сталин	2
В.М. Примакова	Ежов	2
А.А. Докучаева	Сталин	2
Б.М. Таля	Л.С. Сосновского	2
А.И. Потяева	Ежов	2
А.И. Потяева	Сталин	2
Г.Е. Пушина	Ежов	2
Г.Е. Пушина	Сталин	2
Д.И. Матвеева	Ежов	2
Д.И. Матвеева	Сталин	2
Н.В. Голубенко	Сталин	2
А.И. Юлина	Ежов	2
А.А. Шестова	Сталин	2
Ежов	Ф.И. Вайсберга	2
М.Н. Яковлева	Сталин	2
Г.А. Колоскова	Ежов	2
Г.А. Колоскова	Сталин	2
В.А. Балицкого	И.О. Гольденберга	2
Ежов	И.О. Гольденберга	2
В.А. Балицкого	И.М. Гуревича	2
Г.Г. Ягода	Е.Ф. Куликова	2
Ежов	Н.И. Москалева	2
В.А. Балицкого	В.Ф. Логинова	2
Г.Г. Ягода	М.О. Зюка	2
Б.И. Кузьмичева	Ежов	2
