scope	name	organization_family	document_count	total_words
global	ALL	security_apparatus	1473	3156961
global	ALL	party_apparatus	1430	3355968
global	ALL	press_media	380	1787092
global	ALL	international	320	1297983
global	ALL	state_apparatus	224	1070691
global	ALL	judicial_apparatus	41	361239
global	ALL	political_organizations	1	4354
process	КРЕМЛЕВСКОЕ ДЕЛО	security_apparatus	243	
process	КРЕМЛЕВСКОЕ ДЕЛО	party_apparatus	203	
process	КРЕМЛЕВСКОЕ ДЕЛО	state_apparatus	58	
process	КРЕМЛЕВСКОЕ ДЕЛО	press_media	35	
process	КРЕМЛЕВСКОЕ ДЕЛО	international	28	
process	КРЕМЛЕВСКОЕ ДЕЛО	judicial_apparatus	1	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	party_apparatus	323	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	security_apparatus	320	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	international	100	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	press_media	83	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	state_apparatus	31	
process	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	judicial_apparatus	22	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	party_apparatus	193	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	security_apparatus	150	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	press_media	82	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	state_apparatus	47	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	international	43	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	judicial_apparatus	2	
process	ПРОЦЕСС 2-12 МАРТА 1938 г.	political_organizations	1	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	party_apparatus	405	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	security_apparatus	396	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	press_media	125	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	state_apparatus	62	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	international	44	
process	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	judicial_apparatus	9	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	security_apparatus	142	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	party_apparatus	73	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	international	7	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	press_media	6	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	state_apparatus	3	
process	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	judicial_apparatus	1	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	party_apparatus	227	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	security_apparatus	217	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	international	93	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	press_media	43	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	state_apparatus	20	
process	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	judicial_apparatus	4	
process	РАЗНЫЕ ДОКУМЕНТЫ	party_apparatus	4	
process	РАЗНЫЕ ДОКУМЕНТЫ	security_apparatus	3	
process	РАЗНЫЕ ДОКУМЕНТЫ	international	2	
process	РАЗНЫЕ ДОКУМЕНТЫ	press_media	2	
process	РАЗНЫЕ ДОКУМЕНТЫ	state_apparatus	1	
process	СТАТЬИ	international	2	
process	СТАТЬИ	judicial_apparatus	2	
process	СТАТЬИ	party_apparatus	2	
process	СТАТЬИ	press_media	2	
process	СТАТЬИ	security_apparatus	2	
process	СТАТЬИ	state_apparatus	2	
process	ТРОЦКИЙ	press_media	2	
process	ТРОЦКИЙ	international	1	
collection	БУХАРИН	security_apparatus	48	
collection	БУХАРИН	press_media	38	
collection	БУХАРИН	party_apparatus	37	
collection	БУХАРИН	international	10	
collection	БУХАРИН	state_apparatus	8	
collection	Г.Б. СИНАНИ-СКАЛОВ	international	11	
collection	Г.Б. СИНАНИ-СКАЛОВ	party_apparatus	5	
collection	Г.Б. СИНАНИ-СКАЛОВ	press_media	2	
collection	Г.Б. СИНАНИ-СКАЛОВ	state_apparatus	2	
collection	Г.Б. СИНАНИ-СКАЛОВ	security_apparatus	1	
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	security_apparatus	9	
collection	ДЕЛО ПЕТРА НИКОЛАЕВА	party_apparatus	4	
collection	ДРУГИЕ ДОКУМЕНТЫ	party_apparatus	129	
collection	ДРУГИЕ ДОКУМЕНТЫ	security_apparatus	73	
collection	ДРУГИЕ ДОКУМЕНТЫ	press_media	58	
