organization	organization_family	person_count	top_people	total_pair_document_sum
ВКП(б)	party_apparatus	671	Ежов:451 | Сталин:445 | Г.Г. Ягода:156 | Агранов:69 | Бухарин:38 | Зиновьев:35 | Г.Е. Прокофьева:33 | Пятаков:20 | Радек:17 | Каменев:16 | Рыков:16 | Сокольников:16 | Е.В. Цетлина:15 | Л.В. Николаева:15 | Ольберг:14	2631
ГУГБ	security_apparatus	590	Ежов:378 | Сталин:328 | Г.Г. Ягода:116 | Агранов:51 | Л.В. Николаева:42 | Г.Е. Прокофьева:31 | Г.И. Сафарова:27 | Ольберг:17 | Н.А. Розенфельд:15 | Пятаков:14 | Зиновьев:13 | Каменев:13 | Е.К. Мухановой:12 | Сокольников:12 | И.И. Рейнгольда:11	2238
ЦК ВКП(б)	party_apparatus	466	Ежов:444 | Сталин:430 | Г.Г. Ягода:151 | Агранов:68 | Бухарин:35 | Г.Е. Прокофьева:31 | Зиновьев:28 | Пятаков:19 | Радек:17 | Сокольников:16 | Е.В. Цетлина:14 | Рыков:12 | В.А. Балицкого:11 | И.С. Горшенина:11 | Каменев:11	2077
НКВД	security_apparatus	465	Ежов:255 | Сталин:240 | Г.Г. Ягода:85 | Л.В. Николаева:37 | Агранов:34 | Г.И. Сафарова:26 | Бухарин:15 | Зиновьев:15 | Каменев:13 | Сокольников:12 | В.А. Балицкого:11 | М.К. Чернявского:11 | Н.А. Розенфельд:11 | Членов:10 | Б.Л. Браво:9	1540
Правда	press_media	204	Сталин:109 | Ежов:92 | Г.Г. Ягода:31 | Бухарин:25 | Ольберг:13 | Радек:9 | Рыков:8 | Агранов:7 | Каменев:7 | Зиновьев:6 | Л.З. Мехлиса:6 | Пятаков:6 | А.С. Енукидзе:5 | И.П. Бакаева:5 | Т.И. Глебовой:5	580
Политбюро	party_apparatus	168	Сталин:96 | Ежов:79 | Г.Г. Ягода:33 | Бухарин:32 | Зиновьев:16 | Агранов:9 | Рыков:9 | И.И. Рейнгольда:7 | И.С. Горшенина:5 | Каменев:5 | Радек:5 | В.И. Звездова:4 | Сокольников:4 | А.А. Трояновского:3 | Астров:3	506
Коминтерн	international	154	Сталин:70 | Ежов:57 | Г.Г. Ягода:36 | Зиновьев:20 | Г.И. Сафарова:15 | Агранов:10 | Ольберг:10 | Бухарин:9 | Г.Е. Прокофьева:8 | И.И. Рейнгольда:8 | Г.Б. Синани-Скалов:7 | Б.Н. Сахова:6 | Радек:6 | В.В. Кузьмина:5 | Г.Е. Евдокимова:5	475
Совнарком	state_apparatus	88	Сталин:59 | Ежов:42 | Агранов:11 | Г.Г. Ягода:9 | Рыков:9 | Бухарин:7 | Е.В. Цетлина:5 | Г.И. Сафарова:3 | Радек:3 | Астров:2 | Б.И. Лехтмана:2 | В.А. Котова:2 | В.В. Кузьмина:2 | В.В. Шмидта:2 | Е.Ф. Куликова:2	239
Известия	press_media	51	Сталин:42 | Ежов:39 | Бухарин:21 | Радек:15 | Г.Г. Ягода:14 | Сокольников:8 | Рыков:6 | Пятаков:5 | Ольберг:4 | Зиновьев:3 | К.Н. Лукницкого:3 | Каменев:3 | Л.С. Сосновского:3 | В.В. Шмидта:2 | Пригожин:2	206
ИККИ	international	48	Сталин:23 | Ежов:16 | Г.Г. Ягода:13 | Г.Б. Синани-Скалов:9 | Зиновьев:5 | Е.В. Цетлина:3 | И.П. Бакаева:3 | Радек:3 | Агранов:2 | В.В. Кузьмина:2 | Г.Е. Прокофьева:2 | Г.И. Сафарова:2 | Д.З. Мануильскому:2 | М.И. Лурье:2 | Ольберг:2	122
