organization	organization_kind	document_count	total_words	first_date	last_date	raw_forms	processes	collections
ВКП(б)	party	1397	3296726	1927-12-18T07:56:18	2022-12-08T15:06:30	ВКП(б | ВКП (б | ВКП(б) | ВКП(Б | ВКПБ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
ГУГБ	security_police	1296	2352056	1934-07-19T17:42:03	2022-12-08T15:06:30	ГУГБ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ХОД ПРОЦЕССА
НКВД	security_police	915	2239484	1929-01-07T12:28:46	2022-12-08T15:06:30	НКВД	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
ЦК ВКП(б)	party_body	869	2443368	1928-02-28T12:46:32	2022-12-08T15:06:30	ЦК ВКП(б | ЦК ВКП(Б | ЦК ВКП (б | ЦК ВКП(б) | ЦК ВКПБ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
Правда	newspaper	328	1688103	1927-12-18T07:56:18	2022-12-08T15:06:30	правда | Правда | Правды | правды | “Правда” | ПРАВДЫ | “ПРАВДА”	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
Коминтерн	international_communist_body	290	1184939	1927-12-18T07:56:18	2022-12-08T15:06:30	Коминтерна | Коминтерне | Коминтерн | Коминтерном | Коминтерну | коминтерновской | коминтерновских | коминтерновском | коминтерновские | коминтерновским | коминтерновское | Коминтерновских | Коминтерновского | коминтерновскую | коминтерновского | коминтерновскому | КОМИНТЕРНА | коминтерновцами | коминтерновцы | коминтерновский	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
Политбюро	party_body	278	1231683	1928-04-08T15:09:15	2022-12-08T15:06:30	Политбюро | политбюро | ПОЛИТБЮРО	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
Совнарком	state_body	126	767593	1933-01-03T16:17:55	1937-07-19T13:17:20	Совнаркома | Совнаркоме | Совнарком | совнаркомовской | совнаркома | СОВНАРКОМА | Совнаркомовской | совнаркомов | Совнаркомовском | Совнаркому | Совнаркомов | Совнаркомовская | совнаркомовскую | Совнаркомовскую | совнаркомовская | Совнаркомом	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
Известия	newspaper	103	639620	1930-05-02T20:55:39	2022-12-08T15:06:30	Известий | “Известия” | Известия | известий | известия | “ИЗВЕСТИЯ” | ИЗВЕСТИЙ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
ЦИК СССР	state_body	82	355793	1933-01-03T16:17:55	2022-12-08T15:06:30	ЦИК СССР | ЦИК Союза ССР | ЦИК СОЮЗА ССР	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ	БУХАРИН | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ХОД ПРОЦЕССА
