person	document_count	total_words	first_date	last_date	organization_diversity	family_diversity	process_diversity	collection_diversity	document_type_diversity	institutional_breadth_score	centrality_score	top_families	top_organizations	top_processes	top_collections	top_document_types	interpretation_note
Сталин	520	1301164	1929-01-07T12:28:46	1937-12-10T21:47:47	21	6	7	9	12	74	816	party_apparatus:452 | security_apparatus:372 | press_media:131 | international:82 | state_apparatus:75 | judicial_apparatus:15	ВКП(б):445 | ЦК ВКП(б):430 | ГУГБ:328 | НКВД:240 | Правда:109 | Политбюро:96 | Коминтерн:70 | Совнарком:59 | Известия:42 | ИККИ:23	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:242 | ПРОЦЕСС 2-12 МАРТА 1938 г.:144 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:88 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:32 | КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:397 | ДРУГИЕ ДОКУМЕНТЫ:45 | БУХАРИН:40 | ПРЕДЫСТОРИЯ:24 | СПРАВКА:8 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:3 | РАЗНЫЕ ДОКУМЕНТЫ:1 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:1	special_report:397 | letter:76 | statement:22 | memo_note:11 | administrative_report:5 | telegram:3 | speech:1 | data_extract:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ежов	466	1208646	1929-01-07T12:28:46	1937-07-19T13:17:20	21	6	7	7	10	70	748	party_apparatus:451 | security_apparatus:418 | press_media:115 | international:65 | state_apparatus:64 | judicial_apparatus:8	ВКП(б):451 | ЦК ВКП(б):444 | ГУГБ:378 | НКВД:255 | Правда:92 | Политбюро:79 | Коминтерн:57 | Совнарком:42 | Известия:39 | КПК:21	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:257 | ПРОЦЕСС 2-12 МАРТА 1938 г.:84 | КРЕМЛЕВСКОЕ ДЕЛО:62 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:57 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:405 | ДРУГИЕ ДОКУМЕНТЫ:38 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:11 | БУХАРИН:7 | ПРЕДЫСТОРИЯ:3 | РАЗНЫЕ ДОКУМЕНТЫ:1 | СПРАВКА:1	special_report:403 | letter:26 | memo_note:15 | statement:12 | telegram:3 | explanation:3 | plan_instruction:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Г. Ягода	158	380782	1933-01-03T16:17:55	1937-04-26T19:01:55	21	6	6	5	6	62	410	party_apparatus:156 | security_apparatus:133 | international:40 | press_media:38 | state_apparatus:16 | judicial_apparatus:4	ВКП(б):156 | ЦК ВКП(б):151 | ГУГБ:116 | НКВД:85 | Коминтерн:36 | Политбюро:33 | Правда:31 | Известия:14 | ИККИ:13 | ИНО ГУГБ:12	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:83 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:48 | КРЕМЛЕВСКОЕ ДЕЛО:13 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 2-12 МАРТА 1938 г.:5 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:142 | СПРАВКА:6 | ПРЕДЫСТОРИЯ:5 | ДРУГИЕ ДОКУМЕНТЫ:4 | РАЗНЫЕ ДОКУМЕНТЫ:1	special_report:143 | memo_note:5 | statement:4 | telegram:3 | letter:2 | administrative_report:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Агранов	74	121408	1933-03-03T06:43:32	1937-04-15T18:24:57	14	5	7	5	5	53	285	party_apparatus:69 | security_apparatus:55 | state_apparatus:14 | international:11 | press_media:7	ВКП(б):69 | ЦК ВКП(б):68 | ГУГБ:51 | НКВД:34 | Совнарком:11 | Коминтерн:10 | Политбюро:9 | Правда:7 | ЦИК СССР:4 | ОО ГУГБ НКВД:2	КРЕМЛЕВСКОЕ ДЕЛО:37 | ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:50 | ПРЕДЫСТОРИЯ:17 | ДРУГИЕ ДОКУМЕНТЫ:5 | РАЗНЫЕ ДОКУМЕНТЫ:1 | БУХАРИН:1	special_report:63 | statement:7 | administrative_report:2 | interrogation_protocol:1 | letter:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Ольберг	94	109527	1929-01-01T19:48:38	2022-10-26T13:25:08	15	6	2	3	7	47	282	security_apparatus:17 | press_media:16 | party_apparatus:14 | international:11 | judicial_apparatus:2 | state_apparatus:1	ГУГБ:17 | ВКП(б):14 | Правда:13 | Коминтерн:10 | ИНО ГУГБ:8 | НКВД:8 | ЦК ВКП(б):6 | Известия:4 | Верховный Суд СССР:2 | Лига Наций:2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:93 | СТАТЬИ:1	ОЛЬБЕРГ:76 | МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | СТАТЬИ:1	letter:73 | interrogation_protocol:13 | special_report:4 | brochure:1 | questionnaire_response:1 | biographical_article:1 | article:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Зиновьев	50	95445	1928-06-30T07:57:59	1937-07-14T13:17:00	12	5	5	4	12	53	260	party_apparatus:38 | international:21 | security_apparatus:20 | press_media:9 | state_apparatus:3	ВКП(б):35 | ЦК ВКП(б):28 | Коминтерн:20 | Политбюро:16 | НКВД:15 | ГУГБ:13 | Правда:6 | ИККИ:5 | Известия:3 | ЦИК СССР:2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:35 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:11 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:26 | ДРУГИЕ ДОКУМЕНТЫ:20 | СПРАВКА:3 | СПРАВКИ КПК И ИМЛ:1	special_report:13 | statement:11 | letter:9 | list:4 | interrogation_protocol:4 | confrontation_protocol:3 | session_transcript:1 | testimony:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Бухарин	73	264132	1932-10-07T14:58:02	1938-03-13T08:08:24	12	5	2	3	12	46	256	party_apparatus:41 | press_media:33 | security_apparatus:17 | state_apparatus:10 | international:9	ВКП(б):38 | ЦК ВКП(б):35 | Политбюро:32 | Правда:25 | Известия:21 | НКВД:15 | Коминтерн:9 | Совнарком:7 | КПК:3 | ГУГБ:3	ПРОЦЕСС 2-12 МАРТА 1938 г.:72 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	БУХАРИН:66 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:6 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	letter:42 | session_transcript:9 | testimony:6 | statement:3 | special_report:3 | draft_project:3 | interrogation_protocol:2 | poem:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Пятаков	22	53048	1928-02-28T12:46:32	1937-01-18T22:31:44	10	6	3	3	8	45	197	party_apparatus:20 | security_apparatus:17 | press_media:11 | international:2 | state_apparatus:2 | judicial_apparatus:1	ВКП(б):20 | ЦК ВКП(б):19 | ГУГБ:14 | Правда:6 | Известия:5 | НКВД:4 | Политбюро:3 | Коминтерн:2 | Совнарком:2 | Верховный Суд СССР:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:20 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:18 | ДРУГИЕ ДОКУМЕНТЫ:3 | БУХАРИН:1	special_report:13 | statement:2 | administrative_report:2 | memo_note:1 | interrogation_protocol:1 | confrontation_protocol:1 | letter:1 | session_transcript:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Радек	25	68919	1929-07-10T11:11:00	1937-04-26T19:01:55	12	5	3	3	7	43	196	party_apparatus:18 | press_media:17 | security_apparatus:14 | international:8 | state_apparatus:5	ВКП(б):17 | ЦК ВКП(б):17 | Известия:15 | ГУГБ:11 | Правда:9 | НКВД:6 | Коминтерн:6 | Политбюро:5 | Совнарком:3 | ИККИ:3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:23 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:20 | ДРУГИЕ ДОКУМЕНТЫ:4 | БУХАРИН:1	special_report:10 | letter:9 | memo_note:2 | statement:1 | interrogation_protocol:1 | speech:1 | session_transcript:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
Г.Б. Синани-Скалов	12	24002	1933-06-04T11:39:19	1936-04-25T14:02:00	13	6	2	2	8	45	191	international:10 | party_apparatus:6 | security_apparatus:4 | state_apparatus:2 | press_media:1 | judicial_apparatus:1	ИККИ:9 | Коминтерн:7 | ВКП(б):6 | ГУГБ:4 | ЦК ВКП(б):3 | КПК:1 | Правда:1 | Совнарком:1 | Верховный Суд СССР:1 | НКВД:1	КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	Г.Б. СИНАНИ-СКАЛОВ:9 | МАТЕРИАЛЫ СЛЕДСТВИЯ:3	letter:2 | session_transcript:2 | memo_note:2 | special_report:2 | search_protocol:1 | decree_resolution:1 | autobiography:1 | interrogation_protocol:1	centrality_metrics_from_document_cooccurrence_not_biographical_claim
