person	organization_family	document_count	person_total_documents	share_of_person_documents
Сталин	party_apparatus	452	520	0.8692
Ежов	party_apparatus	451	466	0.9678
Ежов	security_apparatus	418	466	0.897
Сталин	security_apparatus	372	520	0.7154
Г.Г. Ягода	party_apparatus	156	158	0.9873
Г.Г. Ягода	security_apparatus	133	158	0.8418
Сталин	press_media	131	520	0.2519
Ежов	press_media	115	466	0.2468
Сталин	international	82	520	0.1577
Сталин	state_apparatus	75	520	0.1442
Агранов	party_apparatus	69	74	0.9324
Ежов	international	65	466	0.1395
Ежов	state_apparatus	64	466	0.1373
Агранов	security_apparatus	55	74	0.7432
Л.В. Николаева	security_apparatus	42	43	0.9767
Бухарин	party_apparatus	41	73	0.5616
Г.Г. Ягода	international	40	158	0.2532
Г.Г. Ягода	press_media	38	158	0.2405
Зиновьев	party_apparatus	38	50	0.76
Бухарин	press_media	33	73	0.4521
Г.Е. Прокофьева	party_apparatus	33	33	1.0
Г.Е. Прокофьева	security_apparatus	31	33	0.9394
Г.И. Сафарова	security_apparatus	27	32	0.8438
Зиновьев	international	21	50	0.42
Зиновьев	security_apparatus	20	50	0.4
Пятаков	party_apparatus	20	22	0.9091
Радек	party_apparatus	18	25	0.72
Бухарин	security_apparatus	17	73	0.2329
Каменев	party_apparatus	17	26	0.6538
Ольберг	security_apparatus	17	94	0.1809
Пятаков	security_apparatus	17	22	0.7727
Радек	press_media	17	25	0.68
Сокольников	party_apparatus	17	18	0.9444
Г.Г. Ягода	state_apparatus	16	158	0.1013
Ольберг	press_media	16	94	0.1702
Рыков	party_apparatus	16	18	0.8889
Г.И. Сафарова	international	15	32	0.4688
Е.В. Цетлина	party_apparatus	15	20	0.75
Каменев	security_apparatus	15	26	0.5769
Л.В. Николаева	party_apparatus	15	43	0.3488
Н.А. Розенфельд	security_apparatus	15	16	0.9375
Сталин	judicial_apparatus	15	520	0.0288
Агранов	state_apparatus	14	74	0.1892
Ольберг	party_apparatus	14	94	0.1489
Радек	security_apparatus	14	25	0.56
Сокольников	security_apparatus	13	18	0.7222
Е.К. Мухановой	security_apparatus	12	13	0.9231
И.С. Горшенина	party_apparatus	12	12	1.0
Членов	party_apparatus	12	14	0.8571
Членов	security_apparatus	12	14	0.8571
Агранов	international	11	74	0.1486
В.А. Балицкого	party_apparatus	11	13	0.8462
В.А. Балицкого	security_apparatus	11	13	0.8462
Дмитриев	party_apparatus	11	17	0.6471
И.И. Котолынова	security_apparatus	11	13	0.8462
И.И. Рейнгольда	party_apparatus	11	11	1.0
И.И. Рейнгольда	security_apparatus	11	11	1.0
И.П. Бакаева	security_apparatus	11	13	0.8462
Л.М. Каганович	party_apparatus	11	11	1.0
М.К. Чернявского	party_apparatus	11	11	1.0
М.К. Чернявского	security_apparatus	11	11	1.0
Ольберг	international	11	94	0.117
Пятаков	press_media	11	22	0.5
А.Я. Вышинский	party_apparatus	10	10	1.0
Бухарин	state_apparatus	10	73	0.137
В.В. Румянцева	security_apparatus	10	12	0.8333
Г.Б. Синани-Скалов	international	10	12	0.8333
Е.К. Мухановой	party_apparatus	10	13	0.7692
И.П. Бакаева	party_apparatus	10	13	0.7692
Н.С. Антонова	security_apparatus	10	10	1.0
Рыков	press_media	10	18	0.5556
Б.Л. Браво	security_apparatus	9	9	1.0
Бухарин	international	9	73	0.1233
В.А. Барута	security_apparatus	9	9	1.0
В.С. Левина	security_apparatus	9	9	1.0
Г.И. Сафарова	party_apparatus	9	32	0.2812
Дмитриев	security_apparatus	9	17	0.5294
Зиновьев	press_media	9	50	0.18
К.К. Муханова	security_apparatus	9	9	1.0
Каменев	press_media	9	26	0.3462
М.Н. Яковлева	security_apparatus	9	9	1.0
Н.В. Голубенко	party_apparatus	9	11	0.8182
Н.В. Голубенко	security_apparatus	9	11	0.8182
П.А. Николаева	security_apparatus	9	10	0.9
Рыков	state_apparatus	9	18	0.5
А.М. Гертика	security_apparatus	8	11	0.7273
В.И. Звездова	party_apparatus	8	9	0.8889
Г.Е. Прокофьева	international	8	33	0.2424
Г.Ф. Попова	security_apparatus	8	12	0.6667
Г.Ф. Федорова	security_apparatus	8	8	1.0
Ежов	judicial_apparatus	8	466	0.0172
И.Г. Юскина	security_apparatus	8	8	1.0
И.И. Рейнгольда	international	8	11	0.7273
