person	document_count	total_words	first_date	last_date	profile_tags	top_families	top_organizations	top_office_positions	top_trial_roles	top_political_labels	top_accusatory_labels	top_generic_roles	top_document_types	top_processes	top_collections	interpretation_note
Сталин	520	1301164	1929-01-07T12:28:46	1937-12-10T21:47:47	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:452 | security_apparatus:372 | press_media:131 | international:82 | state_apparatus:75 | judicial_apparatus:15	ВКП(б):445 | ЦК ВКП(б):430 | ГУГБ:328 | НКВД:240 | Правда:109 | Политбюро:96 | Коминтерн:70 | Совнарком:59 | Известия:42 | ИККИ:23	секретарь:426 | комиссар:389 | руководитель:219 | начальник:210 | нарком:205 | директор:145 | председатель:139 | заместитель:126 | редактор:65 | следователь:23	обвиняемый:103 | свидетель:34 | подсудимый:11	троцкист:418 | правый:234	агент:82 | вредитель:25	член:404 | кандидат:98 | представитель:97 | сотрудник:87	special_report:397 | letter:76 | statement:22 | memo_note:11 | administrative_report:5 | telegram:3 | session_transcript:1 | correspondence:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:242 | ПРОЦЕСС 2-12 МАРТА 1938 г.:144 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:88 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:32 | КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:397 | ДРУГИЕ ДОКУМЕНТЫ:45 | БУХАРИН:40 | ПРЕДЫСТОРИЯ:24 | СПРАВКА:8 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:3 | ОЛЬБЕРГ:1 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:1	cooccurrence_profile_not_biographical_claim
Ежов	466	1208646	1929-01-07T12:28:46	1937-07-19T13:17:20	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:451 | security_apparatus:418 | press_media:115 | international:65 | state_apparatus:64 | judicial_apparatus:8	ВКП(б):451 | ЦК ВКП(б):444 | ГУГБ:378 | НКВД:255 | Правда:92 | Политбюро:79 | Коминтерн:57 | Совнарком:42 | Известия:39 | КПК:21	секретарь:436 | комиссар:408 | руководитель:208 | начальник:206 | нарком:203 | директор:142 | заместитель:138 | председатель:138 | редактор:56 | следователь:24	обвиняемый:88 | свидетель:23 | подсудимый:4	троцкист:402 | правый:195	агент:60 | вредитель:23	член:391 | сотрудник:105 | представитель:95 | кандидат:75	special_report:403 | letter:26 | memo_note:15 | statement:12 | explanation:3 | telegram:3 | interrogation_protocol:1 | reference_note:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:257 | ПРОЦЕСС 2-12 МАРТА 1938 г.:84 | КРЕМЛЕВСКОЕ ДЕЛО:62 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:57 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:405 | ДРУГИЕ ДОКУМЕНТЫ:38 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:11 | БУХАРИН:7 | ПРЕДЫСТОРИЯ:3 | РАЗНЫЕ ДОКУМЕНТЫ:1 | СПРАВКА:1	cooccurrence_profile_not_biographical_claim
Г.Г. Ягода	158	380782	1933-01-03T16:17:55	1937-04-26T19:01:55	security_context | party_context | press_context | international_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:156 | security_apparatus:133 | international:40 | press_media:38 | state_apparatus:16 | judicial_apparatus:4	ВКП(б):156 | ЦК ВКП(б):151 | ГУГБ:116 | НКВД:85 | Коминтерн:36 | Политбюро:33 | Правда:31 | Известия:14 | ИККИ:13 | ИНО ГУГБ:12	секретарь:149 | комиссар:145 | руководитель:69 | нарком:61 | начальник:44 | директор:42 | председатель:39 | заместитель:18 | следователь:11 | редактор:11	обвиняемый:26 | свидетель:5 | подсудимый:1	троцкист:142 | правый:51	агент:25	член:132 | сотрудник:33 | кандидат:31 | представитель:23	special_report:143 | memo_note:5 | statement:4 | telegram:3 | letter:2 | administrative_report:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:83 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:48 | КРЕМЛЕВСКОЕ ДЕЛО:13 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 2-12 МАРТА 1938 г.:5 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:142 | СПРАВКА:6 | ПРЕДЫСТОРИЯ:5 | ДРУГИЕ ДОКУМЕНТЫ:4 | РАЗНЫЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Ольберг	94	109527	1929-01-01T19:48:38	2022-10-26T13:25:08	correspondence_context | trial_role_context | political_label_context | accusatory_label_context	security_apparatus:17 | press_media:16 | party_apparatus:14 | international:11 | judicial_apparatus:2 | state_apparatus:1	ГУГБ:17 | ВКП(б):14 | Правда:13 | Коминтерн:10 | ИНО ГУГБ:8 | НКВД:8 | ЦК ВКП(б):6 | Известия:4 | Верховный Суд СССР:2 | ИККИ:2	секретарь:11 | комиссар:10 | директор:8 | руководитель:7 | полпред:4 | редактор:4 | посол:3 | корреспондент:3 | следователь:3 | адвокат:3	свидетель:6 | обвиняемый:4 | подсудимый:2	троцкист:27 | правый:12	агент:8 | вредитель:1	член:31 | сотрудник:8 | представитель:7 | кандидат:2	letter:73 | interrogation_protocol:13 | special_report:4 | article:1 | brochure:1 | biographical_article:1 | questionnaire_response:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:93 | СТАТЬИ:1	ОЛЬБЕРГ:76 | МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | СТАТЬИ:1	cooccurrence_profile_not_biographical_claim
Седов	78	27106	1930-02-24T08:28:45	1935-05-04T13:22:48	correspondence_context | trial_role_context | political_label_context | accusatory_label_context	press_media:4 | party_apparatus:3 | international:1 | security_apparatus:1	Правда:4 | ВКП(б):3 | Коминтерн:1 | ГУГБ:1	адвокат:3 | секретарь:3 | руководитель:2 | нарком:1 | председатель:1 | редактор:1 | директор:1 | корреспондент:1 | судья:1	свидетель:1	троцкист:6 | правый:3	агент:1	член:13 | сотрудник:1 | представитель:1	letter:76 | telegram:1 | interrogation_protocol:1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:46 | ТРОЦКИЙ:31 | КРЕМЛЕВСКОЕ ДЕЛО:1	ОЛЬБЕРГ:45 | ТРОЦКИЙ:31 | ДРУГИЕ ДОКУМЕНТЫ:1 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Агранов	74	121408	1933-03-03T06:43:32	1937-04-15T18:24:57	security_context | party_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:69 | security_apparatus:55 | state_apparatus:14 | international:11 | press_media:7	ВКП(б):69 | ЦК ВКП(б):68 | ГУГБ:51 | НКВД:34 | Совнарком:11 | Коминтерн:10 | Политбюро:9 | Правда:7 | ЦИК СССР:4 | ИККИ:2	секретарь:67 | комиссар:55 | нарком:20 | руководитель:18 | начальник:15 | заместитель:14 | директор:14 | председатель:12 | следователь:3 | редактор:3	обвиняемый:7 | свидетель:3 | подсудимый:1	троцкист:42 | правый:29	агент:8 | вредитель:3	член:54 | сотрудник:18 | кандидат:7 | представитель:5	special_report:63 | statement:7 | administrative_report:2 | interrogation_protocol:1 | letter:1	КРЕМЛЕВСКОЕ ДЕЛО:37 | ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:50 | ПРЕДЫСТОРИЯ:17 | ДРУГИЕ ДОКУМЕНТЫ:5 | БУХАРИН:1 | РАЗНЫЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Бухарин	73	264132	1932-10-07T14:58:02	1938-03-13T08:08:24	party_context | press_context | correspondence_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:41 | press_media:33 | security_apparatus:17 | state_apparatus:10 | international:9	ВКП(б):38 | ЦК ВКП(б):35 | Политбюро:32 | Правда:25 | Известия:21 | НКВД:15 | Коминтерн:9 | Совнарком:7 | КПК:3 | ГУГБ:3	секретарь:23 | руководитель:18 | нарком:16 | следователь:13 | начальник:12 | председатель:12 | адвокат:9 | редактор:9 | прокурор:9 | комиссар:7	обвиняемый:15 | подсудимый:11 | свидетель:9	правый:49 | троцкист:45	агент:17 | вредитель:6	член:43 | кандидат:13 | представитель:10 | сотрудник:6	letter:42 | session_transcript:9 | testimony:6 | draft_project:3 | special_report:3 | statement:3 | interrogation_protocol:2 | poem:1	ПРОЦЕСС 2-12 МАРТА 1938 г.:72 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	БУХАРИН:66 | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г.:6 | МАТЕРИАЛЫ СЛЕДСТВИЯ:1	cooccurrence_profile_not_biographical_claim
Зиновьев	50	95445	1928-06-30T07:57:59	1937-07-14T13:17:00	security_context | party_context | international_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:38 | international:21 | security_apparatus:20 | press_media:9 | state_apparatus:3	ВКП(б):35 | ЦК ВКП(б):28 | Коминтерн:20 | Политбюро:16 | НКВД:15 | ГУГБ:13 | Правда:6 | ИККИ:5 | Известия:3 | ЦИК СССР:2	секретарь:29 | комиссар:18 | руководитель:18 | нарком:11 | заместитель:8 | начальник:7 | председатель:7 | директор:4 | редактор:4 | следователь:3	обвиняемый:8 | подсудимый:1	правый:28 | троцкист:28	агент:8	член:37 | представитель:9 | кандидат:9 | сотрудник:4	special_report:13 | statement:11 | letter:9 | interrogation_protocol:4 | list:4 | confrontation_protocol:3 | session_transcript:1 | conversation_recording:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:35 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:11 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:26 | ДРУГИЕ ДОКУМЕНТЫ:20 | СПРАВКА:3 | СПРАВКИ КПК И ИМЛ:1	cooccurrence_profile_not_biographical_claim
Л.В. Николаева	43	18345	1934-12-03T13:20:38	1934-12-25T00:00:00	security_context | party_context | investigation_document_context | trial_role_context | political_label_context	security_apparatus:42 | party_apparatus:15 | press_media:2 | international:1	ГУГБ:42 | НКВД:37 | ВКП(б):15 | Правда:2 | ЦК ВКП(б):1 | Коминтерн:1	нарком:19 | секретарь:12 | наркомвнудел:10 | руководитель:5 | начальник:2 | комиссар:2 | следователь:1 | директор:1 | заместитель:1 | председатель:1	обвиняемый:1	троцкист:7 | правый:4		член:12 | сотрудник:8 | представитель:1	interrogation_protocol:42 | list:1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:42 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:42 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Г.Е. Прокофьева	33	66272	1936-02-23T01:42:00	1936-05-20T02:10:00	security_context | party_context | international_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:33 | security_apparatus:31 | international:8 | press_media:3 | judicial_apparatus:2 | state_apparatus:2	ВКП(б):33 | ЦК ВКП(б):31 | ГУГБ:31 | НКВД:9 | Коминтерн:8 | Правда:3 | ИККИ:2 | КПК:2 | Прокуратура СССР:1 | Верховный Суд СССР:1	комиссар:33 | секретарь:33 | руководитель:16 | начальник:11 | директор:10 | нарком:9 | редактор:3 | следователь:2 | председатель:2 | заместитель:2	обвиняемый:6 | свидетель:1	троцкист:33 | правый:5	агент:5	член:32 | сотрудник:8 | кандидат:4 | представитель:3	special_report:33	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:33	МАТЕРИАЛЫ СЛЕДСТВИЯ:32 | СПРАВКА:1	cooccurrence_profile_not_biographical_claim
Г.И. Сафарова	32	21611	1934-12-16T05:00:00	1935-08-17T13:16:00	security_context | party_context | international_context | investigation_document_context | political_label_context | accusatory_label_context	security_apparatus:27 | international:15 | party_apparatus:9 | state_apparatus:3 | press_media:3 | judicial_apparatus:1	ГУГБ:27 | НКВД:26 | Коминтерн:15 | ВКП(б):8 | ЦК ВКП(б):4 | Совнарком:3 | Правда:3 | ИККИ:2 | Политбюро:1 | Верховный Суд СССР:1	нарком:7 | секретарь:6 | полпред:4 | руководитель:4 | директор:3 | комиссар:3 | председатель:2 | редактор:2 | следователь:1 | начальник:1		троцкист:24 | правый:9	агент:4	представитель:10 | член:7	interrogation_protocol:27 | letter:3 | special_report:1 | statement:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:31 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:30 | ДРУГИЕ ДОКУМЕНТЫ:2	cooccurrence_profile_not_biographical_claim
Л.Д. Троцкий	28	19398	1930-01-10T08:19:39	1933-01-16T12:21:40	correspondence_context | political_label_context | accusatory_label_context	international:4 | press_media:3 | party_apparatus:1	Коминтерн:4 | Правда:2 | ВКП(б):1 | Известия:1	секретарь:4 | адвокат:2 | редактор:2 | директор:1 | нарком:1 | председатель:1 | руководитель:1		троцкист:5 | правый:3	агент:2	член:12 | представитель:2 | сотрудник:1	letter:28	ТРОЦКИЙ:15 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:13	ТРОЦКИЙ:15 | ОЛЬБЕРГ:12 | ДРУГИЕ ДОКУМЕНТЫ:1	cooccurrence_profile_not_biographical_claim
Каменев	26	38366	1932-10-09T09:44:57	1936-08-14T08:10:00	security_context | party_context | press_context | investigation_document_context | correspondence_context | trial_role_context | political_label_context	party_apparatus:17 | security_apparatus:15 | press_media:9 | international:5 | state_apparatus:2	ВКП(б):16 | НКВД:13 | ГУГБ:13 | ЦК ВКП(б):11 | Правда:7 | Политбюро:5 | Коминтерн:5 | Известия:3 | КПК:3 | Совнарком:1	секретарь:12 | комиссар:8 | руководитель:7 | председатель:5 | нарком:3 | редактор:3 | начальник:1 | следователь:1 | адвокат:1 | посол:1	обвиняемый:5 | подсудимый:3 | свидетель:1	троцкист:13 | правый:11		член:17 | кандидат:4 | сотрудник:2 | представитель:1	interrogation_protocol:8 | letter:7 | special_report:7 | statement:2 | session_transcript:1 | reference_note:1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:17 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5 | КРЕМЛЕВСКОЕ ДЕЛО:4	МАТЕРИАЛЫ СЛЕДСТВИЯ:17 | ДРУГИЕ ДОКУМЕНТЫ:8 | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ:1	cooccurrence_profile_not_biographical_claim
Радек	25	68919	1929-07-10T11:11:00	1937-04-26T19:01:55	security_context | party_context | press_context | international_context | correspondence_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:18 | press_media:17 | security_apparatus:14 | international:8 | state_apparatus:5	ВКП(б):17 | ЦК ВКП(б):17 | Известия:15 | ГУГБ:11 | Правда:9 | НКВД:6 | Коминтерн:6 | Политбюро:5 | ИККИ:3 | Совнарком:3	секретарь:15 | руководитель:11 | комиссар:10 | редактор:9 | посол:7 | нарком:6 | начальник:5 | корреспондент:4 | заместитель:4 | полпред:3	обвиняемый:4 | свидетель:2	троцкист:21 | правый:15	агент:5	член:18 | сотрудник:9 | представитель:8 | кандидат:4	special_report:10 | letter:9 | memo_note:2 | statement:1 | interrogation_protocol:1 | speech:1 | session_transcript:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:23 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:20 | ДРУГИЕ ДОКУМЕНТЫ:4 | БУХАРИН:1	cooccurrence_profile_not_biographical_claim
Пятаков	22	53048	1928-02-28T12:46:32	1937-01-18T22:31:44	security_context | party_context | press_context | trial_role_context | political_label_context | accusatory_label_context	party_apparatus:20 | security_apparatus:17 | press_media:11 | state_apparatus:2 | international:2 | judicial_apparatus:1	ВКП(б):20 | ЦК ВКП(б):19 | ГУГБ:14 | Правда:6 | Известия:5 | НКВД:4 | Политбюро:3 | Совнарком:2 | Коминтерн:2 | Верховный Суд СССР:1	комиссар:17 | нарком:16 | секретарь:16 | начальник:10 | заместитель:6 | руководитель:6 | председатель:5 | редактор:4 | посол:2 | прокурор:2	обвиняемый:5	троцкист:19 | правый:13	агент:5 | вредитель:3	член:16 | представитель:9 | сотрудник:3 | кандидат:2	special_report:13 | administrative_report:2 | statement:2 | interrogation_protocol:1 | memo_note:1 | letter:1 | confrontation_protocol:1 | session_transcript:1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:20 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	МАТЕРИАЛЫ СЛЕДСТВИЯ:18 | ДРУГИЕ ДОКУМЕНТЫ:3 | БУХАРИН:1	cooccurrence_profile_not_biographical_claim
