candidate_a	candidate_b	shared_initials	surname_a	surname_b	stem_a	stem_b	similarity	documents_a	documents_b	words_a	words_b	suggested_canonical	confidence	reason	status	raw_forms_a	raw_forms_b
Г.М. Маленкова	Г.М. Маленкову	Г.М.	Маленкова	Маленкову	маленк	маленк	0.8889	1	1	421	367	Г.М. Маленкова	high	same_initials_same_stem	review	Г.М. Маленкова	Г.М. Маленкову
Д.Ф. Бузина	Д.Ф. Бузиным	Д.Ф.	Бузина	Бузиным	бузин	бузин	0.7692	1	1	390	203	Д.Ф. Бузина	high	same_initials_same_stem	review	Д.Ф. Бузина	Д.Ф. Бузиным
Л.И. Мадьяра	Л.И. Мадьяром	Л.И.	Мадьяра	Мадьяром	мадьяр	мадьяр	0.8	1	1	1196	676	Л.И. Мадьяра	high	same_initials_same_stem	review	Л.И. Мадьяра	Л.И. Мадьяром
Л.В. Николаева	Л.В. Николаевым	Л.В.	Николаева	Николаевым	никола	николаев	0.8421	43	4	18345	2030	Л.В. Николаева	medium	same_initials_stem_prefix	review	Л.В. Николаева	Л.В. Николаевым
Г.И. Сафарова	Г.И. Сафаровым	Г.И.	Сафарова	Сафаровым	сафар	сафаров	0.8235	32	3	21611	9199	Г.И. Сафарова	medium	same_initials_stem_prefix	review	Г.И. Сафарова	Г.И. Сафаровым
Г.Е. Евдокимова	Г.Е. Евдокимовым	Г.Е.	Евдокимова	Евдокимовым	евдоким	евдокимов	0.8571	14	4	13224	6462	Г.Е. Евдокимова	medium	same_initials_stem_prefix	review	Г.Е. Евдокимова	Г.Е. Евдокимовым
И.И. Котолынова	И.И. Котолыновым	И.И.	Котолынова	Котолыновым	котолын	котолынов	0.8571	13	3	3519	788	И.И. Котолынова	medium	same_initials_stem_prefix	review	И.И. Котолынова	И.И. Котолыновым
И.П. Бакаева	И.П. Бакаевым	И.П.	Бакаева	Бакаевым	бака	бакаев	0.8	13	3	19263	4890	И.П. Бакаева	medium	same_initials_stem_prefix	review	И.П. Бакаева	И.П. Бакаевым
А.И. Анишева	А.И. Анишевым	А.И.	Анишева	Анишевым	аниш	анишев	0.8	12	1	8055	468	А.И. Анишева	medium	same_initials_stem_prefix	review	А.И. Анишева	А.И. Анишевым
В.В. Румянцева	В.В. Румянцевым	В.В.	Румянцева	Румянцевым	румянц	румянцев	0.8421	12	3	7139	726	В.В. Румянцева	medium	same_initials_stem_prefix	review	В.В. Румянцева | В.В. Румянцеву	В.В. Румянцевым
В.В. Румянцева	В.В. Румянцнева	В.В.	Румянцева	Румянцнева	румянц	румянцн	0.9474	12	1	7139	220	В.В. Румянцева	medium	same_initials_stem_prefix	review	В.В. Румянцева | В.В. Румянцеву	В.В. Румянцнева
И.С. Горшенина	И.С. Горшениным	И.С.	Горшенина	Горшениным	горшен	горшенин	0.8421	12	5	8513	1423	И.С. Горшенина	medium	same_initials_stem_prefix	review	И.С. Горшенина	И.С. Горшениным
