person	organization	document_count	person_total_documents	share_of_person_documents
Ежов	ВКП(б)	451	466	0.9678
Сталин	ВКП(б)	445	520	0.8558
Ежов	ЦК ВКП(б)	444	466	0.9528
Сталин	ЦК ВКП(б)	430	520	0.8269
Ежов	ГУГБ	378	466	0.8112
Сталин	ГУГБ	328	520	0.6308
Ежов	НКВД	255	466	0.5472
Сталин	НКВД	240	520	0.4615
Г.Г. Ягода	ВКП(б)	156	158	0.9873
Г.Г. Ягода	ЦК ВКП(б)	151	158	0.9557
Г.Г. Ягода	ГУГБ	116	158	0.7342
Сталин	Правда	109	520	0.2096
Сталин	Политбюро	96	520	0.1846
Ежов	Правда	92	466	0.1974
Г.Г. Ягода	НКВД	85	158	0.538
Ежов	Политбюро	79	466	0.1695
Сталин	Коминтерн	70	520	0.1346
Агранов	ВКП(б)	69	74	0.9324
Агранов	ЦК ВКП(б)	68	74	0.9189
Сталин	Совнарком	59	520	0.1135
Ежов	Коминтерн	57	466	0.1223
Агранов	ГУГБ	51	74	0.6892
Ежов	Совнарком	42	466	0.0901
Л.В. Николаева	ГУГБ	42	43	0.9767
Сталин	Известия	42	520	0.0808
Ежов	Известия	39	466	0.0837
Бухарин	ВКП(б)	38	73	0.5205
Л.В. Николаева	НКВД	37	43	0.8605
Г.Г. Ягода	Коминтерн	36	158	0.2278
Бухарин	ЦК ВКП(б)	35	73	0.4795
Зиновьев	ВКП(б)	35	50	0.7
Агранов	НКВД	34	74	0.4595
Г.Г. Ягода	Политбюро	33	158	0.2089
Г.Е. Прокофьева	ВКП(б)	33	33	1.0
Бухарин	Политбюро	32	73	0.4384
Г.Г. Ягода	Правда	31	158	0.1962
Г.Е. Прокофьева	ГУГБ	31	33	0.9394
Г.Е. Прокофьева	ЦК ВКП(б)	31	33	0.9394
Зиновьев	ЦК ВКП(б)	28	50	0.56
Г.И. Сафарова	ГУГБ	27	32	0.8438
Г.И. Сафарова	НКВД	26	32	0.8125
Бухарин	Правда	25	73	0.3425
Сталин	ИККИ	23	520	0.0442
Бухарин	Известия	21	73	0.2877
Ежов	КПК	21	466	0.0451
Зиновьев	Коминтерн	20	50	0.4
Пятаков	ВКП(б)	20	22	0.9091
Ежов	ЦИК СССР	19	466	0.0408
Пятаков	ЦК ВКП(б)	19	22	0.8636
Ольберг	ГУГБ	17	94	0.1809
Радек	ВКП(б)	17	25	0.68
Радек	ЦК ВКП(б)	17	25	0.68
Сталин	КПК	17	520	0.0327
Ежов	ИККИ	16	466	0.0343
Зиновьев	Политбюро	16	50	0.32
Каменев	ВКП(б)	16	26	0.6154
Рыков	ВКП(б)	16	18	0.8889
Сокольников	ВКП(б)	16	18	0.8889
Сокольников	ЦК ВКП(б)	16	18	0.8889
Бухарин	НКВД	15	73	0.2055
Г.И. Сафарова	Коминтерн	15	32	0.4688
Е.В. Цетлина	ВКП(б)	15	20	0.75
Зиновьев	НКВД	15	50	0.3
Л.В. Николаева	ВКП(б)	15	43	0.3488
Н.А. Розенфельд	ГУГБ	15	16	0.9375
Радек	Известия	15	25	0.6
Г.Г. Ягода	Известия	14	158	0.0886
Е.В. Цетлина	ЦК ВКП(б)	14	20	0.7
Ольберг	ВКП(б)	14	94	0.1489
Пятаков	ГУГБ	14	22	0.6364
Г.Г. Ягода	ИККИ	13	158	0.0823
Зиновьев	ГУГБ	13	50	0.26
Каменев	ГУГБ	13	26	0.5
Каменев	НКВД	13	26	0.5
Ольберг	Правда	13	94	0.1383
Сталин	ИНО ГУГБ	13	520	0.025
Сталин	ЦИК СССР	13	520	0.025
Г.Г. Ягода	ИНО ГУГБ	12	158	0.0759
Е.К. Мухановой	ГУГБ	12	13	0.9231
И.С. Горшенина	ВКП(б)	12	12	1.0
Рыков	ЦК ВКП(б)	12	18	0.6667
Сокольников	ГУГБ	12	18	0.6667
Сокольников	НКВД	12	18	0.6667
Членов	ВКП(б)	12	14	0.8571
Агранов	Совнарком	11	74	0.1486
В.А. Балицкого	ВКП(б)	11	13	0.8462
В.А. Балицкого	НКВД	11	13	0.8462
В.А. Балицкого	ЦК ВКП(б)	11	13	0.8462
Дмитриев	ВКП(б)	11	17	0.6471
И.И. Рейнгольда	ГУГБ	11	11	1.0
И.С. Горшенина	ЦК ВКП(б)	11	12	0.9167
