person	organization_count	top_organizations	top_families	total_pair_document_sum
Ежов	21	ВКП(б):451 | ЦК ВКП(б):444 | ГУГБ:378 | НКВД:255 | Правда:92 | Политбюро:79 | Коминтерн:57 | Совнарком:42 | Известия:39 | КПК:21	party_apparatus:1005 | security_apparatus:640 | press_media:131 | international:74 | state_apparatus:70 | judicial_apparatus:8	1928
Сталин	21	ВКП(б):445 | ЦК ВКП(б):430 | ГУГБ:328 | НКВД:240 | Правда:109 | Политбюро:96 | Коминтерн:70 | Совнарком:59 | Известия:42 | ИККИ:23	party_apparatus:994 | security_apparatus:582 | press_media:151 | international:95 | state_apparatus:82 | judicial_apparatus:15	1919
Г.Г. Ягода	21	ВКП(б):156 | ЦК ВКП(б):151 | ГУГБ:116 | НКВД:85 | Коминтерн:36 | Политбюро:33 | Правда:31 | Известия:14 | ИККИ:13 | ИНО ГУГБ:12	party_apparatus:350 | security_apparatus:214 | international:50 | press_media:45 | state_apparatus:19 | judicial_apparatus:4	682
Агранов	14	ВКП(б):69 | ЦК ВКП(б):68 | ГУГБ:51 | НКВД:34 | Совнарком:11 | Коминтерн:10 | Политбюро:9 | Правда:7 | ЦИК СССР:4 | ИККИ:2	party_apparatus:149 | security_apparatus:87 | state_apparatus:16 | international:12 | press_media:7	271
Бухарин	12	ВКП(б):38 | ЦК ВКП(б):35 | Политбюро:32 | Правда:25 | Известия:21 | НКВД:15 | Коминтерн:9 | Совнарком:7 | ГУГБ:3 | КПК:3	party_apparatus:108 | press_media:46 | security_apparatus:18 | state_apparatus:10 | international:9	191
Зиновьев	12	ВКП(б):35 | ЦК ВКП(б):28 | Коминтерн:20 | Политбюро:16 | НКВД:15 | ГУГБ:13 | Правда:6 | ИККИ:5 | Известия:3 | ЦИК СССР:2	party_apparatus:79 | security_apparatus:28 | international:25 | press_media:9 | state_apparatus:4	145
Г.Е. Прокофьева	13	ВКП(б):33 | ГУГБ:31 | ЦК ВКП(б):31 | НКВД:9 | Коминтерн:8 | Правда:3 | ИККИ:2 | КПК:2 | Верховный Суд СССР:1 | КПК при ЦК ВКП(б):1	party_apparatus:67 | security_apparatus:40 | international:10 | press_media:3 | judicial_apparatus:2 | state_apparatus:2	124
Л.В. Николаева	6	ГУГБ:42 | НКВД:37 | ВКП(б):15 | Правда:2 | Коминтерн:1 | ЦК ВКП(б):1	security_apparatus:79 | party_apparatus:16 | press_media:2 | international:1	98
Радек	12	ВКП(б):17 | ЦК ВКП(б):17 | Известия:15 | ГУГБ:11 | Правда:9 | Коминтерн:6 | НКВД:6 | Политбюро:5 | ИККИ:3 | Совнарком:3	party_apparatus:39 | press_media:24 | security_apparatus:17 | international:9 | state_apparatus:6	95
Ольберг	15	ГУГБ:17 | ВКП(б):14 | Правда:13 | Коминтерн:10 | ИНО ГУГБ:8 | НКВД:8 | ЦК ВКП(б):6 | Известия:4 | Верховный Суд СССР:2 | Горьковский крайком ВКП(б):2	security_apparatus:33 | party_apparatus:23 | press_media:17 | international:14 | judicial_apparatus:3 | state_apparatus:1	91
