person	position	position_is_noisy	document_count	person_total_documents	share_of_person_documents
Ежов	секретарь	no	436	466	0.9356
Сталин	секретарь	no	426	520	0.8192
Сталин	троцкист	yes	418	520	0.8038
Ежов	комиссар	no	408	466	0.8755
Сталин	член	yes	404	520	0.7769
Ежов	троцкист	yes	402	466	0.8627
Ежов	член	yes	391	466	0.8391
Сталин	комиссар	no	389	520	0.7481
Сталин	правый	yes	234	520	0.45
Сталин	руководитель	no	219	520	0.4212
Сталин	начальник	no	210	520	0.4038
Ежов	руководитель	no	208	466	0.4464
Ежов	начальник	no	206	466	0.4421
Сталин	нарком	no	205	520	0.3942
Ежов	нарком	no	203	466	0.4356
Ежов	правый	yes	195	466	0.4185
Г.Г. Ягода	секретарь	no	149	158	0.943
Г.Г. Ягода	комиссар	no	145	158	0.9177
Сталин	директор	no	145	520	0.2788
Г.Г. Ягода	троцкист	yes	142	158	0.8987
Ежов	директор	no	142	466	0.3047
Сталин	председатель	no	139	520	0.2673
Ежов	заместитель	no	138	466	0.2961
Ежов	председатель	no	138	466	0.2961
Г.Г. Ягода	член	yes	132	158	0.8354
Сталин	заместитель	no	126	520	0.2423
Ежов	сотрудник	no	105	466	0.2253
Сталин	обвиняемый	no	103	520	0.1981
Сталин	кандидат	yes	98	520	0.1885
Сталин	представитель	yes	97	520	0.1865
Ежов	представитель	yes	95	466	0.2039
Ежов	обвиняемый	no	88	466	0.1888
Сталин	сотрудник	no	87	520	0.1673
Сталин	агент	no	82	520	0.1577
Ежов	кандидат	yes	75	466	0.1609
Г.Г. Ягода	руководитель	no	69	158	0.4367
Агранов	секретарь	no	67	74	0.9054
Сталин	редактор	no	65	520	0.125
Г.Г. Ягода	нарком	no	61	158	0.3861
Ежов	агент	no	60	466	0.1288
Ежов	редактор	no	56	466	0.1202
Агранов	комиссар	no	55	74	0.7432
Агранов	член	yes	54	74	0.7297
Г.Г. Ягода	правый	yes	51	158	0.3228
Бухарин	правый	yes	49	73	0.6712
Бухарин	троцкист	yes	45	73	0.6164
Г.Г. Ягода	начальник	no	44	158	0.2785
Бухарин	член	yes	43	73	0.589
Агранов	троцкист	yes	42	74	0.5676
Г.Г. Ягода	директор	no	42	158	0.2658
Г.Г. Ягода	председатель	no	39	158	0.2468
Зиновьев	член	yes	37	50	0.74
Сталин	свидетель	no	34	520	0.0654
Г.Г. Ягода	сотрудник	no	33	158	0.2089
Г.Е. Прокофьева	комиссар	no	33	33	1.0
Г.Е. Прокофьева	секретарь	no	33	33	1.0
Г.Е. Прокофьева	троцкист	yes	33	33	1.0
Г.Е. Прокофьева	член	yes	32	33	0.9697
Г.Г. Ягода	кандидат	yes	31	158	0.1962
Ольберг	член	yes	31	94	0.3298
Агранов	правый	yes	29	74	0.3919
Зиновьев	секретарь	no	29	50	0.58
Зиновьев	правый	yes	28	50	0.56
Зиновьев	троцкист	yes	28	50	0.56
Ольберг	троцкист	yes	27	94	0.2872
Г.Г. Ягода	обвиняемый	no	26	158	0.1646
Г.Г. Ягода	агент	no	25	158	0.1582
Сталин	вредитель	yes	25	520	0.0481
Г.И. Сафарова	троцкист	yes	24	32	0.75
Ежов	следователь	no	24	466	0.0515
Бухарин	секретарь	no	23	73	0.3151
Г.Г. Ягода	представитель	yes	23	158	0.1456
Ежов	вредитель	yes	23	466	0.0494
Ежов	посол	no	23	466	0.0494
Ежов	свидетель	no	23	466	0.0494
Сталин	следователь	no	23	520	0.0442
Радек	троцкист	yes	21	25	0.84
Сталин	прокурор	no	21	520	0.0404
Агранов	нарком	no	20	74	0.2703
Ежов	прокурор	no	20	466	0.0429
Л.В. Николаева	нарком	no	19	43	0.4419
Пятаков	троцкист	yes	19	22	0.8636
Агранов	руководитель	no	18	74	0.2432
Агранов	сотрудник	no	18	74	0.2432
Бухарин	руководитель	no	18	73	0.2466
Г.Г. Ягода	заместитель	no	18	158	0.1139
Зиновьев	комиссар	no	18	50	0.36
Зиновьев	руководитель	no	18	50	0.36
Радек	член	yes	18	25	0.72
Сталин	адвокат	no	18	520	0.0346
Бухарин	агент	no	17	73	0.2329
Каменев	член	yes	17	26	0.6538
Пятаков	комиссар	no	17	22	0.7727
Сталин	полпред	no	17	520	0.0327
Сталин	посол	no	17	520	0.0327
Бухарин	нарком	no	16	73	0.2192
Г.Е. Прокофьева	руководитель	no	16	33	0.4848
Пятаков	нарком	no	16	22	0.7273
Пятаков	секретарь	no	16	22	0.7273
Пятаков	член	yes	16	22	0.7273
Рыков	правый	yes	16	18	0.8889
Сокольников	троцкист	yes	16	18	0.8889
Агранов	начальник	no	15	74	0.2027
Бухарин	обвиняемый	no	15	73	0.2055
Ежов	полпред	no	15	466	0.0322
Радек	правый	yes	15	25	0.6
Радек	секретарь	no	15	25	0.6
Рыков	троцкист	yes	15	18	0.8333
Агранов	директор	no	14	74	0.1892
Агранов	заместитель	no	14	74	0.1892
Дмитриев	член	yes	14	17	0.8235
Ежов	адвокат	no	14	466	0.03
Ежов	наркомвнудел	no	14	466	0.03
Рыков	член	yes	14	18	0.7778
Сокольников	правый	yes	14	18	0.7778
Сокольников	секретарь	no	14	18	0.7778
Членов	член	yes	14	14	1.0
Бухарин	кандидат	yes	13	73	0.1781
Бухарин	следователь	no	13	73	0.1781
В.А. Балицкого	троцкист	yes	13	13	1.0
Дмитриев	троцкист	yes	13	17	0.7647
Ежов	корреспондент	no	13	466	0.0279
Каменев	троцкист	yes	13	26	0.5
Н.А. Розенфельд	троцкист	yes	13	16	0.8125
Н.А. Розенфельд	член	yes	13	16	0.8125
Пятаков	правый	yes	13	22	0.5909
Седов	член	yes	13	78	0.1667
Сокольников	нарком	no	13	18	0.7222
Агранов	председатель	no	12	74	0.1622
Бухарин	начальник	no	12	73	0.1644
Бухарин	председатель	no	12	73	0.1644
И.П. Бакаева	член	yes	12	13	0.9231
Каменев	секретарь	no	12	26	0.4615
Л.В. Николаева	секретарь	no	12	43	0.2791
Л.В. Николаева	член	yes	12	43	0.2791
Л.Д. Троцкий	член	yes	12	28	0.4286
Ольберг	правый	yes	12	94	0.1277
Рыков	нарком	no	12	18	0.6667
Сокольников	комиссар	no	12	18	0.6667
Сокольников	член	yes	12	18	0.6667
Сталин	наркомвнудел	no	12	520	0.0231
Бухарин	подсудимый	no	11	73	0.1507
Г.Г. Ягода	редактор	no	11	158	0.0696
Г.Г. Ягода	следователь	no	11	158	0.0696
Г.Е. Прокофьева	начальник	no	11	33	0.3333
Зиновьев	нарком	no	11	50	0.22
И.И. Рейнгольда	член	yes	11	11	1.0
И.С. Горшенина	член	yes	11	12	0.9167
Каменев	правый	yes	11	26	0.4231
М.К. Чернявского	троцкист	yes	11	11	1.0
Ольберг	секретарь	no	11	94	0.117
Радек	руководитель	no	11	25	0.44
Сталин	корреспондент	no	11	520	0.0212
Сталин	подсудимый	no	11	520	0.0212
Бухарин	представитель	yes	10	73	0.137
Г.Е. Прокофьева	директор	no	10	33	0.303
Г.И. Сафарова	представитель	yes	10	32	0.3125
Дмитриев	начальник	no	10	17	0.5882
Е.В. Цетлина	правый	yes	10	20	0.5
Е.В. Цетлина	член	yes	10	20	0.5
И.И. Рейнгольда	троцкист	yes	10	11	0.9091
Л.В. Николаева	наркомвнудел	no	10	43	0.2326
М.К. Чернявского	член	yes	10	11	0.9091
Н.А. Розенфельд	сотрудник	no	10	16	0.625
Н.В. Голубенко	троцкист	yes	10	11	0.9091
Ольберг	комиссар	no	10	94	0.1064
Пятаков	начальник	no	10	22	0.4545
Радек	комиссар	no	10	25	0.4
Рыков	председатель	no	10	18	0.5556
А.И. Анишева	член	yes	9	12	0.75
А.Я. Вышинский	троцкист	yes	9	10	0.9
Бухарин	адвокат	no	9	73	0.1233
Бухарин	прокурор	no	9	73	0.1233
Бухарин	редактор	no	9	73	0.1233
Бухарин	свидетель	no	9	73	0.1233
В.А. Балицкого	член	yes	9	13	0.6923
В.А. Барута	сотрудник	no	9	9	1.0
Г.Е. Евдокимова	троцкист	yes	9	14	0.6429
Г.Е. Прокофьева	нарком	no	9	33	0.2727
Г.И. Сафарова	правый	yes	9	32	0.2812
Дмитриев	секретарь	no	9	17	0.5294
Зиновьев	кандидат	yes	9	50	0.18
Зиновьев	представитель	yes	9	50	0.18
И.И. Рейнгольда	нарком	no	9	11	0.8182
Л.М. Каганович	секретарь	no	9	11	0.8182
М.А. Нырчука	руководитель	no	9	9	1.0
М.А. Нырчука	троцкист	yes	9	9	1.0
Пятаков	представитель	yes	9	22	0.4091
Радек	редактор	no	9	25	0.36
Радек	сотрудник	no	9	25	0.36
Рыков	секретарь	no	9	18	0.5
Смирнов	троцкист	yes	9	10	0.9
Сокольников	представитель	yes	9	18	0.5
А.М. Гертика	член	yes	8	11	0.7273
Агранов	агент	no	8	74	0.1081
Астров	правый	yes	8	8	1.0
Б.Н. Сахова	член	yes	8	9	0.8889
В.А. Балицкого	секретарь	no	8	13	0.6154
В.И. Звездова	член	yes	8	9	0.8889
Г.Е. Евдокимова	член	yes	8	14	0.5714
Г.Е. Прокофьева	сотрудник	no	8	33	0.2424
Г.Ф. Попова	член	yes	8	12	0.6667
Дмитриев	комиссар	no	8	17	0.4706
Е.В. Цетлина	секретарь	no	8	20	0.4
Зиновьев	агент	no	8	50	0.16
Зиновьев	заместитель	no	8	50	0.16
Зиновьев	обвиняемый	no	8	50	0.16
И.И. Рейнгольда	комиссар	no	8	11	0.7273
И.И. Рейнгольда	секретарь	no	8	11	0.7273
И.П. Бакаева	троцкист	yes	8	13	0.6154
Каменев	комиссар	no	8	26	0.3077
Л.В. Николаева	сотрудник	no	8	43	0.186
Л.М. Каганович	троцкист	yes	8	11	0.7273
Л.М. Каганович	член	yes	8	11	0.7273
М.А. Нырчука	сотрудник	no	8	9	0.8889
М.А. Нырчука	член	yes	8	9	0.8889
Н.В. Голубенко	член	yes	8	11	0.7273
Н.И. Мухина	обвиняемый	no	8	8	1.0
Н.И. Мухина	сотрудник	no	8	8	1.0
Н.И. Мухина	троцкист	yes	8	8	1.0
Ольберг	агент	no	8	94	0.0851
Ольберг	директор	no	8	94	0.0851
Ольберг	сотрудник	no	8	94	0.0851
Радек	представитель	yes	8	25	0.32
Рыков	кандидат	yes	8	18	0.4444
Членов	нарком	no	8	14	0.5714
А.С. Енукидзе	секретарь	no	7	8	0.875
А.Я. Вышинский	прокурор	no	7	10	0.7
Агранов	кандидат	yes	7	74	0.0946
Агранов	обвиняемый	no	7	74	0.0946
Астров	троцкист	yes	7	8	0.875
Бухарин	заместитель	no	7	73	0.0959
Бухарин	комиссар	no	7	73	0.0959
В.А. Балицкого	комиссар	no	7	13	0.5385
В.В. Кузьмина	правый	yes	7	7	1.0
В.В. Румянцева	троцкист	yes	7	12	0.5833
В.М. Попова	троцкист	yes	7	7	1.0
В.М. Попова	член	yes	7	7	1.0
В.Ф. Логинова	троцкист	yes	7	7	1.0
Г.А. Молчанова	член	yes	7	8	0.875
Г.Г. Ягода	корреспондент	no	7	158	0.0443
Г.Г. Ягода	полпред	no	7	158	0.0443
Г.Г. Ягода	прокурор	no	7	158	0.0443
Г.И. Сафарова	нарком	no	7	32	0.2188
Г.И. Сафарова	член	yes	7	32	0.2188
Дмитриев	директор	no	7	17	0.4118
Е.А. Дрейцера	комиссар	no	7	7	1.0
Е.А. Дрейцера	троцкист	yes	7	7	1.0
Е.В. Цетлина	следователь	no	7	20	0.35
Зиновьев	начальник	no	7	50	0.14
Зиновьев	председатель	no	7	50	0.14
И.А. Мусульбаса	комиссар	no	7	7	1.0
И.А. Мусульбаса	руководитель	no	7	7	1.0
И.А. Мусульбаса	секретарь	no	7	7	1.0
И.А. Мусульбаса	троцкист	yes	7	7	1.0
И.А. Мусульбаса	член	yes	7	7	1.0
И.И. Котолынова	член	yes	7	13	0.5385
И.И. Рейнгольда	руководитель	no	7	11	0.6364
И.П. Бакаева	правый	yes	7	13	0.5385
