person	process	process_kind	document_count	documents
Ежов	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	257	4269 | 4272 | 5697 | 5707 | 5715 | 5722 | 5729 | 5732 | 5736 | 5740 | 5741 | 5746 | 5748 | 5750 | 5794 | 5798 | 5804 | 5807 | 5808 | 5809 | 5811 | 5817 | 5818 | 5820 | 5823 | 5825 | 5826 | 5828 | 5830 | 5832 | 5833 | 5835 | 5839 | 5841 | 5845 | 5846 | 5847 | 5853 | 5854 | 5857 | 5860 | 5862 | 5865 | 5870 | 5873 | 5874 | 5876 | 5880 | 5883 | 5884 | 5889 | 5894 | 5895 | 5900 | 5901 | 5902 | 5903 | 5904 | 5906 | 5907 | 5908 | 5909 | 5910 | 5911 | 5912 | 5913 | 5915 | 5916 | 5917 | 5920 | 5922 | 5923 | 5924 | 5925 | 5926 | 5927 | 5955 | 5958 | 5961 | 5966 | 5971 | 5973 | 6074 | 6150 | 6160 | 6175 | 6188 | 6194 | 6196 | 6202 | 6206 | 6208 | 6210 | 6213 | 6216 | 6224 | 6231 | 6235 | 6242 | 6244 | 6246 | 6249 | 6255 | 6261 | 6265 | 6271 | 6273 | 6282 | 6284 | 6286 | 6288 | 6290 | 6294 | 6303 | 6305 | 6309 | 6312 | 6314 | 6316 | 6322 | 6324 | 6333 | 6336 | 6338 | 6345 | 6350 | 6354 | 6357 | 6360 | 6370 | 6372 | 6374 | 6379 | 6388 | 6406 | 6413 | 6446 | 6459 | 6463 | 6470 | 6472 | 6474 | 6476 | 6486 | 6488 | 6505 | 6512 | 6516 | 6518 | 6527 | 6540 | 6543 | 6545 | 6550 | 6584 | 6588 | 6596 | 6620 | 6622 | 6624 | 6626 | 6655 | 6663 | 6668 | 6677 | 6680 | 6685 | 6687 | 6691 | 6774 | 6790 | 6794 | 6796 | 6800 | 6813 | 6816 | 6819 | 6888 | 6928 | 6963 | 6982 | 6984 | 6990 | 6992 | 6996 | 6998 | 7000 | 7003 | 7006 | 7009 | 7013 | 7015 | 7017 | 7019 | 7021 | 7053 | 7063 | 7071 | 7079 | 7082 | 7089 | 7099 | 7101 | 7103 | 7105 | 7109 | 7124 | 7131 | 7141 | 7153 | 7155 | 7159 | 7162 | 7174 | 7181 | 7186 | 7190 | 7192 | 7194 | 7204 | 7218 | 7220 | 7222 | 7227 | 7230 | 7233 | 7252 | 7292 | 7294 | 7296 | 7355 | 7359 | 7363 | 7377 | 7417 | 7428 | 7437 | 7444 | 7455 | 7462 | 7476 | 7548 | 7553 | 7572 | 7582 | 7602 | 7607 | 7611 | 7623 | 7654 | 7684 | 7762 | 7784 | 7794 | 8863 | 8871 | 8911
Сталин	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	major_show_trial	242	4291 | 5677 | 5683 | 5685 | 5686 | 5713 | 5719 | 5747 | 5748 | 5749 | 5753 | 5767 | 5769 | 5770 | 5773 | 5776 | 5797 | 5798 | 5800 | 5806 | 5817 | 5827 | 5830 | 5853 | 5854 | 5857 | 5860 | 5862 | 5865 | 5866 | 5870 | 5873 | 5874 | 5876 | 5880 | 5883 | 5884 | 5889 | 5894 | 5895 | 5900 | 5901 | 5902 | 5903 | 5904 | 5906 | 5908 | 5909 | 5910 | 5911 | 5912 | 5913 | 5915 | 5916 | 5920 | 5922 | 5923 | 5924 | 5925 | 5926 | 5927 | 5955 | 5958 | 5961 | 5966 | 5971 | 5973 | 6074 | 6150 | 6160 | 6175 | 6188 | 6194 | 6196 | 6202 | 6206 | 6208 | 6210 | 6213 | 6216 | 6224 | 6231 | 6235 | 6242 | 6244 | 6246 | 6249 | 6255 | 6261 | 6265 | 6271 | 6273 | 6282 | 6284 | 6286 | 6288 | 6290 | 6294 | 6303 | 6305 | 6309 | 6312 | 6314 | 6316 | 6322 | 6324 | 6333 | 6336 | 6338 | 6345 | 6350 | 6354 | 6357 | 6360 | 6370 | 6372 | 6374 | 6379 | 6388 | 6406 | 6413 | 6446 | 6457 | 6459 | 6463 | 6470 | 6472 | 6474 | 6476 | 6486 | 6488 | 6505 | 6512 | 6516 | 6518 | 6527 | 6540 | 6543 | 6545 | 6550 | 6584 | 6588 | 6596 | 6602 | 6790 | 6794 | 6796 | 6800 | 6813 | 6816 | 6819 | 6890 | 6895 | 6928 | 6943 | 6947 | 6949 | 6951 | 6963 | 6982 | 6984 | 6990 | 6992 | 6996 | 6998 | 7000 | 7003 | 7006 | 7009 | 7013 | 7015 | 7017 | 7019 | 7021 | 7053 | 7063 | 7071 | 7075 | 7079 | 7082 | 7089 | 7099 | 7101 | 7103 | 7105 | 7109 | 7124 | 7126 | 7131 | 7141 | 7153 | 7155 | 7159 | 7162 | 7174 | 7181 | 7186 | 7190 | 7192 | 7194 | 7204 | 7218 | 7220 | 7222 | 7227 | 7230 | 7233 | 7252 | 7278 | 7281 | 7294 | 7296 | 7355 | 7359 | 7363 | 7365 | 7377 | 7381 | 7383 | 7385 | 7410 | 7417 | 7428 | 7444 | 7455 | 7462 | 7476 | 7548 | 7553 | 7572 | 7582 | 7602 | 7607 | 7623 | 7654 | 7762 | 7784 | 7794 | 7820 | 7965 | 8871 | 8909
Сталин	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	144	7379 | 7517 | 7542 | 7550 | 7555 | 7561 | 7574 | 7576 | 7604 | 7613 | 7625 | 7627 | 7630 | 7644 | 7656 | 7662 | 7665 | 7673 | 7687 | 7693 | 7705 | 7707 | 7709 | 7711 | 7713 | 7715 | 7724 | 7726 | 7756 | 7779 | 7787 | 7789 | 7792 | 7800 | 7811 | 7815 | 7818 | 7826 | 7840 | 7844 | 7847 | 7849 | 7853 | 7855 | 7862 | 7878 | 7885 | 7906 | 7913 | 7915 | 7930 | 7942 | 7945 | 7948 | 7950 | 7952 | 7954 | 7959 | 7972 | 7980 | 7984 | 7986 | 7988 | 7995 | 8001 | 8003 | 8009 | 8020 | 8042 | 8045 | 8048 | 8132 | 8148 | 8151 | 8153 | 8209 | 8217 | 8249 | 8251 | 8253 | 8285 | 8287 | 8456 | 8462 | 8464 | 8482 | 8504 | 8507 | 8509 | 8515 | 8517 | 8520 | 8522 | 8524 | 8528 | 8530 | 8541 | 8545 | 8547 | 8549 | 8559 | 8563 | 8574 | 8576 | 8578 | 8580 | 8582 | 8586 | 8592 | 8597 | 8623 | 8630 | 8641 | 8643 | 8648 | 8657 | 8661 | 8663 | 8668 | 8670 | 8672 | 8674 | 8676 | 8678 | 8682 | 8696 | 8698 | 8700 | 8704 | 8707 | 8709 | 8712 | 8777 | 8788 | 8790 | 8792 | 8794 | 8796 | 8798 | 8849 | 8959 | 8998 | 9004 | 9026
Ольберг	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	93	10282 | 10488 | 10713 | 10722 | 10731 | 10736 | 10738 | 10746 | 10755 | 10757 | 10762 | 10764 | 10766 | 10768 | 10770 | 10772 | 10775 | 10781 | 10783 | 10785 | 10789 | 10791 | 10793 | 10795 | 10801 | 10806 | 10809 | 10828 | 10877 | 10880 | 10889 | 10891 | 10893 | 10969 | 10979 | 10982 | 10984 | 10987 | 10991 | 10996 | 10999 | 11001 | 11003 | 11006 | 11046 | 4202 | 5372 | 5376 | 5383 | 5406 | 5442 | 5461 | 5475 | 5476 | 5510 | 5563 | 5586 | 5596 | 5614 | 5621 | 5623 | 5624 | 9061 | 9087 | 9091 | 9093 | 9100 | 9102 | 9107 | 9110 | 9116 | 9118 | 9120 | 9122 | 9124 | 9132 | 9134 | 9136 | 9139 | 9143 | 9146 | 9148 | 9150 | 9152 | 9154 | 9156 | 9165 | 9170 | 9172 | 9211 | 9213 | 9215 | 9217
Сталин	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	88	10123 | 10138 | 10470 | 10822 | 11046 | 2083 | 4664 | 4772 | 5259 | 5265 | 5360 | 5363 | 5366 | 5376 | 5387 | 5393 | 5404 | 5406 | 5432 | 5446 | 5459 | 5474 | 5508 | 5514 | 5540 | 5550 | 5553 | 5569 | 5595 | 5599 | 5602 | 5612 | 5613 | 5617 | 5621 | 5623 | 5625 | 5629 | 5641 | 5644 | 5647 | 5654 | 5656 | 5657 | 5660 | 5664 | 5667 | 5669 | 5673 | 5676 | 5684 | 5691 | 5693 | 5696 | 5699 | 5700 | 5701 | 5708 | 5709 | 5712 | 5714 | 5716 | 5717 | 5718 | 5720 | 5721 | 5727 | 5730 | 5735 | 5737 | 5742 | 5743 | 5744 | 5751 | 5756 | 5758 | 5759 | 5761 | 5762 | 5768 | 5782 | 5784 | 5791 | 5792 | 5793 | 6885 | 8173 | 8904
Ежов	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	84	6609 | 7351 | 7379 | 7517 | 7542 | 7550 | 7555 | 7561 | 7574 | 7576 | 7604 | 7609 | 7613 | 7625 | 7627 | 7630 | 7644 | 7656 | 7662 | 7665 | 7667 | 7673 | 7687 | 7693 | 7705 | 7707 | 7709 | 7711 | 7713 | 7715 | 7724 | 7726 | 7756 | 7779 | 7787 | 7789 | 7792 | 7800 | 7811 | 7815 | 7818 | 7826 | 7840 | 7849 | 7853 | 7855 | 7862 | 7878 | 7885 | 7906 | 7913 | 7930 | 7942 | 7945 | 7948 | 7950 | 7952 | 7954 | 7972 | 7986 | 7988 | 7995 | 8001 | 8003 | 8009 | 8020 | 8042 | 8045 | 8048 | 8132 | 8148 | 8151 | 8153 | 8628 | 8646 | 8650 | 8704 | 8709 | 8777 | 8849 | 8998 | 9004 | 9026 | 9746
Г.Г. Ягода	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	83	10123 | 10138 | 2083 | 4203 | 4664 | 4772 | 5259 | 5265 | 5363 | 5366 | 5406 | 5408 | 5432 | 5446 | 5499 | 5514 | 5540 | 5550 | 5553 | 5565 | 5566 | 5569 | 5590 | 5595 | 5599 | 5602 | 5611 | 5629 | 5636 | 5639 | 5641 | 5644 | 5647 | 5650 | 5654 | 5656 | 5657 | 5660 | 5662 | 5664 | 5667 | 5669 | 5673 | 5676 | 5680 | 5684 | 5691 | 5692 | 5693 | 5696 | 5699 | 5701 | 5708 | 5709 | 5712 | 5714 | 5716 | 5717 | 5718 | 5720 | 5721 | 5724 | 5727 | 5730 | 5731 | 5734 | 5735 | 5737 | 5739 | 5742 | 5743 | 5744 | 5751 | 5756 | 5758 | 5759 | 5761 | 5762 | 5764 | 5768 | 6842 | 6872 | 8173
Бухарин	ПРОЦЕСС 2-12 МАРТА 1938 г.	major_show_trial	72	8159 | 8164 | 8169 | 8285 | 8287 | 8456 | 8504 | 8507 | 8520 | 8522 | 8524 | 8526 | 8528 | 8530 | 8536 | 8582 | 8600 | 8605 | 8609 | 8611 | 8613 | 8617 | 8621 | 8623 | 8628 | 8630 | 8641 | 8643 | 8646 | 8648 | 8650 | 8652 | 8657 | 8661 | 8663 | 8668 | 8670 | 8672 | 8674 | 8676 | 8678 | 8682 | 8685 | 8687 | 8690 | 8696 | 8698 | 8700 | 8702 | 8704 | 8707 | 8709 | 8712 | 8715 | 8719 | 8725 | 8730 | 8740 | 8747 | 8769 | 8783 | 8792 | 8794 | 8796 | 8815 | 8827 | 8938 | 8946 | 8951 | 8954 | 8956 | 8959
Ежов	КРЕМЛЕВСКОЕ ДЕЛО	related_case	62	1704 | 4809 | 4829 | 4830 | 4834 | 4835 | 4836 | 4839 | 4841 | 4842 | 4843 | 4845 | 4849 | 4850 | 4851 | 4852 | 4853 | 4854 | 4891 | 4948 | 4958 | 4961 | 4968 | 4981 | 4992 | 5004 | 5009 | 5021 | 5029 | 5059 | 5061 | 5066 | 5073 | 5074 | 5077 | 5084 | 5086 | 5102 | 5108 | 5113 | 5124 | 5126 | 5137 | 5149 | 5152 | 5156 | 5159 | 5161 | 5172 | 5175 | 5186 | 5191 | 5206 | 5208 | 5216 | 5224 | 5232 | 5236 | 5237 | 9486 | 9899 | 9912
Ежов	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	major_show_trial	57	10574 | 10662 | 10822 | 4203 | 5284 | 5354 | 5373 | 5377 | 5381 | 5398 | 5400 | 5408 | 5426 | 5443 | 5454 | 5459 | 5469 | 5477 | 5481 | 5491 | 5499 | 5507 | 5529 | 5535 | 5549 | 5565 | 5566 | 5590 | 5605 | 5630 | 5636 | 5639 | 5648 | 5650 | 5662 | 5680 | 5692 | 5695 | 5708 | 5724 | 5733 | 5734 | 5777 | 5779 | 5786 | 5790 | 5791 | 5792 | 5793 | 6776 | 6842 | 6856 | 6868 | 6872 | 7419 | 7450 | 9756
