person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
Сталин	520	7	3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	242	0.4654	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:242 | ПРОЦЕСС 2-12 МАРТА 1938 г.:144 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:88 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:32 | КРЕМЛЕВСКОЕ ДЕЛО:11 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:474 | related_case:45 | misc:1	process_profile_from_document_cooccurrence
Ежов	466	7	3	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	257	0.5515	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:257 | ПРОЦЕСС 2-12 МАРТА 1938 г.:84 | КРЕМЛЕВСКОЕ ДЕЛО:62 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:57 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:3 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:398 | related_case:67 | misc:1	process_profile_from_document_cooccurrence
Г.Г. Ягода	158	6	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	83	0.5253	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:83 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:48 | КРЕМЛЕВСКОЕ ДЕЛО:13 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:8 | ПРОЦЕСС 2-12 МАРТА 1938 г.:5 | РАЗНЫЕ ДОКУМЕНТЫ:1	major_show_trial:136 | related_case:21 | misc:1	process_profile_from_document_cooccurrence
Ольберг	94	2	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	93	0.9894	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:93 | СТАТЬИ:1	major_show_trial:93 | articles:1	process_profile_from_document_cooccurrence
Седов	78	3	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	46	0.5897	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:46 | ТРОЦКИЙ:31 | КРЕМЛЕВСКОЕ ДЕЛО:1	major_show_trial:46 | person_dossier:31 | related_case:1	process_profile_from_document_cooccurrence
Агранов	74	7	3	КРЕМЛЕВСКОЕ ДЕЛО	37	0.5	КРЕМЛЕВСКОЕ ДЕЛО:37 | ПРОЦЕСС 2-12 МАРТА 1938 г.:19 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:7 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4 | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:2 | РАЗНЫЕ ДОКУМЕНТЫ:1	related_case:43 | major_show_trial:30 | misc:1	process_profile_from_document_cooccurrence
Бухарин	73	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	72	0.9863	ПРОЦЕСС 2-12 МАРТА 1938 г.:72 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:73	process_profile_from_document_cooccurrence
Зиновьев	50	5	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	35	0.7	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:35 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:11 | КРЕМЛЕВСКОЕ ДЕЛО:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	related_case:37 | major_show_trial:13	process_profile_from_document_cooccurrence
Л.В. Николаева	43	2	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	42	0.9767	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”:42 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	related_case:43	process_profile_from_document_cooccurrence
Г.Е. Прокофьева	33	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	33	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:33	major_show_trial:33	process_profile_from_document_cooccurrence
