position	position_family	document_count	total_words	first_date	last_date	raw_forms	processes	collections
член	membership_role	1482	3554333	1927-12-18T07:56:18	2022-12-08T15:06:30	член | членов | членом | члены | члена | членами | членам | Член | члену | Члены | члене | Членам | ЧЛЕНОВ | членах | ЧЛЕНОВА | ЧЛЕНАМ | Членов | Членова | Членовым | Членову	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
троцкист	political_label	1357	3454773	1928-04-08T15:09:15	2022-12-08T15:06:30	троцкистской | троцкистов | троцкистско | троцкистскую | троцкистами | троцкист | троцкистского | троцкистских | троцкистом | троцкисты | троцкистские | троцкистская | троцкиста | троцкистам | троцкистским | троцкистский | троцкистском | троцкистскими | троцкисткой | троцкистах	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
секретарь	party_or_administrative_role	988	2879771	1928-02-28T12:46:32	2022-12-08T15:06:30	СЕКРЕТАРЮ | секретарь | секретарем | секретаря | Секретарь | секретарю | СЕКРЕТАРЬ | Секретаря | секретари | Секретарем | Секретарю | секретарям | секретарями | СЕКРЕТАРЯ | секретаре | СЕКРЕТАРЯМ | Секретари | Секретаре | Секретарями | СЕКРЕТАРЕ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
комиссар	state_or_party_role	667	2071720	1929-01-07T12:28:46	2022-12-08T15:06:30	КОМИССАР | КОМИССАРА | комиссар | комиссара | Комиссара | комиссаром | комиссариата | КОМИССАРУ | Комиссаров | комиссаров | Комиссаром | Комиссар | Комиссариата | комиссары | комиссариатом | Комиссару | Комиссариат | КОМИССАРИАТ | комиссариате | комиссарами	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
руководитель	leadership_role	639	2293373	1927-12-18T07:56:18	2022-12-08T15:06:30	руководителем | руководителями | руководитель | руководителя | руководители | руководителям | Руководитель | руководителю | Руководителем | Руководители | руководителе | Руководителями | Руководителям | Руководителю | РУКОВОДИТЕЛЯМ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
правый	political_label	607	2250565	1928-04-08T15:09:15	2022-12-08T15:06:30	правых | правыми | правые | право | правой | правым | правого | правый | правы | правом | Правые | правоту | правоте | правооппортунистических | правому | правооппортунистической | правосудия | правооппортунистическую | правое | ПРАВЫХ	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СПРАВКИ КПК И ИМЛ | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
нарком	state_security_role	530	2061087	1929-01-07T12:28:46	2022-12-08T15:06:30	Наркомтяжпрома | Наркома | Наркомтяжпроме | Наркомата | Наркомзема | Наркомвнудела | Наркомпроса | Наркомате | наркома | Наркомпути | Наркомпросе | НАРКОМА | Наркомсвязи | Наркомтяжпром | Нарком | Наркомвнешторга | Наркомвнудел | НАРКОМВНУДЕЛ | Наркомат | Наркомом	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
начальник	administrative_command_role	506	2064916	1932-10-09T20:05:28	2022-12-08T15:06:30	начальника | начальник | начальником | Начальник | НАЧАЛЬНИК | начальнику | Начальника | Начальником | начальников | начальники | начальнике | начальникам | Начальнику | НАЧАЛЬНИКА | начальниками | НАЧАЛЬНИКУ | Начальники | Начальниками | Начальников	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
сотрудник	institution_staff_role	381	1379276	1930-04-03T09:49:18	2022-12-08T15:06:30	сотрудников | сотрудник | сотрудником | сотрудника | сотрудники | сотрудниками | сотрудникам | СОТРУДНИК | Сотрудник | сотруднику | сотруднике | сотрудниках | Сотрудники | Сотрудникам	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | РАЗНЫЕ ДОКУМЕНТЫ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
директор	administrative_command_role	380	1445949	1931-10-11T13:24:17	2022-12-08T15:06:30	директора | директор | директором | Директор | директоров | директору | Директора | директорского | Директором | директоре | директорами | директорам | Директории | Директору | директория | директорию | директорат | директории | директорским | директорате	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | СТАТЬИ | ТРОЦКИЙ	БУХАРИН | Г.Б. СИНАНИ-СКАЛОВ | ДЕЛО ПЕТРА НИКОЛАЕВА | ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ | ОЛЬБЕРГ | ПРЕДЫСТОРИЯ | СПРАВКА | СТАТЬИ | ТРОЦКИЙ | ФЕВРАЛЬСКО-МАРТОВСКИЙ ПЛЕНУМ 1937 г. | ХОД ПРОЦЕССА
