role	role_class	position_family_v1	document_count	total_words	first_date	last_date	raw_forms	promote_to_profile_signal	notes
вредитель	accusatory_label	accusatory_label	58	471994	1933-11-29T18:50:09	2022-12-08T15:06:30	вредитель | вредителя | вредителями | вредители | вредителем | вредителю | вредителе | вредителям | Вредитель | Вредители	no	derived_from_positions_v1
агент	accusatory_or_intelligence_label	security_or_intelligence_role	222	1330239	1929-01-01T19:48:38	2022-12-08T15:06:30	агентом | агентов | агента | агент | агентами | агенты | агентуры | агентурой | агентуру | агентурным | агентуре | агентурных | агентура | агенту | агентам | агентурные | Агенты | Агент | агентах | агентурного	no	derived_from_positions_v1
член	generic_membership	membership_role	1482	3554333	1927-12-18T07:56:18	2022-12-08T15:06:30	член | членов | членом | члены | члена | членами | членам | Член | члену | Члены | члене | Членам | ЧЛЕНОВ | членах | ЧЛЕНОВА | ЧЛЕНАМ | Членов | Членова | Членовым | Членову	no	derived_from_positions_v1
кандидат	generic_membership	membership_role	208	1034615	1929-01-07T12:28:46	2022-12-08T15:06:30	кандидатуру | кандидат | кандидатом | кандидатура | кандидаты | кандидатов | кандидатуры | КАНДИДАТАМ | кандидата | кандидатуре | кандидатур | кандидатурой | кандидатам | кандидатурах | Кандидатура | кандидатами | кандидатах | кандидатской | кандидатурам | КАНДИДАТУ	no	derived_from_positions_v1
представитель	generic_representative	representative_role	278	1493775	1929-01-01T19:48:38	2022-12-08T15:06:30	представителем | представителями | представитель | представителя | представители | представителю | представителям | Представитель | Представители | представителе | Представителями | ПРЕДСТАВИТЕЛИ | Представителем | Представителе	no	derived_from_positions_v1
сотрудник	generic_staff	institution_staff_role	381	1379276	1930-04-03T09:49:18	2022-12-08T15:06:30	сотрудников | сотрудник | сотрудником | сотрудника | сотрудники | сотрудниками | сотрудникам | СОТРУДНИК | Сотрудник | сотруднику | сотруднике | сотрудниках | Сотрудники | Сотрудникам	no	derived_from_positions_v1
секретарь	office_position	party_or_administrative_role	988	2879771	1928-02-28T12:46:32	2022-12-08T15:06:30	СЕКРЕТАРЮ | секретарь | секретарем | секретаря | Секретарь | секретарю | СЕКРЕТАРЬ | Секретаря | секретари | Секретарем | Секретарю | секретарям | секретарями | СЕКРЕТАРЯ | секретаре | СЕКРЕТАРЯМ | Секретари | Секретаре | Секретарями | СЕКРЕТАРЕ	yes	derived_from_positions_v1
комиссар	office_position	state_or_party_role	667	2071720	1929-01-07T12:28:46	2022-12-08T15:06:30	КОМИССАР | КОМИССАРА | комиссар | комиссара | Комиссара | комиссаром | комиссариата | КОМИССАРУ | Комиссаров | комиссаров | Комиссаром | Комиссар | Комиссариата | комиссары | комиссариатом | Комиссару | Комиссариат | КОМИССАРИАТ | комиссариате | комиссарами	yes	derived_from_positions_v1
руководитель	office_position	leadership_role	639	2293373	1927-12-18T07:56:18	2022-12-08T15:06:30	руководителем | руководителями | руководитель | руководителя | руководители | руководителям | Руководитель | руководителю | Руководителем | Руководители | руководителе | Руководителями | Руководителям | Руководителю | РУКОВОДИТЕЛЯМ	yes	derived_from_positions_v1
нарком	office_position	state_security_role	530	2061087	1929-01-07T12:28:46	2022-12-08T15:06:30	Наркомтяжпрома | Наркома | Наркомтяжпроме | Наркомата | Наркомзема | Наркомвнудела | Наркомпроса | Наркомате | наркома | Наркомпути | Наркомпросе | НАРКОМА | Наркомсвязи | Наркомтяжпром | Нарком | Наркомвнешторга | Наркомвнудел | НАРКОМВНУДЕЛ | Наркомат | Наркомом	yes	derived_from_positions_v1
начальник	office_position	administrative_command_role	506	2064916	1932-10-09T20:05:28	2022-12-08T15:06:30	начальника | начальник | начальником | Начальник | НАЧАЛЬНИК | начальнику | Начальника | Начальником | начальников | начальники | начальнике | начальникам | Начальнику | НАЧАЛЬНИКА | начальниками | НАЧАЛЬНИКУ | Начальники | Начальниками | Начальников	yes	derived_from_positions_v1
директор	office_position	administrative_command_role	380	1445949	1931-10-11T13:24:17	2022-12-08T15:06:30	директора | директор | директором | Директор | директоров | директору | Директора | директорского | Директором | директоре | директорами | директорам | Директории | Директору | директория | директорию | директорат | директории | директорским | директорате	yes	derived_from_positions_v1
председатель	office_position	leadership_role	361	1706522	1928-02-28T12:46:32	2022-12-08T15:06:30	ПРЕДСЕДАТЕЛЬ | председателя | председатель | председателем | Председатель | Председателя | председателю | Председателю | ПРЕДСЕДАТЕЛЮ | Председателем | ПРЕДСЕДАТЕЛЯ | председатели | председателями | председателе	yes	derived_from_positions_v1
заместитель	office_position	administrative_command_role	283	1496376	1933-04-03T12:32:38	2022-12-08T15:06:30	заместителем | заместитель | заместителя | заместители | Заместитель | Заместителем | заместителю | зам. начальника | заместителе | ЗАМЕСТИТЕЛЬ | Заместителя | Зам. Начальника | ЗАМЕСТИТЕЛЮ | заместителями	yes	derived_from_positions_v1
редактор	office_position	press_role	172	836700	1929-01-07T12:28:46	2022-12-08T15:06:30	редактор | редактором | редактора | редакторов | РЕДАКТОР | Редактор | редактору | Редактором | редакторском | РЕДАКТОРУ | редакторства | Редактора | редакторских | редакторство | Редакторами | редакторе | редакторская | редакторами	yes	derived_from_positions_v1
прокурор	office_position	judicial_role	119	862934	1933-11-29T18:50:09	2022-12-08T15:06:30	прокурор | прокурора | Прокурор | прокурором | Прокурора | прокурору | Прокурором | Прокурору | ПРОКУРОР | ПРОКУРОРА | ПРОКУРОРУ | прокурорский | прокурорское | прокуроре | ПРОКУРОРЕ | прокурорами | прокуроров | прокурорских | Прокуроры | прокурорскую	yes	derived_from_positions_v1
следователь	office_position	security_investigation_role	119	806916	1933-03-04T15:56:45	2022-12-08T15:06:30	следователь | следователя | следователю | следователи | следователем | Следователь | следователям | следователями | Следователи | Следователя | следователе | Следователю | СЛЕДОВАТЕЛЬ | СЛЕДОВАТЕЛЮ | Следователем	yes	derived_from_positions_v1
посол	office_position	diplomatic_role	88	514638	1933-11-29T18:50:09	2022-12-08T15:06:30	посольства | посольство | посольстве | посольством | посол | Посольства | Посол | посольств | посольству | посольствах | Посольстве | ПОСОЛЬСТВУ | посольствами | Посольств	yes	derived_from_positions_v1
адвокат	office_position	legal_defense_role	83	607701	1931-03-06T15:43:14	2022-12-08T15:06:30	защитников | защитника | защитник | адвокат | защитники | адвоката | адвокатов | ЗАЩИТНИКОВ | адвокату | адвокаты | адвокатом | Защитников | защитникам | адвокатские | адвокатский | Адвокат | защитником | адвокатами | адвокатски | адвокатская	yes	derived_from_positions_v1
полпред	office_position	diplomatic_role	69	370174	1932-04-02T14:50:35	2022-12-08T15:06:30	полпредства | полпредство | полпредом | полпреда | полпредстве | Полпредства | Полпред | полпредством | Полпредстве | Полпредом | полпредставительства | полпредов | Полпреду | полпреду | полпреды | Полпреда | Полпредство | полпредского | полпред | ПОЛПРЕД	yes	derived_from_positions_v1
наркомвнудел	office_position	state_security_role	49	350381	1933-10-27T12:22:23	2022-12-08T15:06:30	Наркомвнудела | Наркомвнудел | НАРКОМВНУДЕЛ | Наркомвнуделу | Наркомвнуделом | НАРКОМВНУДЕЛА | Наркомвнуделе | наркомвнудела | НАРКОМВНУДЕЛУ | НАРКОМВНУДЕЛОМ	yes	derived_from_positions_v1
корреспондент	office_position	press_role	44	298755	1929-01-01T19:48:38	2022-12-08T15:06:30	корреспондента | корреспондентом | корреспондент | корреспондентов | корреспондентскую | Корреспондент | корреспонденты | корреспонденту | корреспондентки | корреспондентской | корреспондентская	yes	derived_from_positions_v1
судья	office_position	judicial_role	31	294484	1931-02-23T21:37:38	1938-03-12T22:08:53	судьи | судья | судьями | судь | Судья	yes	derived_from_positions_v1
секретарь_суда	office_position	judicial_role	1	10491	1937-01-23T00:44:00	1937-01-23T00:44:00	СЕКРЕТАРЬ СУДА | Секретарь суда	yes	derived_from_positions_v1
троцкист	political_label	political_label	1357	3454773	1928-04-08T15:09:15	2022-12-08T15:06:30	троцкистской | троцкистов | троцкистско | троцкистскую | троцкистами | троцкист | троцкистского | троцкистских | троцкистом | троцкисты | троцкистские | троцкистская | троцкиста | троцкистам | троцкистским | троцкистский | троцкистском | троцкистскими | троцкисткой | троцкистах	no	derived_from_positions_v1
правый	political_label	political_label	607	2250565	1928-04-08T15:09:15	2022-12-08T15:06:30	правых | правыми | правые | право | правой | правым | правого | правый | правы | правом | Правые | правоту | правоте | правооппортунистических | правому | правооппортунистической | правосудия | правооппортунистическую | правое | ПРАВЫХ	no	derived_from_positions_v1
обвиняемый	trial_role	trial_role	347	1353309	1932-04-02T14:50:35	2022-12-08T15:06:30	обвиняемого | Обвиняемый | обвиняемый | обвиняемых | обвиняемые | обвиняемым | обвиняемыми | обвиняемому | ОБВИНЯЕМОГО | Обвиняемые | обвиняем | обвиняемой | Обвиняемого | ОБВИНЯЕМЫХ | Обвиняемой | обвиняемом | Обвиняемому | Обвиняемых | Обвиняемую | ОБВИНЯЕМЫМИ	yes	derived_from_positions_v1
свидетель	trial_role	trial_role	95	742301	1929-01-07T12:28:46	2022-10-26T13:25:08	свидетеля | свидетелем | свидетель | свидетели | свидетелями | Свидетель | свидетелю | свидетелям | СВИДЕТЕЛЯ | свидетеле | СВИДЕТЕЛИ | Свидетелем	yes	derived_from_positions_v1
подсудимый	trial_role	trial_role	74	798779	1934-12-25T02:00:00	2022-10-26T13:25:08	Подсудимый | подсудимых | подсудимый | подсудимого | подсудимые | подсудимому | подсудимым | Подсудимые | подсудимыми | Подсудимой | ПОДСУДИМЫЕ | ПОДСУДИМЫЙ | Подсудимым | подсудимой | подсудим | Подсудимого | ПОДСУДИМЫХ	yes	derived_from_positions_v1
