tag	process_count	processes
Moscow	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”
Бухарин	1	ПРОЦЕСС 2-12 МАРТА 1938 г.
Вредители в химической промышленности	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Вредители на электростанциях	1	ПРОЦЕСС 2-12 МАРТА 1938 г.
Горьковская группа	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа В.М. Попова (УНКВД СССР по Горькраю)	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Вяткина	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Грюнштейна	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Дмитриева	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Коминтерна	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Ломинадзе	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Группа Ольберга	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Группа Шемелева	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Ленинградская группа	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Общество политкаторжан	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Сын Зиновьева	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Уралвагонстрой	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Юрий Гавен	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
прав	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.
Военные-троцкисты	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Вредители в угольной промышленности	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Вредители на железной дороге	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Грузинские троцкисты	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Группа Муралова	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Группа Пятакова	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Группа Радека	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Группа историков	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Иммигранты	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Параллельный центр	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Партизаны	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Троцкистский центр	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Троцкисты Азово-Черноморского края	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Уральские троцкисты	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Зиновьевский центр	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”
Правые	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
Украинская группа (НКВД УССР)	3	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.
UNSET	9	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г. | ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА” | РАЗНЫЕ ДОКУМЕНТЫ | СТАТЬИ | ТРОЦКИЙ
