tag	process	document_count	total_words
Moscow	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	432
UNSET	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	422	409975
UNSET	КРЕМЛЕВСКОЕ ДЕЛО	292	380281
UNSET	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	175	117100
UNSET	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	158	344584
UNSET	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	72	304834
UNSET	ТРОЦКИЙ	31	16882
UNSET	ПРОЦЕСС 2-12 МАРТА 1938 г.	19	43873
UNSET	РАЗНЫЕ ДОКУМЕНТЫ	4	12436
UNSET	СТАТЬИ	2	63665
Бухарин	ПРОЦЕСС 2-12 МАРТА 1938 г.	104	228688
Военные-троцкисты	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	16	22787
Военные-троцкисты	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1933
Вредители в угольной промышленности	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	40	130110
Вредители в угольной промышленности	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	1702
Вредители в химической промышленности	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	19	41749
Вредители на железной дороге	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	50	155272
Вредители на железной дороге	ПРОЦЕСС 2-12 МАРТА 1938 г.	19	50786
Вредители на электростанциях	ПРОЦЕСС 2-12 МАРТА 1938 г.	4	12771
Горьковская группа	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	36	87074
Грузинские троцкисты	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	17	25847
Грузинские троцкисты	ПРОЦЕСС 2-12 МАРТА 1938 г.	7	17518
Группа В.М. Попова (УНКВД СССР по Горькраю)	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	23	42298
Группа Вяткина	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	7187
Группа Грюнштейна	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	12200
Группа Дмитриева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	15	44182
Группа Коминтерна	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	6	11545
Группа Ломинадзе	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	5	10856
Группа Муралова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	12	30280
Группа Муралова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	4731
Группа Ольберга	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	33	88511
Группа Пятакова	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	47	118146
Группа Пятакова	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	1330
Группа Радека	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	33	99719
Группа Радека	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	6396
Группа Шемелева	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	38	67646
Группа историков	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	15	36814
Группа историков	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	6489
Зиновьевский центр	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	53	141582
Зиновьевский центр	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	6854
Зиновьевский центр	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	1773
Иммигранты	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	11	39890
Иммигранты	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	1253
Ленинградская группа	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	11	43851
Общество политкаторжан	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	12	15696
Параллельный центр	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	29	68741
Параллельный центр	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	2347
Партизаны	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	8	20732
Партизаны	ПРОЦЕСС 2-12 МАРТА 1938 г.	5	15674
Правые	ПРОЦЕСС 2-12 МАРТА 1938 г.	127	424926
Правые	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	52	151688
Правые	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	4450
Сын Зиновьева	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	6860
Троцкистский центр	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	51	158559
Троцкистский центр	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	7777
Троцкисты Азово-Черноморского края	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	32	78545
Троцкисты Азово-Черноморского края	ПРОЦЕСС 2-12 МАРТА 1938 г.	14	44204
Украинская группа (НКВД УССР)	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	58	95943
Украинская группа (НКВД УССР)	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	52	70507
Украинская группа (НКВД УССР)	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	4273
Уралвагонстрой	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	5687
Уральские троцкисты	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	10512
Уральские троцкисты	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	4279
Юрий Гавен	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	13	47315
прав	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	217
