entity_a	entity_b	document_count
Ежов	Сталин	286
Г.Г. Ягоды	Сталин	89
Г.Г. Ягоды	Ежов	55
Агранов	Ежов	45
Ольберг	Седов	45
Бухарин	Сталин	37
Агранов	Сталин	20
Г.Е. Прокофьева	Ежов	19
Зиновьев	Сталин	17
Л.Д. Троцкому	Седов	16
Ежов	Пятаков	15
Радек	Сталин	15
Г.Е. Прокофьева	Сталин	14
Г.Г. Ягоды	аресте	14
Пятаков	Сталин	14
Сталин	аресте	13
Е.В. Цетлина	Сталин	13
В.А. Балицкого	Ежов	12
Ежов	Сокольников	12
Ежов	Радек	11
Сокольников	Сталин	11
Г.Г. Ягоды	Зиновьев	11
Л.Д. Троцкому	Ольберг	11
Каменев	Сталин	10
Членов	семей	9
Агранов	Е.В. Цетлина	9
семей	ходе	8
делам	ходе	8
Членов	ходе	8
делам	семей	8
Членов	делам	8
Рыков	Сталин	7
Бухарин	Рыков	7
Зиновьев	делу	7
Ежов	И.А. Мусульбаса	7
И.А. Мусульбаса	Сталин	7
Бухарин	пленума	6
Рыков	пленума	6
Е.Ф. Куликова	Ежов	6
Г.Г. Ягоде	Ежов	6
Ольберг	Троцкий	6
Ежов	Рыков	5
Бухарин	Ежов	5
Г.А. Молчанова	Ежов	5
Ольберг	Сталин	5
Сталин	показаниях	5
Ежов	Зиновьев	5
Ежов	Н.А. Розенфельд	5
Сталин	Т.И. Глебовой	5
Г.Г. Ягоды	С.В. Мрачковского	5
С.В. Мрачковского	Сталин	5
Г.Г. Ягоды	Каменев	5
В.А. Яковлева	Ежов	5
В.А. Яковлева	Сталин	5
Ежов	Н.В. Голубенко	5
Г.Г. Ягоды	И.И. Рейнгольда	5
Ежов	его	4
В.В. Кузьмина	Сталин	4
Ольберг	П.И. Бескиной	4
Ежов	делу	4
КПК	правительственной	4
М.Ф. Шкирятову	правительственной	4
Агранов	Н.А. Розенфельд	4
З.М. Беленького	результатах	4
Агранов	М.К. Чернявского	4
Ежов	М.К. Чернявского	4
делу	заключения	4
Г.И. Сафарова	Сталин	4
Зиновьев	аресте	4
Сталин	делу	4
Ежов	Л.М. Кагановичу	4
Г.Г. Ягоды	Смирнов	4
Бухарин	очной	4
В.Ф. Логинова	Ежов	4
Ежов	М.М. Киллерога	4
М.М. Киллерога	Сталин	4
В.А. Балицкого	показаниях	4
Ежов	показаниях	4
Г.Г. Ягоды	Сокольников	4
МАТЕРИАЛАМ	ХОДЕ	4
В.А. Балицкого	Г.Г. Ягоде	4
И.И. Рейнгольда	Сталин	4
Г.Г. Ягоды	Е.А. Дрейцера	4
Е.А. Дрейцера	Сталин	4
В.В. Шмидта	Ежов	3
Ежов	Членов	3
Бухарин	Политбюро	3
Г.Г. Ягоды	И.К. Федотова	3
Г.Е. Прокофьева	Дмитриев	3
Дмитриев	Ежов	3
А.Я. Вышинского	Сталин	3
Ежов	Молотов	3
Г.Е. Прокофьева	Ольберг	3
А.Я. Свердлова	Ежов	3
Ежов	КПК	3
Ежов	аппарате	3
Ежов	П.Ф. Зайцева	3
КПК	реагировании	3
КПК	неблагополучном	3
неблагополучном	реагировании	3
правительственной	реагировании	3
неблагополучном	правительственной	3
КПК	М.Ф. Шкирятову	3
Агранов	Каменев	3
М.Ф. Шкирятова	Сталин	3
Л.М. Кагановичу	Сталин	3
делу	центра	3
М.М. Харитонова	Сталин	3
Астров	Сталин	3
Ежов	Л.М. Марьясина	3
Л.М. Марьясина	Сталин	3
Г.Ф. Овчинникова	Ежов	3
Г.Ф. Овчинникова	Сталин	3
Ежов	Л.Ф. Дитятевой	3
А.А. Трояновского	НКИД	3
Зиновьев	партии	3
восстановлении	партии	3
Г.Г. Ягоде	показаниях	3
Ежов	Я.А. Лившица	3
Сталин	Я.А. Лившица	3
Ежов	Л.П. Серебряковым	3
Л.П. Серебряковым	Сталин	3
Б.М. Оберталлера	Ежов	3
Б.М. Оберталлера	Сталин	3
Ежов	Л.П. Серебрякова	3
Л.П. Серебрякова	Сталин	3
Н.М. Лукиной-	Сталин	3
Бухарин	Н.М. Лукиной-	3
Е.Ф. Куликова	Сталин	3
Ежов	допроса	3
Ежов	Н.П. Глебова-	3
Н.П. Глебова-	Сталин	3
Ежов	Н.И. Гордона	3
Н.И. Гордона	Сталин	3
А.Ю. Тивеля	Ежов	3
В.Д. Каспаровой	Ежов	3
В.Д. Каспаровой	Сталин	3
В.Ф. Логинова	Сталин	3
А.А. Докучаева	Ежов	3
Ежов	Ю.М. Коцюбинского	3
Сталин	Ю.М. Коцюбинского	3
Ежов	И.М. Гуревича	3
Ежов	аресте	3
Г.Г. Ягоды	Пятаков	3
Б.И. Кузьмичева	Г.Г. Ягоды	3
В.Ф. Логинова	Г.Г. Ягоды	3
В.А. Балицкого	Н.В. Голубенко	3
Г.Г. Ягоде	Н.В. Голубенко	3
Г.Г. Ягоды	И.П. Бакаева	3
И.П. Бакаева	Сталин	3
В.А. Тер-	Г.Г. Ягоды	3
В.А. Тер-	Сталин	3
Г.Г. Ягоды	Л.Ф. Дитятевой	3
Г.Г. Ягоды	Г.М. Аркуса	3
Г.М. Аркуса	Сталин	3
Д.А. Шмидта	Сталин	3
А.И. Биркенгофа	Ежов	3
Бухарин	центра	2
В.Г. Яковенко	Ежов	2
В.Г. Яковенко	Сталин	2
Ежов	К.Н. Лукницкого	2
К.Н. Лукницкого	Сталин	2
Ежов	Л.Д. Гогоберидзе	2
Л.Д. Гогоберидзе	Сталин	2
В.В. Шмидта	Сталин	2
Л.П. Берии	Сталин	2
Сталин	Членов	2
Ежов	М.Ф. Постоловского	2
М.Ф. Постоловского	Сталин	2
В.В. Кузьмина	Ежов	2
Ежов	И.Н. Маевского	2
И.Н. Маевского	Сталин	2
Ежов	Радин	2
Радин	Сталин	2
А.М. Лариной	Сталин	2
И.К. Федотова	Сталин	2
И.И. Горовича	Сталин	2
А.Г. Колодина	Г.Е. Прокофьева	2
А.Г. Колодина	Сталин	2
В.А. Балицкого	раскрытии	2
Ежов	раскрытии	2
Г.А. Молчанова	его	2
А.Н. Слепкова	его	2
Ежов	восстановлении	2
Ежов	рядах	2
восстановлении	рядах	2
Е.А. Афанасьева	Ежов	2
Зиновьев	Политбюро	2
Ежов	письма	2
Агранов	Зиновьев	2
Ежов	С.Г. Радомысльского	2
Агранов	Г.Г. Ягоде	2
А.С. Енукидзе	Ежов	2
заседания	пленума	2
Е.Н. Васильева	КПК	2
Е.Н. Васильева	реагировании	2
Е.Н. Васильева	неблагополучном	2
Е.Н. Васильева	правительственной	2
Е.Н. Васильева	время	2
КПК	время	2
время	реагировании	2
время	неблагополучном	2
время	правительственной	2
М.Ф. Шкирятову	реагировании	2
М.Ф. Шкирятову	неблагополучном	2
Агранов	Р.С. Беннет	2
Ежов	Р.С. Беннет	2
