truncated_person	truncated_raw_forms	document_count	total_words	first_date	last_date	document_titles	candidate_person	candidate_document_count	candidate_total_words	candidate_raw_forms	candidate_similarity	candidate_reason	suggested_decision
Г.Б. Синани-Скалов	Г.Б. Синани-	12	24002	1933-06-04T11:39:19	1936-04-25T14:02:00	Протокол заседания комиссии по чистке парторганизации Коминтерна – Г.Б. Синани-Скалов | Автобиография Г.Б. Синани-Скалова | Записка Г.Б. Синани-Скалова в партком ИККИ с изложением разговора с Л.И. Мадьяром | Письмо Г.Б. Синани-Скалова Д.З. Мануильскому | Стенограмма заседания парткома ИККИ по вопросу о Г.Б. Синани-Скалове						no_candidate	review_source_document
В.Я. Головский-Голощапов	В.Я. Головским- | В.Я. Головского-	5	3197	1935-04-09T00:05:00	1935-04-16T04:00:00	Протокол очной ставки между В.Я. Головским-Голощаповым и К.К. Мухановым | Протокол допроса В.Я. Головского-Голощапова | Протокол допроса В.Я. Головского-Голощапова | Протокол допроса В.Я. Головского-Голощапова | Протокол допроса В.Я. Головского-Голощапова						no_candidate	review_source_document
В.А. Тер-Ваганян	В.А. Тер-	3	4985	1936-07-16T00:10:00	1936-08-14T05:10:00	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса В.А. Тер-Ваганяна | Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением заявления В.А. Тер-Ваганяна | Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса В.А. Тер-Ваганяна	В.А. Ваганяна	1	222	В.А. Ваганяна	0.7368	similarity	review_candidate
Н.М. Лукина-Бухарина	Н.М. Лукиной-	3	1722	1936-08-23T19:40:57	1937-01-13T19:46:24	Письмо Н.М. Лукиной-Бухариной И.В. Сталину | Письмо Н.М. Лукиной-Бухариной И.В. Сталину | Письмо Н.М. Лукиной-Бухариной И.В. Сталину						no_candidate	review_source_document
Н.П. Глебов-Авилов	Н.П. Глебова-	3	7576	1936-10-21T06:40:00	1936-12-26T00:29:00	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.П. Глебова-Авилова | Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.П. Глебова-Авилова | Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Н.П. Глебова-Авилова						no_candidate	review_source_document
А.В. Луговой-Левенштейн	А.В. Лугового-	2	2885	1936-09-10T02:36:00	1936-09-14T04:36:00	Протокол допроса А.В. Лугового-Левенштейна | Протокол допроса А.В. Лугового-Левенштейна						no_candidate	review_source_document
В.Н. Цатурова-Большакова	В.Н. Цатуровой-	2	480	1934-12-31T09:00:00	1935-01-04T13:00:00	Протокол допроса В.Н. Цатуровой-Большаковой | Протокол допроса В.Н. Цатуровой-Большаковой						no_candidate	review_source_document
Е.М. Манюрин-Броварский	Е.М. Манюрина-	2	4177	1937-01-11T13:16:56	1937-01-14T13:20:52	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Е.М. Манюрина-Броварского | Протокол допроса Е.М. Манюрина-Броварского						no_candidate	review_source_document
И.М. Бык-Бек	И.М. Бык-	2	2303	1936-07-11T00:10:00	1936-07-20T00:10:00	Спецсообщение Г.Г. Ягоды И.В. Сталину об аресте И.М. Бык-Бека, Г.М. Аркуса, А.М. Аркус и А.В. Галкина | Протокол допроса И.М. Бык-Бека						no_candidate	review_source_document
К.Б. Берман-Юрин	К.Б. Бермана-	2	8694	1936-07-21T04:10:00	1936-08-01T03:10:00	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса К.Б. Бермана-Юрина | Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса К.Б. Бермана-Юрина						no_candidate	review_source_document
Л.С. Мамишвили-Мишкевич	Л.С. Мамишвили-	2	5599	1936-11-25T18:03:44	1937-02-01T19:15:25	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Мамишвили-Мишкевича | Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Мамишвили-Мишкевича						no_candidate	review_source_document
Л.С. Тер-Минасов	Л.С. Тер-	2	6073	1937-01-01T19:51:50	1937-02-07T19:38:13	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.С. Тер-Минасова | Спецсообщение Н.И. Ежова И.В. Сталину с приложение протокола очной ставки между С.Х. Варданианом и Л.С. Тер-Минасовым						no_candidate	review_source_document
С.М. Закс-Гладнев	С.М. Закса-	2	8900	1936-04-24T17:06:51	1936-08-03T00:10:00	Письмо С.М. Закса-Гладнева Н.И. Ежову с приложением докладной записки об издании словарей | Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса С.М. Закса-Гладнева						no_candidate	review_source_document
Я.Я. Упмал-Ангарский	Я.Я. Упмал-	2	3950	1936-04-22T02:00:00	1936-05-10T00:10:00	Протокол допроса Я.Я. Упмал-Ангарского | Протокол допроса Я.Я. Упмал-Ангарского						no_candidate	review_source_document
А.А. Гардин-Гейер	А.А. Гардина-	1	1619	1935-04-17T00:00:00	1935-04-17T00:00:00	Спецсообщение Я.С. Агранова Н.И. Ежову с приложением протокола допроса А.А. Гардина-Гейера						no_candidate	review_source_document
А.И. Рамм-Пфемферт	А.И. Рамм-	1	349	1930-04-02T14:37:24	1930-04-02T14:37:24	Письмо А.И. Рамм-Пфемферт Л.Д. Троцкому						no_candidate	review_source_document
В.А. Антонов-Овсеенко	В.А. Антонова-	1	978	1928-04-08T15:09:15	1928-04-08T15:09:15	Заявления В.А. Антонова-Овсеенко и Н.Н. Крестинского о разрыве с троцкистской оппозицией						no_candidate	review_source_document
В.П. Шевелев-Лубков	В.П. Шевелева-	1	3167	1937-01-21T19:50:04	1937-01-21T19:50:04	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.П. Шевелева-Лубкова						no_candidate	review_source_document
Е.Ф. Тойво-Пешина	Е.Ф. Тойво-	1	665	1936-10-21T08:13:58	1936-10-21T08:13:58	Протокол допроса Е.Ф. Тойво-Пешиной						no_candidate	review_source_document
И.В. Вардин-Мгеладзе	И.В. Вардина-	1	2995	1935-01-09T03:00:00	1935-01-09T03:00:00	Протокол допроса И.В. Вардина-Мгеладзе						no_candidate	review_source_document
И.М. Орловская-Мрачковская	И.М. Орловской-	1	358	1936-05-19T18:37:00	1936-05-19T18:37:00	Письмо И.М. Орловской-Мрачковской секретарю ЦК ВКП(б) А.А. Андрееву						no_candidate	review_source_document
М.М. Оскольский-Финкельштейн	М.М. Оскольского-	1	1437	1936-10-03T00:36:00	1936-10-03T00:36:00	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.М. Оскольского-Финкельштейна						no_candidate	review_source_document
М.С. Жалыбина-Быкова	М.С. Жалыбиной-	1	865	1935-01-20T00:10:34	1935-01-20T00:10:34	Спецсообщение Г.Г. Ягоды И.В. Сталину с приложением протокола допроса М.С. Жалыбиной-Быковой (в качестве свидетеля)						no_candidate	review_source_document
