level	item_id	field	problem	value
ERROR	P2004-0001	target_path	blank_target_path	
ERROR	P2004-0001	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0002	target_path	blank_target_path	
ERROR	P2004-0002	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0003	target_path	blank_target_path	
ERROR	P2004-0003	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0004	target_path	blank_target_path	
ERROR	P2004-0004	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0005	target_path	blank_target_path	
ERROR	P2004-0005	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0006	target_path	blank_target_path	
ERROR	P2004-0006	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0007	target_path	blank_target_path	
ERROR	P2004-0007	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0008	target_path	blank_target_path	
ERROR	P2004-0008	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0009	target_path	blank_target_path	
ERROR	P2004-0009	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0010	target_path	blank_target_path	
ERROR	P2004-0010	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0011	target_path	blank_target_path	
ERROR	P2004-0011	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0012	target_path	blank_target_path	
ERROR	P2004-0012	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0013	target_path	blank_target_path	
ERROR	P2004-0013	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0014	target_path	blank_target_path	
ERROR	P2004-0014	source_class	invalid_source_class_expected_internal_external	
WARN	P2004-0014	target_path	external_target_not_under_external_mirror	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0015	target_path	blank_target_path	
ERROR	P2004-0015	source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0015	is_external	external_flag_mismatch_expected_no	http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0016	target_path	blank_target_path	
ERROR	P2004-0016	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0017	target_path	blank_target_path	
ERROR	P2004-0017	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0018	target_path	blank_target_path	
ERROR	P2004-0018	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0019	target_path	blank_target_path	
ERROR	P2004-0019	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0020	target_path	blank_target_path	
ERROR	P2004-0020	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0021	target_path	blank_target_path	
ERROR	P2004-0021	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0022	target_path	blank_target_path	
ERROR	P2004-0022	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0023	target_path	blank_target_path	
ERROR	P2004-0023	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0024	target_path	blank_target_path	
ERROR	P2004-0024	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0025	target_path	blank_target_path	
ERROR	P2004-0025	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0026	target_path	blank_target_path	
ERROR	P2004-0026	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0027	target_path	blank_target_path	
ERROR	P2004-0027	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0028	target_path	blank_target_path	
ERROR	P2004-0028	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0029	target_path	blank_target_path	
ERROR	P2004-0029	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
ERROR		source_class	invalid_source_class_expected_internal_external	
ERROR	P2004-0030	target_path	blank_target_path	
ERROR	P2004-0030	source_class	invalid_source_class_expected_internal_external	
ERROR	__blank__	item_id	blank_item_id	
ERROR		target_path	blank_target_path	
WARN		label	blank_label	
ERROR		is_html	invalid_boolean_expected_yes_no	
ERROR		is_external	invalid_boolean_expected_yes_no	
