metric	value
manifest	/srv/projects/showtrials-discovery/data/perpetrator2004/manifests/perpetrator2004_full_ingestion_manifest.tsv
rows_without_header	226
problems_total	932
errors	809
warnings	123
source_class.__blank__	226
is_html.__blank__	113
is_html.no	100
is_html.yes	13
is_external.__blank__	113
is_external.no	93
is_external.yes	20
extension..doc	190
extension..gif	2
extension..htm	26
extension..rar	4
extension.__no_ext__	4
domain.perpetrator2004.narod.ru	111
domain.www.showtrials.ru	1
domain.www.ucoz.ru	1
