path	suffix	size_bytes	mtime_epoch	mtime_iso	ctime_epoch	ctime_iso
gitignore		391	1781085400	2026-06-10 06:56:40	1781085400	2026-06-10 06:56:40
README.md	.md	4147	1781177620	2026-06-11 08:33:40	1781177620	2026-06-11 08:33:40
apply-showtrials-auto-person-aliases.py	.py	3421	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
apply-showtrials-known-truncated-person-aliases.py	.py	2369	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
apply-showtrials-person-alias-decisions.py	.py	2348	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
audit-showtrials-structural-samples-d2-1.py	.py	6307	1781056547	2026-06-09 22:55:47	1781056547	2026-06-09 22:55:47
build-showtrials-canonical-people.py	.py	5166	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
build-showtrials-literal-people-index.py	.py	5008	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
build-showtrials-organization-families.py	.py	3052	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-organization-family-document-matrix.py	.py	5991	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-organization-hierarchy.py	.py	5422	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
build-showtrials-organization-index.py	.py	10194	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
build-showtrials-people-index.py	.py	5291	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
build-showtrials-person-centrality.py	.py	5860	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-person-institution-profiles-v2.py	.py	11096	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-person-institution-profiles.py	.py	9785	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-person-organization-matrix.py	.py	7552	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-positions.py	.py	11419	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-process-layer.py	.py	10054	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-process-profiles.py	.py	4627	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-roles-v2.py	.py	4345	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
build-showtrials-translation-glossary-seeds-v1.py	.py	9492	1781050526	2026-06-09 21:15:26	1781054835	2026-06-09 22:27:15
canonicalize-showtrials-translation-glossary-g4.py	.py	12262	1781053247	2026-06-09 22:00:47	1781054835	2026-06-09 22:27:15
canonicalize-showtrials-translation-glossary-v1.py	.py	7351	1781051185	2026-06-09 21:26:25	1781054835	2026-06-09 22:27:15
compare-showtrials-document-types-v1-v2.py	.py	1914	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
compare-showtrials-document-types-v2-v3.py	.py	1951	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
compare-showtrials-document-types-v3-v4.py	.py	1951	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
crawl-spider.log	.log	17037	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
crawl-urls.txt	.txt	7087	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-repo-file-metadata.py	.py	918	1781178968	2026-06-11 08:56:08	1781178968	2026-06-11 08:56:08
diagnose-showtrials-attachment-taxonomy-d3-1a.py	.py	7828	1781060579	2026-06-10 00:02:59	1781060579	2026-06-10 00:02:59
diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	.py	9446	1781061414	2026-06-10 00:16:54	1781061414	2026-06-10 00:16:54
diagnose-showtrials-author-audit.py	.py	2557	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-category-tree.py	.py	3057	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-corpus-inventory.py	.py	5414	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-corpus-sizing-chunking-d1.py	.py	9781	1781054280	2026-06-09 22:18:00	1781054835	2026-06-09 22:27:15
diagnose-showtrials-corpus-statistics.py	.py	6506	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-date-audit.py	.py	3721	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-collections.py	.py	4107	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-index.py	.py	1655	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-types-v2.py	.py	6065	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-types-v3.py	.py	6899	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-types-v4.py	.py	7336	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-document-types.py	.py	4280	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-entity-anomalies.py	.py	6106	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-entity-cleanup.py	.py	4976	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-entity-inventory.py	.py	4850	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-master-catalog.py	.py	5465	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-page-hierarchy.py	.py	2164	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-page-links.py	.py	2976	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-person-aliases.py	.py	3613	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-person-normalization.py	.py	5164	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-post-metadata.py	.py	5567	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-search-corpus.py	.py	2634	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-semantic-baseline.sh	.sh	5650	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
diagnose-showtrials-semantic-layer.py	.py	7913	1781050351	2026-06-09 21:12:31	1781054835	2026-06-09 22:27:15
diagnose-showtrials-special-report-packages-d3-1.py	.py	13246	1781059846	2026-06-09 23:50:46	1781059846	2026-06-09 23:50:46
diagnose-showtrials-structural-chunking-d2.py	.py	8197	1781055911	2026-06-09 22:45:11	1781055911	2026-06-09 22:45:11
diagnose-showtrials-structural-samples-d2-2.py	.py	7604	1781058101	2026-06-09 23:21:41	1781058101	2026-06-09 23:21:41
diagnose-showtrials-tag-process-audit.py	.py	3162	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-taxonomy-terms.py	.py	2190	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-taxonomy.py	.py	3674	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-text-cleanliness.py	.py	3083	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-title-entities.py	.py	7704	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-translation-cost.py	.py	6008	1781050381	2026-06-09 21:13:01	1781054835	2026-06-09 22:27:15
diagnose-showtrials-translation-glossary-freeze-readiness.py	.py	4533	1781053266	2026-06-09 22:01:06	1781054835	2026-06-09 22:27:15
diagnose-showtrials-truncated-persons.py	.py	5787	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
diagnose-showtrials-unmerged-persons.py	.py	6071	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
doc-8863.md	.md	42361	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
doc-8863.txt	.txt	41802	1781050350	2026-06-09 21:12:30	1781054835	2026-06-09 22:27:15
docs/artifact-inventory.md	.md	5164	1781176931	2026-06-11 08:22:11	1781176931	2026-06-11 08:22:11
docs/discoveries-by-phase.md	.md	8301	1781176858	2026-06-11 08:20:58	1781176858	2026-06-11 08:20:58
docs/methodological-timeline.md	.md	13649	1781176145	2026-06-11 08:09:05	1781176145	2026-06-11 08:09:05
docs/project-history.md	.md	9657	1781176857	2026-06-11 08:20:57	1781176857	2026-06-11 08:20:57
docs/project-overview.md	.md	3595	1781176930	2026-06-11 08:22:10	1781176930	2026-06-11 08:22:10
docs/repository-policy.md	.md	4826	1781176931	2026-06-11 08:22:11	1781176931	2026-06-11 08:22:11
docs/roadmap.md	.md	2987	1781176932	2026-06-11 08:22:12	1781176932	2026-06-11 08:22:12
enrich-showtrials-translation-glossary-g3.py	.py	9751	1781052120	2026-06-09 21:42:00	1781054835	2026-06-09 22:27:15
export-md/10004_stenogramma-oprosa-l-b-kameneva-e-m-yaroslavskim-v-czkk-vkpb.md	.md	20648	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10040_pismo-postoyannogo-korrespondenta-pravdy-na-severnom-kavkaze-l-perevozkina-l-z-m.md	.md	6767	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10058_pismo-uplonomochennogo.md	.md	6977	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10069_proekt-zaklyucheniya-po-aktu-priemki-sdachi-del-po-sekretariatu-czik-sssr.md	.md	26068	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10123_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-opisi-arhiva-troczkistov-.md	.md	19071	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10133_speczsoobshhenie-g-g-yagody-i-v-stalinu-s-prilozheniem-zayavleniya-o-ravich-o-g-.md	.md	14143	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10138_soobshhenie-a-ya-vyshinskogo-i-v-stalinu-otnositelno-zapiski-g-g-yagody-o-troczk.md	.md	5385	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10238_pismo-t-i-glebovoj-i-v-stalinu-2.md	.md	9426	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10282_protokol-doprosa-p-p-olberga-2.md	.md	14516	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10470_speczsoobshhenie-ya-s-agranova-i-v-stalinu-s-prilozheniem-memoranduma-po-delu-ar.md	.md	148337	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10488_pismo-l-l-sedova-v-p-olbergu-22.md	.md	4407	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10505_spravka-m-i-gaya-o-svyazyah-d-s-tajcza.md	.md	5273	1781050352	2026-06-09 21:12:32	1781054835	2026-06-09 22:27:15
export-md/10567_informaczionnoe-pismo-nkvd-ob-a-ya-aroseve.md	.md	16919	1781050353	2026-06-09 21:12:33	1781054835	2026-06-09 22:27:15
export-md/10574_zapiska-zamestitelya-zaveduyushhego-planfintorgotdelom-czk-vkpb-d-s-gurevicha-n-.md	.md	17763	1781050353	2026-06-09 21:12:33	1781054835	2026-06-09 22:27:15
export-md/10591_soobshhenie-ino-gugb.md	.md	2702	1781050353	2026-06-09 21:12:33	1781054835	2026-06-09 22:27:15
