script_path	phase	priority	uses_showtrials_paths	tmp_base_refs	srv_base_refs	root_tsv_refs	root_txt_refs	root_json_refs	old_export_dir_refs	path_constructor_refs	open_call_refs	notes
scripts/a-extraction/showtrials-audit.py	a-extraction	high	no	1	0	4	1	0	0	1	4	needs_path_normalization
scripts/a-extraction/showtrials-stats.py	a-extraction	high	no	1	0	1	0	0	0	2	1	needs_path_normalization
scripts/b-json-export-search/diagnose-showtrials-search-corpus.py	b-json-export-search	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/b-json-export-search/search-showtrials.py	b-json-export-search	low	yes	0	0	0	0	0	0	3	3	no_obvious_legacy_paths
scripts/b-json-export-search/showtrials-doc.py	b-json-export-search	low	yes	0	0	0	0	0	0	6	1	no_obvious_legacy_paths
scripts/b-json-export-search/showtrials-export-texts.py	b-json-export-search	low	yes	0	0	0	0	0	0	4	1	no_obvious_legacy_paths
scripts/b-json-export-search/showtrials-search-v2.py	b-json-export-search	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/b-json-export-search/showtrials-search.py	b-json-export-search	low	yes	0	0	0	0	0	0	3	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/compare-showtrials-document-types-v1-v2.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/compare-showtrials-document-types-v2-v3.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/compare-showtrials-document-types-v3-v4.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-author-audit.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-category-tree.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-inventory.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	5	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-corpus-statistics.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	4	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-date-audit.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	4	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-collections.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	2	2	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-index.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v2.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	4	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v3.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	4	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-types-v4.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	4	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-document-types.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-master-catalog.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	2	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-page-hierarchy.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-page-links.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	2	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-post-metadata.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy-terms.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-taxonomy.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/diagnose-showtrials-text-cleanliness.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/showtrials-timeline.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	2	1	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/validate-showtrials-document-types-v2.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/validate-showtrials-document-types-v3.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/validate-showtrials-document-types-v4.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	3	no_obvious_legacy_paths
scripts/c-catalog-taxonomy/validate-showtrials-search-v2.py	c-catalog-taxonomy	low	yes	0	0	0	0	0	0	1	1	no_obvious_legacy_paths
scripts/d-structural-chunking/audit-showtrials-structural-samples-d2-1.py	d-structural-chunking	high	no	0	1	5	1	0	1	1	2	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-d3-1a.py	d-structural-chunking	high	no	0	0	4	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	d-structural-chunking	high	no	0	0	5	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-corpus-sizing-chunking-d1.py	d-structural-chunking	critical	no	1	0	8	1	0	0	1	4	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-special-report-packages-d3-1.py	d-structural-chunking	high	no	0	0	8	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-structural-chunking-d2.py	d-structural-chunking	high	no	0	1	7	1	0	0	1	4	needs_path_normalization
scripts/d-structural-chunking/diagnose-showtrials-structural-samples-d2-2.py	d-structural-chunking	high	no	0	0	2	1	0	0	2	2	needs_path_normalization
scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1.py	d-structural-chunking	high	no	0	0	4	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/plan-showtrials-chunking-blueprint-v1_1.py	d-structural-chunking	high	no	0	0	5	3	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-attachment-taxonomy-d3-1a.py	d-structural-chunking	high	no	0	0	4	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-attachment-taxonomy-refinement-d3-1b.py	d-structural-chunking	high	no	0	0	3	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-chunking-blueprint-v1.py	d-structural-chunking	high	no	0	0	2	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-chunking-blueprint-v1_1.py	d-structural-chunking	high	no	0	0	2	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-corpus-sizing-chunking-d1.py	d-structural-chunking	high	no	1	0	6	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-special-report-packages-d3-1.py	d-structural-chunking	high	no	0	0	4	1	0	0	1	2	needs_path_normalization
scripts/d-structural-chunking/validate-showtrials-structural-chunking-d2.py	d-structural-chunking	high	no	0	1	4	1	0	0	1	2	needs_path_normalization
scripts/e-semantic-layer/apply-showtrials-auto-person-aliases.py	e-semantic-layer	high	no	1	0	2	1	0	0	1	3	needs_path_normalization
scripts/e-semantic-layer/apply-showtrials-known-truncated-person-aliases.py	e-semantic-layer	high	no	1	0	1	1	0	0	1	2	needs_path_normalization
scripts/e-semantic-layer/apply-showtrials-person-alias-decisions.py	e-semantic-layer	high	no	1	0	3	1	0	0	1	3	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-canonical-people.py	e-semantic-layer	high	no	1	0	6	1	0	0	1	7	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-literal-people-index.py	e-semantic-layer	high	no	1	0	6	1	0	0	1	7	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-organization-families.py	e-semantic-layer	high	no	1	0	2	1	0	0	2	2	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-organization-family-document-matrix.py	e-semantic-layer	high	no	1	0	6	1	0	0	1	4	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-organization-hierarchy.py	e-semantic-layer	high	no	1	0	3	1	0	0	1	3	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-organization-index.py	e-semantic-layer	high	no	1	0	5	1	0	1	1	5	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-people-index.py	e-semantic-layer	high	no	1	0	7	1	0	0	1	7	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-person-centrality.py	e-semantic-layer	high	no	1	0	7	1	0	0	1	2	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-person-institution-profiles-v2.py	e-semantic-layer	critical	no	1	0	11	1	0	0	1	5	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-person-institution-profiles.py	e-semantic-layer	critical	no	1	0	11	1	0	0	1	5	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-person-organization-matrix.py	e-semantic-layer	critical	no	1	0	8	1	0	0	1	4	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-positions.py	e-semantic-layer	critical	no	1	0	8	1	0	1	1	5	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-process-layer.py	e-semantic-layer	critical	no	1	0	10	1	0	0	1	6	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-process-profiles.py	e-semantic-layer	high	no	1	0	6	1	0	0	1	2	needs_path_normalization
scripts/e-semantic-layer/build-showtrials-roles-v2.py	e-semantic-layer	high	no	1	0	4	1	0	0	1	3	needs_path_normalization
scripts/e-semantic-layer/diagnose-showtrials-entity-anomalies.py	e-semantic-layer	high	no	1	0	4	1	0	0	1	4	needs_path_normalization
scripts/e-semantic-layer/diagnose-showtrials-entity-cleanup.py	e-semantic-layer	high	no	1	0	2	1	0	0	1	2	needs_path_normalization
