current_path	proposed_path	phase	artifact_type	commit_group	mtime_iso	notes
.gitignore	.gitignore	R governance	docs	r-governance-docs	2026-06-10 06:56:40	keep repository ignore policy at root
README.md	README.md	R governance	docs	r-governance-docs	2026-06-11 08:33:40	keep at repository root
apply-showtrials-auto-person-aliases.py	scripts/e-semantic-layer/apply-showtrials-auto-person-aliases.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
apply-showtrials-known-truncated-person-aliases.py	scripts/e-semantic-layer/apply-showtrials-known-truncated-person-aliases.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
apply-showtrials-person-alias-decisions.py	scripts/e-semantic-layer/apply-showtrials-person-alias-decisions.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
audit-showtrials-structural-samples-d2-1.py	scripts/d-structural-chunking/audit-showtrials-structural-samples-d2-1.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-09 22:55:47	planned move only; do not move yet
build-showtrials-canonical-people.py	scripts/e-semantic-layer/build-showtrials-canonical-people.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
build-showtrials-literal-people-index.py	scripts/e-semantic-layer/build-showtrials-literal-people-index.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
build-showtrials-organization-families.py	scripts/e-semantic-layer/build-showtrials-organization-families.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-organization-family-document-matrix.py	scripts/e-semantic-layer/build-showtrials-organization-family-document-matrix.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-organization-hierarchy.py	scripts/e-semantic-layer/build-showtrials-organization-hierarchy.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
build-showtrials-organization-index.py	scripts/e-semantic-layer/build-showtrials-organization-index.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
build-showtrials-people-index.py	scripts/e-semantic-layer/build-showtrials-people-index.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:30	planned move only; do not move yet
build-showtrials-person-centrality.py	scripts/e-semantic-layer/build-showtrials-person-centrality.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-person-institution-profiles-v2.py	scripts/e-semantic-layer/build-showtrials-person-institution-profiles-v2.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-person-institution-profiles.py	scripts/e-semantic-layer/build-showtrials-person-institution-profiles.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-person-organization-matrix.py	scripts/e-semantic-layer/build-showtrials-person-organization-matrix.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-positions.py	scripts/e-semantic-layer/build-showtrials-positions.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-process-layer.py	scripts/e-semantic-layer/build-showtrials-process-layer.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-process-profiles.py	scripts/e-semantic-layer/build-showtrials-process-profiles.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-roles-v2.py	scripts/e-semantic-layer/build-showtrials-roles-v2.py	E semantic-layer	scripts	e-semantic-layer-scripts	2026-06-09 21:12:31	planned move only; do not move yet
build-showtrials-translation-glossary-seeds-v1.py	scripts/g-glossary/build-showtrials-translation-glossary-seeds-v1.py	G glossary	scripts	g-glossary-scripts	2026-06-09 21:15:26	planned move only; do not move yet
canonicalize-showtrials-translation-glossary-g4.py	scripts/g-glossary/canonicalize-showtrials-translation-glossary-g4.py	G glossary	scripts	g-glossary-scripts	2026-06-09 22:00:47	planned move only; do not move yet
canonicalize-showtrials-translation-glossary-v1.py	scripts/g-glossary/canonicalize-showtrials-translation-glossary-v1.py	G glossary	scripts	g-glossary-scripts	2026-06-09 21:26:25	planned move only; do not move yet
compare-showtrials-document-types-v1-v2.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v1-v2.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
compare-showtrials-document-types-v2-v3.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v2-v3.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
compare-showtrials-document-types-v3-v4.py	scripts/c-catalog-taxonomy/compare-showtrials-document-types-v3-v4.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
crawl-urls.txt	reports/a-extraction/crawl-urls.txt	A extraction	reports	a-extraction-reports	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-attachment-taxonomy-d3-1a.py	scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-d3-1a.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-10 00:02:59	planned move only; do not move yet
diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	scripts/d-structural-chunking/diagnose-showtrials-attachment-taxonomy-refinement-d3-1b.py	D structural-chunking	scripts	d-structural-chunking-scripts	2026-06-10 00:16:54	planned move only; do not move yet
diagnose-showtrials-author-audit.py	scripts/c-catalog-taxonomy/diagnose-showtrials-author-audit.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
diagnose-showtrials-category-tree.py	scripts/c-catalog-taxonomy/diagnose-showtrials-category-tree.py	C catalog-taxonomy	scripts	c-catalog-taxonomy-scripts	2026-06-09 21:12:30	planned move only; do not move yet
