href	resolved_url	label	is_html	is_external
Lenin.htm	http://perpetrator2004.narod.ru/Lenin.htm	Ленин	yes	no
Kirov_Links.htm	http://perpetrator2004.narod.ru/Kirov_Links.htm	Убийство Кирова	yes	no
documents/Yezhov/Yezhov.htm	http://perpetrator2004.narod.ru/documents/Yezhov/Yezhov.htm	Ежов	yes	no
Yagoda_Links.htm	http://perpetrator2004.narod.ru/Yagoda_Links.htm	Ягода	yes	no
Show_Trials_Links.htm	http://perpetrator2004.narod.ru/Show_Trials_Links.htm	Московские показательные процессы	yes	no
Kremlin_Affair.htm	http://perpetrator2004.narod.ru/Kremlin_Affair.htm	Кремлевское дело	yes	no
Bukharin.htm	http://perpetrator2004.narod.ru/Bukharin.htm	Бухарин	yes	no
Tukhachevsky.htm	http://perpetrator2004.narod.ru/Tukhachevsky.htm	Дело Тухачевского	yes	no
Great_Terror.htm	http://perpetrator2004.narod.ru/Great_Terror.htm	Большой террор	yes	no
DoctorsPlot.htm	http://perpetrator2004.narod.ru/DoctorsPlot.htm	Дело врачей	yes	no
Leningrad_Affair.htm	http://perpetrator2004.narod.ru/Leningrad_Affair.htm	Ленинградское дело	yes	no
Khrushchev.htm	http://perpetrator2004.narod.ru/Khrushchev.htm	Хрущев	yes	no
Books.htm	http://perpetrator2004.narod.ru/Books.htm	Книги	yes	no
http://www.showtrials.ru/	http://www.showtrials.ru/	WWW.SHOWTRIALS.RU	no	yes
http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Serovs_Letter_re_Bukharin_Trial.doc	Справка председателя КГБ при СМ СССР И.А. Серова о процессе по делу «антисоветского право-троцкистского блока»	no	yes
documents/kirov/TheUnknownKirov.doc	http://perpetrator2004.narod.ru/documents/kirov/TheUnknownKirov.doc	Алла Кирилина. «Неизвестный Киров», Олма-Пресс, 2002	no	no
documents/kirov/Roslakov1.doc	http://perpetrator2004.narod.ru/documents/kirov/Roslakov1.doc	Михаил Росляков. «Убийство Кирова. Политические и уголовные преступления в 30-х годах»	no	no
documents/Bukharin/Plea_For_Pardon.doc	http://perpetrator2004.narod.ru/documents/Bukharin/Plea_For_Pardon.doc	Прошения Н.И. Бухарина о помиловании	no	no
documents/Khrushchev/Speech3WritCongr.doc	http://perpetrator2004.narod.ru/documents/Khrushchev/Speech3WritCongr.doc	Речь Н.С. Хрущева на III съезде писателей СССР, 22 мая 1959 г.	no	no
documents/DoctorsPlot/StalinDocsDP.doc	http://perpetrator2004.narod.ru/documents/DoctorsPlot/StalinDocsDP.doc	Документы о личном участии И.В. Сталина в создании и расследовании «дела врачей»	no	no
documents/Yezhov/YezhovQuiz26Apr1939.doc	http://perpetrator2004.narod.ru/documents/Yezhov/YezhovQuiz26Apr1939.doc	Сообщение Л.П. Берии И.В. Сталину о Н.И. Ежове с приложением протокола допроса	no	no
