root_label	root_path	relpath	abs_path	kind	suffix	size_bytes	mtime_epoch	sha256	inferred_class	confidence	reason
russian_archives_discovery	/srv/projects/russian-archives-discovery	.	/srv/projects/russian-archives-discovery	directory			1782010981		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config	/srv/projects/russian-archives-discovery/config	directory			1782007846		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data	/srv/projects/russian-archives-discovery/data	directory			1782007800		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	reports	/srv/projects/russian-archives-discovery/reports	directory			1782010976		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	russian_archives_discovery	/srv/projects/russian-archives-discovery/russian_archives_discovery	directory			1782008040		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	scripts	/srv/projects/russian-archives-discovery/scripts	directory			1782010971		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	.gitignore	/srv/projects/russian-archives-discovery/.gitignore	no_ext		191	1782008097	aeade8b671c3438381ac3a477f545576b7bab877d40cded05c2488fab325676e	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	README.md	/srv/projects/russian-archives-discovery/README.md	markdown	.md	1585	1782007846	10e42cf7a88d6b9800ee81243e9e243d326b0b391941b7d8f7a34f0372ad2171	report	0.88	report/readme/log path or content
russian_archives_discovery	/srv/projects/russian-archives-discovery	pyproject.toml	/srv/projects/russian-archives-discovery/pyproject.toml	toml	.toml	434	1782007846	666f5a22c2faff9f561ba9d67003a8a0abee87bc35bee22146bef7c09ad59165	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/search_profiles	/srv/projects/russian-archives-discovery/config/search_profiles	directory			1782007848		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/terms	/srv/projects/russian-archives-discovery/config/terms	directory			1782007847		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/sources.yml	/srv/projects/russian-archives-discovery/config/sources.yml	yml	.yml	1797	1782007846	8e16badfb9cd0f7bb44025d097c3ebe4fac08a98fc867d619078bbb534c9f832	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/search_profiles/safarov.yml	/srv/projects/russian-archives-discovery/config/search_profiles/safarov.yml	yml	.yml	1355	1782007848	78fddd1714d028315b5652de1b10c635c1798b41b4aa7d39e91e71cd2053d3fa	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/terms/archive_refs.yml	/srv/projects/russian-archives-discovery/config/terms/archive_refs.yml	yml	.yml	303	1782007847	3800372c6485196a748cfd853cb4f76d99f76125230848e78e5034c826243e01	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/terms/document_types.yml	/srv/projects/russian-archives-discovery/config/terms/document_types.yml	yml	.yml	358	1782007847	13ec8e768db0ec6df45a03c461c4e9e16ec2f0adf5f77b79cf193f149bc10844	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/terms/people.yml	/srv/projects/russian-archives-discovery/config/terms/people.yml	yml	.yml	393	1782007847	ca6e00a5a00e8bf5e46204fb00913525ece34c4532877933ad95f98b154383bc	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	config/terms/processes.yml	/srv/projects/russian-archives-discovery/config/terms/processes.yml	yml	.yml	445	1782007847	ed40f0ab4410492895a1587568c90dcaeefe935391808423cf72b96eaea3197a	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/cache	/srv/projects/russian-archives-discovery/data/cache	directory			1782008098		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/catalog	/srv/projects/russian-archives-discovery/data/catalog	directory			1782008121		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/pdf	/srv/projects/russian-archives-discovery/data/pdf	directory			1782008097		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/raw	/srv/projects/russian-archives-discovery/data/raw	directory			1782008097		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/text	/srv/projects/russian-archives-discovery/data/text	directory			1782008098		external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/cache/.gitkeep	/srv/projects/russian-archives-discovery/data/cache/.gitkeep	no_ext		1	1782008098	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	external_discovery	0.91	external russian-archives-discovery project marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/catalog/discovery.tsv	/srv/projects/russian-archives-discovery/data/catalog/discovery.tsv	table	.tsv	128550	1782011089	6a29606832172f7b62d8bab47754f230b24c1b15f55e9e684405bd2afc1dd6a5	translation_asset	0.86	translation/corpus control marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/catalog/showtrials_baseline.tsv	/srv/projects/russian-archives-discovery/data/catalog/showtrials_baseline.tsv	table	.tsv	122403	1782008121	b832163471e0624f31fc7de3bdf1594f0210c313b4ece23304411842c7c5840f	translation_asset	0.86	translation/corpus control marker
russian_archives_discovery	/srv/projects/russian-archives-discovery	data/pdf/.gitkeep	/srv/projects/russian-archives-discovery/data/pdf/.gitkeep	no_ext		1	1782008097	01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	external_discovery	0.91	external russian-archives-discovery project marker
