conflict_group	basename	sha256	root_label	relpath	abs_path	size_bytes	mtime_epoch
name_00001	10.md	b6f1b8d4c11f6c51b454d934faba90b8f0849bcd61c11e04a4a78495b6c990ec	local_process_dossiers	1934_leningrad_center/10.md	/srv/projects/showtrials-discovery/local/process-dossiers/1934_leningrad_center/10.md	9614	1781447434
name_00001	10.md	48b311bc98761085c54774d651e37c3c06ff725b0678366e0da02e5bf3cea536	local_process_dossiers	1935_moscow_center/10.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/10.md	10148	1781451731
name_00001	10.md	fc1c5af289d2928b22fc5d2afe41f592c94fdf673c15a9a79e9e2c4fe7541e0a	local_process_dossiers	1936_moscow_trial/10.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/10.md	8931	1781402326
name_00002	11.md	341819efdce4d3731e8b7ce2a90635a770387e33ca8fd53c1248b461c7549e2d	local_process_dossiers	1934_leningrad_center/11.md	/srv/projects/showtrials-discovery/local/process-dossiers/1934_leningrad_center/11.md	9441	1781447456
name_00002	11.md	3e2d17143fb0a3f9c872882ffae9bf23bf1426b37ea4d6b1c6c8ccb7ba00efca	local_process_dossiers	1935_moscow_center/11.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/11.md	12456	1781451772
name_00002	11.md	406b6f5a8977bae9d5ab7c75f4c2ec0e09d8a5977cbd11ee5366ddaa46a83491	local_process_dossiers	1936_moscow_trial/11.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/11.md	9283	1781402366
name_00003	12.md	97f25ed3093986aaf159b854973418b3e33ca5f168dd93bd52b9e999fee8275f	local_process_dossiers	1934_leningrad_center/12.md	/srv/projects/showtrials-discovery/local/process-dossiers/1934_leningrad_center/12.md	10397	1781447484
name_00003	12.md	f293cdfd82ec2bf86411541605d60a664f0f8ea25a298207a05fc6f7ebf4d5ca	local_process_dossiers	1935_moscow_center/12.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/12.md	10075	1781451817
name_00003	12.md	fe3e2cc0912309e5e56abe870f9ca7129710318f8011b75dbd73834d047c1b61	local_process_dossiers	1936_moscow_trial/12.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/12.md	10271	1781402411
name_00004	13.md	ca87789033142c80c91c5216fbd639ec16429d17f28d4149d5e7b286988b43f2	local_process_dossiers	1934_leningrad_center/13.md	/srv/projects/showtrials-discovery/local/process-dossiers/1934_leningrad_center/13.md	7539	1781447508
name_00004	13.md	9647b2f37e5910ed2a5dfffe79befd69894b8727bc6a92e513ff9909ffacfa20	local_process_dossiers	1935_moscow_center/13.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/13.md	10985	1781451853
name_00004	13.md	beea9451dd5c03087a6b442476820f5b4ee8fb4eca4ba7b2e72f0c51e2ae6862	local_process_dossiers	1936_moscow_trial/13.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/13.md	7530	1781402449
name_00005	14.md	ca30bf4a2ba494e56a224b410885476006053fd60932823a6a61315833ecde14	local_process_dossiers	1934_leningrad_center/14.md	/srv/projects/showtrials-discovery/local/process-dossiers/1934_leningrad_center/14.md	7353	1781447532
name_00005	14.md	5dd8781765dad7750523e867b7c831ffa0a19a271899539a0dea8cdaf6289aff	local_process_dossiers	1935_moscow_center/14.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/14.md	9215	1781451889
name_00005	14.md	a6b6d9fbf9aa15589873cd89e8224e976de8e4997ea506bd63e6a87a3adfddfd	local_process_dossiers	1936_moscow_trial/14.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/14.md	11022	1781402488
name_00006	15.md	690209a486af9ef2cdc86a486b7597254bf5c274661d4287f90999d18478ebbc	local_process_dossiers	1935_moscow_center/15.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/15.md	6035	1781451918
name_00006	15.md	626a6f989e4b2fc4aaab2221b221955afd00ca8f14690dac8ee8d407f38ae65b	local_process_dossiers	1936_moscow_trial/15.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/15.md	5262	1781402535
name_00007	16.md	2fc53b3fb5f6b51c0567381790722cd5323bf4afa7d475f7d8f95500ee592686	local_process_dossiers	1935_moscow_center/16.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/16.md	10447	1781451942
name_00007	16.md	aa3d2647e946c67e543426e29cbf4b47c2ac58244a6136636c138066eac9ab76	local_process_dossiers	1936_moscow_trial/16.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/16.md	10565	1781402568
name_00008	17.md	66a43902a56fee76d68d753d7fdc11f5b783ec6ab9420c94813f9b006772f576	local_process_dossiers	1935_moscow_center/17.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/17.md	10027	1781451971
name_00008	17.md	7d71c0075998e38bbae750560d6cb5b649e448f83f39d588f4e069c4cc83ff0e	local_process_dossiers	1936_moscow_trial/17.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/17.md	8750	1781402615
name_00009	18.md	ec9bdf8ccb950fc5c2e975085f7deff701491ecaae238265461c9a9083bb5b2f	local_process_dossiers	1935_moscow_center/18.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/18.md	9598	1781462122
name_00009	18.md	d5aadd49265b11ec986e6d5809e16ca4c05c76cac8ea483b74c7465704932119	local_process_dossiers	1936_moscow_trial/18.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/18.md	10213	1781402657
name_00010	19.md	ef5ec8b4a8dc7b788fd4ffa50bd3e06d7caad32ea3b4d48362a7f8aee1ef7235	local_process_dossiers	1935_moscow_center/19.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/19.md	7773	1781462154
name_00010	19.md	9528c96244f327dfb040c8a9fc54beae722deb194a7d50c72bfa897ac3bd1127	local_process_dossiers	1936_moscow_trial/19.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/19.md	9299	1781402698
name_00011	20.md	3da1e2c77c52fc53440f9016b5d9473c3955d1e09988313defd38f2f3f1596f0	local_process_dossiers	1935_moscow_center/20.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/20.md	9088	1781462184
name_00011	20.md	ce529e33915523bb0ae2f9c28e1376d563b64f445fafd66006bd25b49b9f2d21	local_process_dossiers	1936_moscow_trial/20.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/20.md	9527	1781402736
name_00012	21.md	aeb38fdd385770ec1c35863ed1c48d009330fafce4f1cebf2f91f5e41e6b6f2f	local_process_dossiers	1935_moscow_center/21.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/21.md	10277	1781462221
name_00012	21.md	2ba0bf90f510850484708bab12c66d096acf5a66413eca6662506395abe05068	local_process_dossiers	1936_moscow_trial/21.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/21.md	9964	1781402787
name_00013	22.md	3e36d81d601bcec09af7c7ae996c28327f1f9746706cac1718d4be8c9678fb79	local_process_dossiers	1935_moscow_center/22.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/22.md	11514	1781462258
name_00013	22.md	74a475bb0998afc19b9a4334e595c18b1e12f977926972555b6ce65303de6574	local_process_dossiers	1936_moscow_trial/22.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/22.md	10064	1781402830
name_00014	23.md	cc9b88d39dcea3350868303d5306e4dc62630a1a0d8d2262bdb909e610ef3c3f	local_process_dossiers	1935_moscow_center/23.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/23.md	14242	1781462303
name_00014	23.md	7c5045d4472dfd9d53017883e309d1af9df635534e6c190a8b20e4d76f7155ee	local_process_dossiers	1936_moscow_trial/23.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/23.md	9026	1781402873
name_00015	24.md	8b02292a35f61a662fe29f8087707d885cf51671c1bb9eeb1bc7a87f4114311c	local_process_dossiers	1935_moscow_center/24.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/24.md	13704	1781462345
name_00015	24.md	b5366f8af0dc929a26ef8b94b01d5de5c398f1bcd57bcd449dcfb51ad07e629a	local_process_dossiers	1936_moscow_trial/24.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/24.md	9035	1781402916
name_00016	25.md	dd1f2bc365f5a2feac94f2030bc5dee66a806778d2389ba243fc16d1bab42dcf	local_process_dossiers	1935_moscow_center/25.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/25.md	13994	1781462392
name_00016	25.md	bb2ed3474bea1fcc4ae0e0edddbcd05bc6b7bdef1dab2c5c41923c4066315b8c	local_process_dossiers	1936_moscow_trial/25.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/25.md	9118	1781402954
name_00017	26.md	dd1f2bc365f5a2feac94f2030bc5dee66a806778d2389ba243fc16d1bab42dcf	local_process_dossiers	1935_moscow_center/26.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/26.md	13994	1781482248
name_00017	26.md	3a692f0b1fcb08bca05340a396e8f5304658b1aa925e1bab8da0cd27666db614	local_process_dossiers	1936_moscow_trial/26.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/26.md	8130	1781403001
name_00018	27.md	71da038a226b3c46d791cbc1280ac31cd3568bda054d0ada62fcdd9d8b4ecff9	local_process_dossiers	1935_moscow_center/27.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/27.md	12252	1781482286
name_00018	27.md	b39170f6cc66921f6cd8a7c8b16823b86e54ff4877a1d19be759019fbb58015a	local_process_dossiers	1936_moscow_trial/27.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/27.md	9406	1781403041
name_00019	28.md	2cb9b0d4a1c30d7f2a9ceb2db28c0299cc09024a5af6e38d85a307b9b6c8c249	local_process_dossiers	1935_moscow_center/28.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/28.md	9017	1781482323
name_00019	28.md	bd494b59f274bf32e7d1dbb0dbfddc5004ff5404402f4bf5c1ebb246cc1c9034	local_process_dossiers	1936_moscow_trial/28.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/28.md	10058	1781403075
name_00020	29.md	4ed5ea703ecb0867215cdd6c5e8398627e1bf8b1e6624582eacf5ad20c0c5730	local_process_dossiers	1935_moscow_center/29.md	/srv/projects/showtrials-discovery/local/process-dossiers/1935_moscow_center/29.md	16340	1781482352
name_00020	29.md	8a8432a366fa4c39264994e7b98d882ac34e216661751df7f231a7c40863d115	local_process_dossiers	1936_moscow_trial/29.md	/srv/projects/showtrials-discovery/local/process-dossiers/1936_moscow_trial/29.md	10750	1781403110
